t,x,y,theta
0.652298443,0.0,0.0,0.0
0.748930886,0.0,0.0,0.0
0.85232439,0.0,0.0,0.0
0.948427014,0.0,0.0,0.0
1.051818226,0.0,0.0,0.0
1.149003147,0.0,0.0,0.0
1.251612002,0.0,0.0,0.0
1.349026287,0.0,0.0,0.0
1.452296986,0.0,0.0,0.0
1.549717597,0.0,0.0,0.0
1.652800457,0.0,0.0,0.0
1.749094295,0.0,0.0,0.0
1.852664203,0.0,0.0,0.0
1.949428263,0.0,0.0,0.0
2.052964312,0.0,0.0,0.0
2.149054319,0.0,0.0,0.0
2.252817432,0.0,0.0,0.0
2.350197293,0.0,0.0,0.0
2.452563585,0.0,0.0,0.0
2.549692472,0.0,0.0,0.0
2.653312523,0.0,0.0,0.0
2.750320717,0.0,0.0,0.0
2.852889848,0.0,0.0,0.0
2.949593002,0.0,0.0,0.0
3.053363385,0.0,0.0,0.0
3.150471331,0.0,0.0,0.0
3.25286643,0.0,0.0,0.0
3.349941119,0.0,0.0,0.0
3.453389361,0.0,0.0,0.0
3.550537454,0.0,0.0,0.0
3.65324373,0.0,0.0,0.0
3.750330722,0.0,0.0,0.0
3.854042955,0.0,0.0,0.0
3.950938413,0.0,0.0,0.0
4.053627031,0.0,0.0,0.0
4.150771009,0.0,0.0,0.0
4.254047772,0.0,0.0,0.0
4.351261657,0.0,0.0,0.0
4.453555847,0.0,0.0,0.0
4.550595733,0.0,0.0,0.0
4.654190645,0.0,0.0,0.0
4.75100165,0.0,0.0,0.0
4.854543796,0.0,0.0,0.0
4.950575649,0.0,0.0,0.0
5.054255467,0.0,0.0,0.0
5.150964794,0.0,0.0,0.0
5.254659927,0.0,0.0,0.0
5.351623017,0.0,0.0,0.0
5.454135191,0.0,0.0,0.0
5.551545147,0.0,0.0,0.0
5.654890327,0.0,0.0,0.0
5.751669486,0.0,0.0,0.0
5.854154469,0.0,0.0,0.0
5.951292729,0.0,0.0,0.0
6.055119837,0.0,0.0,0.0
6.15116402,0.0,0.0,0.0
6.25495102,0.0,0.0,0.0
6.351858437,0.0,0.0,0.0
6.456842877,0.0,0.0,0.0
6.551519086,0.0,0.0,0.0
6.656201464,0.0,0.0,0.0
6.75193877,0.0,0.0,0.0
6.858359085,0.0,0.0,0.0
6.953012583,0.0,0.0,0.0
7.056243616,0.0,0.0,0.0
7.152921381,0.0,0.0,0.0
7.25546396,0.0,0.0,0.0
7.352038636,0.0,0.0,0.0
7.455838028,0.0,0.0,0.0
7.553440321,0.0,0.0,0.0
7.656026838,0.0,0.0,0.0
7.753109186,0.0,0.0,0.0
7.855663303,0.0,0.0,0.0
7.952633661,0.0,0.0,0.0
8.055178143,0.0,0.0,0.0
8.152584844,0.0,0.0,0.0
8.256104939,0.0,0.0,0.0
8.353288539,0.0,0.0,0.0
8.455833714,0.0,0.0,0.0
8.553532415,0.0,0.0,0.0
8.655583431,0.0,0.0,0.0
8.75279188,0.0,0.0,0.0
8.85648747,0.0,0.0,0.0
8.95345272,0.0,0.0,0.0
9.056028262,0.0,0.0,0.0
9.153492932,0.0,0.0,0.0
9.255923982,0.0,0.0,0.0
9.353281478,0.0,0.0,0.0
9.456545829,0.0,0.0,0.0
9.554181065,0.0,0.0,0.0
9.656315114,0.0,0.0,0.0
9.753366863,0.0,0.0,0.0
9.856979941,0.0,0.0,0.0
9.95329814,0.0,0.0,0.0
10.056662239,0.0,0.0,0.0
10.154052558,0.0,0.0,0.0
10.256592891,0.0,0.0,0.0
10.354211296,0.0,0.0,0.0
10.45729723,0.0,0.0,0.0
10.554149603,0.0,0.0,0.0
10.657265696,0.0,0.0,0.0
10.754209899,0.0,0.0,0.0
10.85703076,0.0,0.0,0.0
10.954128569,0.0,0.0,0.0
11.057616982,0.0,0.0,0.0
11.153649187,0.0,0.0,0.0
11.257456584,0.0,0.0,0.0
11.354829379,0.0,0.0,0.0
11.457424408,0.0,0.0,0.0
11.559250944,0.0,0.0,0.0
11.658122887,0.0,0.0,0.0
11.755107661,0.0,0.0,0.0
11.858363571,0.0,0.0,0.0
11.954712257,0.0,0.0,0.0
12.058086353,0.0,0.0,0.0
12.155163894,0.0,0.0,0.0
12.258456787,0.0,0.0,0.0
12.355499833,0.0,0.0,0.0
12.458554996,0.0,0.0,0.0
12.555190499,0.0,0.0,0.0
12.658172115,0.0,0.0,0.0
12.755875243,0.0,0.0,0.0
12.857997582,0.0,0.0,0.0
12.954976546,0.0,0.0,0.0
13.058571277,0.0,0.0,0.0
13.154453186,0.0,0.0,0.0
13.258199491,0.0,0.0,0.0
13.35527066,0.0,0.0,0.0
13.458052758,0.0,0.0,0.0
13.554805665,0.0,0.0,0.0
13.658325259,0.0,0.0,0.0
13.755483765,0.0,0.0,0.0
13.858070695,0.0,0.0,0.0
13.955553493,0.0,0.0,0.0
14.059167207,0.0,0.0,0.0
14.156231645,0.0,0.0,0.0
14.258972647,0.0,0.0,0.0
14.356022218,0.0,0.0,0.0
14.459295911,0.0,0.0,0.0
14.555882429,0.0,0.0,0.0
14.658550095,0.0,0.0,0.0
14.756329393,0.0,0.0,0.0
14.859334007,0.0,0.0,0.0
14.95604298,0.0,0.0,0.0
15.05952528,0.0,0.0,0.0
15.155938557,0.0,0.0,0.0
15.259456171,0.0,0.0,0.0
15.356477661,0.0,0.0,0.0
15.458835495,0.0,0.0,0.0
15.658740004,0.0,0.0,0.0
15.756138963,0.0,0.0,0.0
15.859374451,0.0,0.0,0.0
15.956125353,0.0,0.0,0.0
16.059540642,0.0,0.0,0.0
16.156762248,0.0,0.0,0.0
16.259217535,0.0,0.0,0.0
16.356076274,0.0,0.0,0.0
16.460114876,0.0,0.0,0.0
16.557298374,0.0,0.0,0.0
16.659707515,0.0,0.0,0.0
16.75675085,0.0,0.0,0.0
16.860209525,0.0,0.0,0.0
16.957376512,0.0,0.0,0.0
17.059915347,0.0,0.0,0.0
17.157270626,0.0,0.0,0.0
17.260014836,0.0,0.0,0.0
17.357078154,0.0,0.0,0.0
17.460327152,0.0,0.0,0.0
17.557322766,0.0,0.0,0.0
17.661265706,0.0,0.0,0.0
17.756858021,0.0,0.0,0.0
17.860433182,0.0,0.0,0.0
17.957736676,0.0,0.0,0.0
18.060801811,0.0,0.0,0.0
18.157970819,0.0,0.0,0.0
18.260064916,0.0,0.0,0.0
18.35723835,0.0,0.0,0.0
18.460616929,0.0,0.0,0.0
18.557983977,0.0,0.0,0.0
18.660733621,0.0,0.0,0.0
18.757881961,0.0,0.0,0.0
18.860560872,0.0,0.0,0.0
18.95756009,0.0,0.0,0.0
19.061326448,0.0,0.0,0.0
19.158479215,0.0,0.0,0.0
19.260898426,0.0,0.0,0.0
19.358146419,0.0,0.0,0.0
19.461408389,0.0,0.0,0.0
19.558804164,0.0,0.0,0.0
19.661854562,0.0,0.0,0.0
19.758605518,0.0,0.0,0.0
19.861037191,0.0,0.0,0.0
19.958257543,0.0,0.0,0.0
20.061862392,0.0,0.0,0.0
20.158512927,0.0,0.0,0.0
20.26097231,0.0,0.0,0.0
20.358618435,0.0,0.0,0.0
20.462067161,0.0,0.0,0.0
20.55893718,0.0,0.0,0.0
20.661458837,0.0,0.0,0.0
20.758957163,0.0,0.0,0.0
20.862143118,0.0,0.0,0.0
20.95925299,0.0,0.0,0.0
21.066261706,0.0,0.0,0.0
21.158785401,0.0,0.0,0.0
21.262846079,0.0,0.0,0.0
21.359211481,0.0,0.0,0.0
21.46245582,0.0,0.0,0.0
21.559381946,0.0,0.0,0.0
21.661906986,0.0,0.0,0.0
21.7595259,0.0,0.0,0.0
21.862757061,0.0,0.0,0.0
21.959440209,0.0,0.0,0.0
22.062960756,0.0,0.0,0.0
22.159149666,0.0,0.0,0.0
22.262121546,0.0,0.0,0.0
22.359340393,0.0,0.0,0.0
22.462571358,0.0,0.0,0.0
22.560034823,0.0,0.0,0.0
22.662181738,0.0,0.0,0.0
22.759288471,0.0,0.0,0.0
22.86289648,0.0,0.0,0.0
22.960290828,0.0,0.0,0.0
23.062789058,0.0,0.0,0.0
23.159728858,0.0,0.0,0.0
23.262375947,0.0,0.0,0.0
23.36003589,0.0,0.0,0.0
23.462596338,0.0,0.0,0.0
23.559595818,0.0,0.0,0.0
23.663663817,0.0,0.0,0.0
23.760575898,0.0,0.0,0.0
23.863314998,0.0,0.0,0.0
23.960409846,0.0,0.0,0.0
24.0628318,0.0,0.0,0.0
24.160140092,0.0,0.0,0.0
24.263380511,0.0,0.0,0.0
24.360431266,0.0,0.0,0.0
24.463413907,0.0,0.0,0.0
24.560708712,0.0,0.0,0.0
24.663080604,0.0,0.0,0.0
24.759900862,0.0,0.0,0.0
24.86354618,0.0,0.0,0.0
24.960747909,0.0,0.0,0.0
25.063313349,0.0,0.0,0.0
25.160219808,0.0,0.0,0.0
25.264529991,0.0,0.0,0.0
25.360492289,0.0,0.0,0.0
25.464273864,0.0,0.0,0.0
25.560515163,0.0,0.0,0.0
25.663970582,0.0,0.0,0.0
25.760536735,0.0,0.0,0.0
25.864387218,0.0,0.0,0.0
25.960440856,0.0,0.0,0.0
26.064030238,0.0,0.0,0.0
26.16104307,0.0,0.0,0.0
26.264765841,0.0,0.0,0.0
26.36130011,0.0,0.0,0.0
26.464692784,0.0,0.0,0.0
26.562752132,0.0,0.0,0.0
26.665219311,0.0,0.0,0.0
26.761528297,0.0,0.0,0.0
26.865096809,0.0,0.0,0.0
26.96153132,0.0,0.0,0.0
27.064897327,0.0,0.0,0.0
27.161429444,0.0,0.0,0.0
27.265188534,0.0,0.0,0.0
27.361107409,0.0,0.0,0.0
27.464954289,0.0,0.0,0.0
27.561517698,0.0,0.0,0.0
27.664610288,0.0,0.0,0.0
27.761069267,0.0,0.0,0.0
27.865077245,0.0,0.0,0.0
27.962181814,0.0,0.0,0.0
28.064662513,0.0,0.0,0.0
28.16199839,0.0,0.0,0.0
28.265490105,0.0,0.0,0.0
28.361716954,0.0,0.0,0.0
28.46500037,0.0,0.0,0.0
28.562522551,0.0,0.0,0.0
28.665429967,0.0,0.0,0.0
28.762168692,0.0,0.0,0.0
28.865296062,0.0,0.0,0.0
28.962387607,0.0,0.0,0.0
29.06592754,0.0,0.0,0.0
29.162270733,0.0,0.0,0.0
29.265951555,0.0,0.0,0.0
29.362340973,0.0,0.0,0.0
29.465948873,0.0,0.0,0.0
29.563125637,0.0,0.0,0.0
29.665531478,0.0,0.0,0.0
29.762135572,0.0,0.0,0.0
29.865797901,0.0,0.0,0.0
29.962929819,0.0,0.0,0.0
30.065496029,0.0,0.0,0.0
30.162937694,0.0,0.0,0.0
30.26652174,0.0,0.0,0.0
30.362614397,0.0,0.0,0.0
30.466043968,0.0,0.0,0.0
30.562928762,0.0,0.0,0.0
30.666453544,0.0,0.0,0.0
30.763310994,0.0,0.0,0.0
30.866310399,0.0,0.0,0.0
30.963179881,0.0,0.0,0.0
31.065777038,0.0,0.0,0.0
31.162819544,0.0,0.0,0.0
31.266579018,0.0,0.0,0.0
31.362768942,0.0,0.0,0.0
31.466233843,0.0,0.0,0.0
31.564270562,0.0,0.0,0.0
31.666826174,0.0,0.0,0.0
31.764310277,0.0,0.0,0.0
31.866443901,0.0,0.0,0.0
31.96380894,0.0,0.0,0.0
32.066979304,0.0,0.0,0.0
32.164282934,0.0,0.0,0.0
32.26721496,0.0,0.0,0.0
32.363726382,0.0,0.0,0.0
32.467256675,0.0,0.0,0.0
32.563692354,0.0,0.0,0.0
32.667443068,0.0,0.0,0.0
32.764354225,0.0,0.0,0.0
32.867552584,0.0,0.0,0.0
32.964120245,0.0,0.0,0.0
33.067787311,0.0,0.0,0.0
33.166272091,0.0,0.0,0.0
33.267547341,0.0,0.0,0.0
33.365077937,0.0,0.0,0.0
33.46811013,0.0,0.0,0.0
33.564876378,0.0,0.0,0.0
33.667943154,0.0,0.0,0.0
33.764855342,0.0,0.0,0.0
33.868168425,0.0,0.0,0.0
33.964879933,0.0,0.0,0.0
34.068632763,0.0,0.0,0.0
34.167282795,0.0,0.0,0.0
34.267599887,0.0,0.0,0.0
34.365026206,0.0,0.0,0.0
34.469991597,0.0,0.0,0.0
34.565258338,0.0,0.0,0.0
34.6700243,0.0,0.0,0.0
34.765784174,0.0,0.0,0.0
34.870915453,0.0,0.0,0.0
34.964935559,0.0,0.0,0.0
35.071421705,0.0,0.0,0.0
35.171170864,0.0,0.0,0.0
35.270152667,0.0,0.0,0.0
35.365578173,0.0,0.0,0.0
35.468379619,0.0,0.0,0.0
35.565868223,0.0,0.0,0.0
35.668520709,0.0,0.0,0.0
35.766221764,0.0,0.0,0.0
35.874965387,0.0,0.0,0.0
35.96573175,0.0,0.0,0.0
36.075499868,0.0,0.0,0.0
36.172516693,0.0,0.0,0.0
36.274412397,0.0,0.0,0.0
36.374206098,0.0,0.0,0.0
36.469481918,0.0,0.0,0.0
36.57286671,0.0,0.0,0.0
36.672281393,0.0,0.0,0.0
36.767766591,0.0,0.0,0.0
36.878560085,0.0,0.0,0.0
36.966522465,0.0,0.0,0.0
37.069398604,0.0,0.0,0.0
37.167852179,0.0,0.0,0.0
37.270510034,0.0,0.0,0.0
37.374188909,0.0,0.0,0.0
37.474156685,0.0,0.0,0.0
37.571560624,0.0,0.0,0.0
37.674127395,0.0,0.0,0.0
37.766714966,0.0,0.0,0.0
37.870334927,0.0,0.0,0.0
37.970168952,0.0,0.0,0.0
38.069637399,0.0,0.0,0.0
38.167204204,0.0,0.0,0.0
38.270139938,0.0,0.0,0.0
38.36714593,0.0,0.0,0.0
38.470254442,0.0,0.0,0.0
38.567698767,0.0,0.0,0.0
38.670727331,0.0,0.0,0.0
38.770049909,0.0,0.0,0.0
38.87277675,0.0,0.0,0.0
38.968057297,0.0,0.0,0.0
39.070587625,0.0,0.0,0.0
39.167512568,0.0,0.0,0.0
39.270839677,0.0,0.0,0.0
39.367151571,0.0,0.0,0.0
39.473364048,0.0,0.0,0.0
39.56897619,0.0,0.0,0.0
39.670465433,0.0,0.0,0.0
39.767889992,0.0,0.0,0.0
39.872618545,0.0,0.0,0.0
39.970957178,0.0,0.0,0.0
40.071050935,0.0,0.0,0.0
40.167414075,0.0,0.0,0.0
40.275073497,0.0,0.0,0.0
40.367262613,0.0,0.0,0.0
40.471636291,0.0,0.0,0.0
40.569610471,0.0,0.0,0.0
40.671198753,0.0,0.0,0.0
40.767676718,0.0,0.0,0.0
40.870800747,0.0,0.0,0.0
40.968091533,0.0,0.0,0.0
41.071463377,0.0,0.0,0.0
41.167954623,0.0,0.0,0.0
41.271307561,0.0,0.0,0.0
41.368272134,0.0,0.0,0.0
41.471562029,0.0,0.0,0.0
41.568022269,0.0,0.0,0.0
41.671062735,0.0,0.0,0.0
41.767308442,0.0,0.0,0.0
41.871245115,0.0,0.0,0.0
41.968351299,0.0,0.0,0.0
42.071473641,0.0,0.0,0.0
42.168320447,0.0,0.0,0.0
42.271122473,0.0,0.0,0.0
42.368075887,0.0,0.0,0.0
42.47143759,0.0,0.0,0.0
42.56858319,0.0,0.0,0.0
42.671819944,0.0,0.0,0.0
42.872428445,0.0,0.0,0.0
42.968857996,0.0,0.0,0.0
43.071674537,0.0,0.0,0.0
43.168671073,0.0,0.0,0.0
43.271944181,0.0,0.0,0.0
43.368502323,0.0,0.0,0.0
43.471359946,0.0,0.0,0.0
43.568660696,0.0,0.0,0.0
43.672093116,0.0,0.0,0.0
43.770344968,0.0,0.0,0.0
43.871960601,0.0,0.0,0.0
43.969504113,0.0,0.0,0.0
44.072854814,0.0,0.0,0.0
44.169003,0.0,0.0,0.0
44.271767811,0.0,0.0,0.0
44.369067308,0.0,0.0,0.0
44.475264068,0.0,0.0,0.0
44.568989261,0.0,0.0,0.0
44.672450163,0.0,0.0,0.0
44.769627938,0.0,0.0,0.0
44.872236229,0.0,0.0,0.0
44.969109001,0.0,0.0,0.0
45.073629444,0.0,0.0,0.0
45.169624865,0.0,0.0,0.0
45.272621232,0.0,0.0,0.0
45.370316044,0.0,0.0,0.0
45.47281558,0.0,0.0,0.0
45.569502725,0.0,0.0,0.0
45.672241534,0.0,0.0,0.0
45.769394933,0.0,0.0,0.0
45.873321876,0.0,0.0,0.0
45.969769436,0.0,0.0,0.0
46.07327747,0.0,0.0,0.0
46.170343889,0.0,0.0,0.0
46.273083427,0.0,0.0,0.0
46.37053053,0.0,0.0,0.0
46.473572778,0.0,0.0,0.0
46.570998369,0.0,0.0,0.0
46.673750563,0.0,0.0,0.0
46.770363439,0.0,0.0,0.0
46.873481522,0.0,0.0,0.0
46.969716114,0.0,0.0,0.0
47.073615191,0.0,0.0,0.0
47.170391715,0.0,0.0,0.0
47.273599589,0.0,0.0,0.0
47.370871228,0.0,0.0,0.0
47.473437434,0.0,0.0,0.0
47.569771251,0.0,0.0,0.0
47.673647675,0.0,0.0,0.0
47.771048375,0.0,0.0,0.0
47.873727811,0.0,0.0,0.0
47.970870957,0.0,0.0,0.0
48.073583154,0.0,0.0,0.0
48.170939582,0.0,0.0,0.0
48.274242044,0.0,0.0,0.0
48.37032988,0.0,0.0,0.0
48.474115788,0.0,0.0,0.0
48.570391905,0.0,0.0,0.0
48.674516409,0.0,0.0,0.0
48.770177314,0.0,0.0,0.0
48.873746658,0.0,0.0,0.0
48.971247419,0.0,0.0,0.0
49.073791339,0.0,0.0,0.0
49.17113361,0.0,0.0,0.0
49.273922323,0.0,0.0,0.0
49.370775228,0.0,0.0,0.0
49.473798587,0.0,0.0,0.0
49.571417381,0.0,0.0,0.0
49.674476313,0.0,0.0,0.0
49.771482343,0.0,0.0,0.0
49.874913986,0.0,0.0,0.0
49.971277823,0.0,0.0,0.0
50.074063525,0.0,0.0,0.0
50.171809299,0.0,0.0,0.0
50.274961565,0.0,0.0,0.0
50.371629065,0.0,0.0,0.0
50.475962704,0.0,0.0,0.0
50.571736657,0.0,0.0,0.0
50.675453417,0.0,0.0,0.0
50.771606486,0.0,0.0,0.0
50.878368577,0.0,0.0,0.0
50.974309405,0.0,0.0,0.0
51.075307712,0.0,0.0,0.0
51.172199119,0.0,0.0,0.0
51.275718013,0.0,0.0,0.0
51.372622094,0.0,0.0,0.0
51.474813546,0.0,0.0,0.0
51.571848252,0.0,0.0,0.0
51.675261951,0.0,0.0,0.0
51.772152385,0.0,0.0,0.0
51.874712017,0.0,0.0,0.0
51.971740368,0.0,0.0,0.0
52.07527912,0.0,0.0,0.0
52.172209866,0.0,0.0,0.0
52.275136428,0.0,0.0,0.0
52.372164902,0.0,0.0,0.0
52.475648722,0.0,0.0,0.0
52.572727352,0.0,0.0,0.0
52.674958457,0.0,0.0,0.0
52.772251568,0.0,0.0,0.0
52.875779607,0.0,0.0,0.0
52.972462975,0.0,0.0,0.0
53.075939607,0.0,0.0,0.0
53.172373911,0.0,0.0,0.0
53.275963304,0.0,0.0,0.0
53.373081904,0.0,0.0,0.0
53.475975948,0.0,0.0,0.0
53.572987827,0.0,0.0,0.0
53.676199841,0.0,0.0,0.0
53.773892818,0.0,0.0,0.0
53.875907639,0.0,0.0,0.0
53.972505141,0.0,0.0,0.0
54.075950802,0.0,0.0,0.0
54.172815858,0.0,0.0,0.0
54.276470896,0.0,0.0,0.0
54.373732065,0.0,0.0,0.0
54.476058536,0.0,0.0,0.0
54.572964345,0.0,0.0,0.0
54.676720404,0.0,0.0,0.0
54.772946397,0.0,0.0,0.0
54.876205838,0.0,0.0,0.0
54.973709682,0.0,0.0,0.0
55.07640781,0.0,0.0,0.0
55.173583128,0.0,0.0,0.0
55.276613741,0.0,0.0,0.0
55.373519784,0.0,0.0,0.0
55.477517329,0.0,0.0,0.0
55.574041103,0.0,0.0,0.0
55.677513921,0.0,0.0,0.0
55.774354252,0.0,0.0,0.0
55.878005003,0.0,0.0,0.0
55.974026414,0.0,0.0,0.0
56.077962233,0.0,0.0,0.0
56.17504603,0.0,0.0,0.0
56.278542634,0.0,0.0,0.0
56.374787084,0.0,0.0,0.0
56.477920489,0.0,0.0,0.0
56.575406789,0.0,0.0,0.0
56.679156505,0.0,0.0,0.0
56.775665683,0.0,0.0,0.0
56.878978059,0.0,0.0,0.0
56.97588282,0.0,0.0,0.0
57.079668664,0.0,0.0,0.0
57.176711055,0.0,0.0,0.0
57.279533478,0.0,0.0,0.0
57.377044025,0.0,0.0,0.0
57.479437806,0.0,0.0,0.0
57.576690407,0.0,0.0,0.0
57.680416715,0.0,0.0,0.0
57.776620384,0.0,0.0,0.0
57.880159488,0.0,0.0,0.0
57.977549247,0.0,0.0,0.0
58.080360182,0.0,0.0,0.0
58.177749003,0.0,0.0,0.0
58.281617413,0.0,0.0,0.0
58.377985826,0.0,0.0,0.0
58.480953467,0.0,0.0,0.0
58.579019333,0.0,0.0,0.0
58.681449723,0.0,0.0,0.0
58.77826171,0.0,0.0,0.0
58.883224935,0.0,0.0,0.0
58.978112285,0.0,0.0,0.0
59.081718256,0.0,0.0,0.0
59.178860538,0.0,0.0,0.0
59.282573606,0.0,0.0,0.0
59.379695624,0.0,0.0,0.0
59.481778983,0.0,0.0,0.0
59.579683764,0.0,0.0,0.0
59.682217357,0.0,0.0,0.0
59.7798457,0.0,0.0,0.0
59.882879259,0.0,0.0,0.0
59.979306663,0.0,0.0,0.0
60.082667693,0.0,0.0,0.0
60.179998799,0.0,0.0,0.0
60.283198191,0.0,0.0,0.0
60.3808055,0.0,0.0,0.0
60.483064759,0.0,0.0,0.0
60.580220176,0.0,0.0,0.0
60.684208761,0.0,0.0,0.0
60.780956489,0.0,0.0,0.0
60.883674001,0.0,0.0,0.0
60.98282355,0.0,0.0,0.0
61.084904638,0.0,0.0,0.0
61.181031268,0.0,0.0,0.0
61.285352915,0.0,0.0,0.0
61.381772157,0.0,0.0,0.0
61.485630795,0.0,0.0,0.0
61.58227345,0.0,0.0,0.0
61.685105776,0.0,0.0,0.0
61.782156944,0.0,0.0,0.0
61.885520748,0.0,0.0,0.0
61.982594018,0.0,0.0,0.0
62.084933855,0.0,0.0,0.0
62.182067591,0.0,0.0,0.0
62.28548052,0.0,0.0,0.0
62.382542555,0.0,0.0,0.0
62.4859739,0.0,0.0,0.0
62.582635302,0.0,0.0,0.0
62.686333528,0.0,0.0,0.0
62.78362486,0.0,0.0,0.0
62.885950842,0.0,0.0,0.0
62.982920928,0.0,0.0,0.0
63.086553476,0.0,0.0,0.0
63.184006917,0.0,0.0,0.0
63.287049109,0.0,0.0,0.0
63.383705816,0.0,0.0,0.0
63.487372194,0.0,0.0,0.0
63.847802649,0.0,0.0,0.0
63.851714755,0.0,0.0,0.0
63.855319017,0.0,0.0,0.0
63.899177825,0.0,0.0,0.0
63.984821901,0.0,0.0,0.0
64.08739863,0.0,0.0,0.0
64.184255804,0.0,0.0,0.0
64.287755424,0.0,0.0,0.0
64.384653572,0.0,0.0,0.0
64.487915288,0.0,0.0,0.0
64.584957138,0.0,0.0,0.0
64.688416868,0.0,0.0,0.0
64.785573858,0.0,0.0,0.0
64.88868202,0.0,0.0,0.0
64.985483375,0.0,0.0,0.0
65.089305984,0.0,0.0,0.0
65.186244058,0.0,0.0,0.0
65.290294906,0.0,0.0,0.0
65.386674667,0.0,0.0,0.0
65.490028263,0.0,0.0,0.0
65.587593741,0.0,0.0,0.0
65.690233061,0.0,0.0,0.0
65.787029326,0.0,0.0,0.0
65.889950208,0.0,0.0,0.0
65.987137907,0.0,0.0,0.0
66.090154589,0.0,0.0,0.0
66.186964927,0.0,0.0,0.0
66.290155647,0.0,0.0,0.0
66.388268352,0.0,0.0,0.0
66.490935364,0.0,0.0,0.0
66.587914338,0.0,0.0,0.0
66.690781598,0.0,0.0,0.0
66.788627549,0.0,0.0,0.0
66.890962396,0.0,0.0,0.0
66.988277653,0.0,0.0,0.0
67.091532535,0.0,0.0,0.0
67.187692797,0.0,0.0,0.0
67.291500197,0.0,0.0,0.0
67.3881632,0.0,0.0,0.0
67.491580085,0.0,0.0,0.0
67.588595469,0.0,0.0,0.0
67.692201027,0.0,0.0,0.0
67.789365266,0.0,0.0,0.0
67.891733814,0.0,0.0,0.0
67.988571835,0.0,0.0,0.0
68.092450344,0.0,0.0,0.0
68.189090883,0.0,0.0,0.0
68.293410525,0.0,0.0,0.0
68.492603414,0.0,0.0,0.0
68.589773886,0.0,0.0,0.0
68.693255888,0.0,0.0,0.0
68.790467587,0.0,0.0,0.0
68.893021458,0.0,0.0,0.0
68.990046051,0.0,0.0,0.0
69.093623899,0.0,0.0,0.0
69.190089674,0.0,0.0,0.0
69.293962403,0.0,0.0,0.0
69.390875919,0.0,0.0,0.0
69.494441128,0.0,0.0,0.0
69.591203085,0.0,0.0,0.0
69.693949107,0.0,0.0,0.0
69.791077713,0.0,0.0,0.0
69.894448731,0.0,0.0,0.0
69.991001227,0.0,0.0,0.0
70.094509159,0.0,0.0,0.0
70.19174247,0.0,0.0,0.0
70.294465989,0.0,0.0,0.0
70.391578113,0.0,0.0,0.0
70.494973713,0.0,0.0,0.0
70.592032417,0.0,0.0,0.0
70.695593437,0.0,0.0,0.0
70.792327191,0.0,0.0,0.0
70.895961331,0.0,0.0,0.0
70.992607008,0.0,0.0,0.0
71.095410456,0.0,0.0,0.0
71.192793432,0.0,0.0,0.0
71.296356578,0.0,0.0,0.0
71.392454876,0.0,0.0,0.0
71.49632352,0.0,0.0,0.0
71.593360532,0.0,0.0,0.0
71.695715257,0.0,0.0,0.0
71.792679358,0.0,0.0,0.0
71.896537996,0.0,0.0,0.0
71.99366053,0.0,0.0,0.0
72.097068156,0.0,0.0,0.0
72.19412419,0.0,0.0,0.0
72.296827877,0.0,0.0,0.0
72.39408475,0.0,0.0,0.0
72.498882328,0.0,0.0,0.0
72.5943763,0.0,0.0,0.0
72.696856836,0.0,0.0,0.0
72.79395877,0.0,0.0,0.0
72.897641865,0.0,0.0,0.0
72.994611114,0.0,0.0,0.0
73.09827133,0.0,0.0,0.0
73.194548802,0.0,0.0,0.0
73.298267262,0.0,0.0,0.0
73.395320453,0.0,0.0,0.0
73.498556547,0.0,0.0,0.0
73.594452121,0.0,0.0,0.0
73.698031179,0.0,0.0,0.0
73.794893891,0.0,0.0,0.0
73.898305089,0.0,0.0,0.0
73.995302778,0.0,0.0,0.0
74.09882081,0.0,0.0,0.0
74.195856074,0.0,0.0,0.0
74.29925546,0.0,0.0,0.0
74.396419476,0.0,0.0,0.0
74.498878181,0.0,0.0,0.0
