t,x,y,theta
1.512581045,6.844000,7.447200,3.106686
1.609704277,6.844000,7.447200,3.106686
1.713158927,6.844000,7.447200,3.106686
1.810030495,6.844000,7.447200,3.106686
1.913691288,6.844000,7.447200,3.106686
2.010428171,6.844000,7.447200,3.106686
2.113640221,6.844000,7.447200,3.106686
2.210444447,6.844000,7.447200,3.106686
2.314053836,6.844000,7.447200,3.106686
2.410728949,6.844000,7.447200,3.106686
2.513208822,6.844000,7.447200,3.106686
2.610453406,6.844000,7.447200,3.106686
2.713996025,6.844000,7.447200,3.106686
2.810912905,6.844000,7.447200,3.106686
2.913102731,6.844000,7.447200,3.106686
3.011058919,6.844000,7.447200,3.106686
3.113794987,6.844000,7.447200,3.106686
3.21057187,6.844000,7.447200,3.106686
3.314445578,6.844000,7.447200,3.106686
3.411253242,6.844000,7.447200,3.106686
3.513619732,6.844000,7.447200,3.106686
3.611459933,6.844000,7.447200,3.106686
3.714576933,6.844000,7.447200,3.106686
3.812884419,6.844000,7.447200,3.106686
3.91444816,6.844000,7.447200,3.106686
4.012337527,6.844000,7.447200,3.106686
4.114162984,6.844000,7.447200,3.106686
4.21180147,6.844000,7.447200,3.106686
4.314011817,6.844000,7.447200,3.106686
4.412270241,6.844000,7.447200,3.106686
4.514297258,6.844000,7.447200,3.106686
4.611876942,6.844000,7.447200,3.106686
4.714783581,6.844000,7.447200,3.106686
4.813732881,6.844000,7.447200,3.106686
4.915613754,6.844000,7.447200,3.106686
5.012112985,6.844000,7.447200,3.106686
5.115263423,6.844000,7.447200,3.106686
5.212248117,6.844000,7.447200,3.106686
5.315414023,6.844000,7.447200,3.106686
5.412291322,6.844000,7.447200,3.106686
5.515641705,6.844000,7.447200,3.106686
5.612562963,6.844000,7.447200,3.106686
5.715541163,6.844000,7.447200,3.106686
5.812397942,6.844000,7.447200,3.106686
5.915919416,6.844000,7.447200,3.106686
6.012616041,6.844000,7.447200,3.106686
6.115907467,6.844000,7.447200,3.106686
6.213094346,6.844000,7.447200,3.106686
6.315780572,6.844000,7.447200,3.106686
6.415608559,6.844000,7.447200,3.106686
6.516303876,6.844000,7.447200,3.106686
6.61354315,6.844000,7.447200,3.106686
6.715956672,6.844000,7.447200,3.106686
6.81393531,6.844000,7.447200,3.106686
6.916638828,6.844000,7.447200,3.106686
7.013915185,6.844000,7.447200,3.106686
7.116632401,6.844000,7.447200,3.106686
7.213225903,6.844000,7.447200,3.106686
