t,x,y,theta
1.513,6.844000,7.447200,3.106686
1.610,7.201417,7.479258,-3.000068
1.713,7.201421,7.479796,-3.003367
1.810,7.201424,7.480329,-3.006316
1.914,7.211314,7.481287,-3.001005
2.010,7.220632,7.482188,-2.996209
2.114,7.226207,7.482433,-2.992509
2.210,7.230776,7.482675,-2.989222
2.314,7.230779,7.482889,-2.992057
2.411,7.236598,7.483164,-2.988801
2.513,7.236600,7.483391,-2.991433
2.610,7.238410,7.483973,-2.988611
2.714,7.242342,7.484152,-2.985949
2.811,7.245737,7.484265,-2.983546
2.913,7.244707,7.484136,-2.981973
3.011,7.244708,7.484632,-2.984206
3.114,7.247023,7.484732,-2.982149
3.211,7.249704,7.484882,-2.980121
3.314,7.249705,7.485014,-2.982396
3.411,7.252216,7.485386,-2.980313
3.514,7.254678,7.485420,-2.978501
3.611,7.256495,7.485544,-2.976823
3.715,7.256496,7.485926,-2.978843
3.813,7.256498,7.485728,-2.981070
3.914,7.257308,7.486083,-2.979348
4.012,7.258174,7.486135,-2.977876
4.114,7.251819,7.486167,-2.977463
4.212,7.252782,7.486501,-2.975976
4.314,7.252783,7.486544,-2.977960
4.412,7.252784,7.486584,-2.979882
4.514,7.253933,7.486420,-2.978557
4.612,7.253934,7.486474,-2.980412
4.715,7.254260,7.486523,-2.979103
4.814,7.254261,7.486545,-2.980924
4.916,7.255627,7.486572,-2.979483
5.012,7.256341,7.486561,-2.978208
5.115,7.256342,7.486595,-2.979982
5.212,7.256342,7.486595,-2.979982
5.315,7.257594,7.486894,-2.980191
5.412,7.257594,7.486894,-2.980191
5.516,7.257596,7.487183,-2.983447
5.613,7.257596,7.487183,-2.983447
5.716,7.257969,7.487001,-2.980967
5.812,7.257969,7.487001,-2.980967
5.916,7.258352,7.486992,-2.981374
6.013,7.258352,7.486992,-2.981374
6.116,7.258713,7.487269,-2.978885
6.213,7.258713,7.487269,-2.978885
6.316,7.258925,7.487711,-2.979155
6.416,7.259873,7.487708,-2.977931
6.516,7.260604,7.487734,-2.976759
6.614,7.260604,7.487734,-2.976759
6.716,7.261995,7.487556,-2.974635
6.814,7.261995,7.487556,-2.974635
6.917,7.262526,7.487522,-2.975249
7.014,7.262526,7.487522,-2.975249
7.117,7.263268,7.487522,-2.974161
7.213,7.262916,7.487557,-2.973274
7.316,7.263662,7.487782,-2.972143
7.413,7.264289,7.487773,-2.971177
7.516,7.264416,7.487755,-2.970333
7.613,7.264417,7.487566,-2.972100
7.717,7.265316,7.487807,-2.970971
7.813,7.265317,7.488020,-2.972521
7.919,7.266015,7.488009,-2.970701
8.013,7.266015,7.488009,-2.970701
8.118,7.266351,7.488260,-2.969704
8.213,7.266990,7.488250,-2.968800
8.317,7.267671,7.488244,-2.967918
8.413,7.268091,7.488456,-2.966984
8.518,7.268590,7.488455,-2.966175
8.612,7.269168,7.488400,-2.965396
8.722,7.269997,7.488366,-2.963952
8.813,7.269997,7.488366,-2.963952
8.917,7.269997,7.488338,-2.965671
9.014,7.270307,7.488262,-2.964969
9.116,7.270488,7.488289,-2.964270
9.214,7.270652,7.488299,-2.963602
9.316,7.270652,7.488287,-2.965305
9.414,7.270653,7.488501,-2.966872
9.516,7.271196,7.488498,-2.966063
9.613,7.271196,7.488694,-2.967627
9.716,7.271197,7.488534,-2.969353
9.813,7.271885,7.488518,-2.968446
9.917,7.272040,7.488462,-2.967683
10.014,7.272041,7.488668,-2.969210
10.117,7.272563,7.488446,-2.968434
10.215,7.272954,7.488666,-2.967489
10.317,7.272955,7.488640,-2.969135
10.413,7.272956,7.488590,-2.970768
10.517,7.270176,7.488762,-2.970385
10.616,7.270515,7.488679,-2.969549
10.717,7.271222,7.488881,-2.968520
10.818,7.271499,7.489056,-2.967616
10.918,7.271399,7.489016,-2.966923
11.014,7.271374,7.488969,-2.966235
11.118,7.271296,7.488753,-2.965667
11.214,7.271296,7.488728,-2.967315
11.317,7.271297,7.488659,-2.968968
11.414,7.271836,7.488649,-2.968096
11.518,7.271701,7.488620,-2.967395
11.614,7.271834,7.488437,-2.966743
11.718,7.271834,7.488637,-2.968268
11.815,7.272019,7.488624,-2.967498
11.918,7.272224,7.488607,-2.966739
12.015,7.272869,7.488622,-2.965894
12.117,7.272870,7.488604,-2.967536
12.214,7.272870,7.488775,-2.969054
12.318,7.272847,7.488728,-2.968302
12.414,7.269498,7.488693,-2.968256
12.518,7.269795,7.488880,-2.967361
12.614,7.269795,7.488846,-2.968984
12.717,7.269796,7.488817,-2.970583
12.815,7.269796,7.488792,-2.972161
12.918,7.269899,7.488993,-2.971187
13.015,7.270324,7.488949,-2.970302
13.117,7.270391,7.489146,-2.969390
13.214,7.270392,7.489104,-2.970983
13.318,7.270443,7.489078,-2.970166
13.414,7.270443,7.489256,-2.971637
13.518,7.270444,7.489417,-2.973100
13.615,7.270704,7.489576,-2.972080
13.718,7.270932,7.489353,-2.971293
13.815,7.270968,7.489497,-2.970377
13.918,7.270968,7.489450,-2.971951
14.015,7.271647,7.489410,-2.970975
14.119,7.271787,7.489357,-2.970144
14.215,7.272197,7.489347,-2.969271
14.319,7.271759,7.489311,-2.968608
14.415,7.271988,7.489262,-2.967822
14.519,7.270908,7.488830,-2.967064
14.615,7.262658,7.488342,-2.967067
14.718,7.255199,7.485817,-2.966405
14.815,7.244429,7.484841,-2.968112
14.919,7.229596,7.482577,-2.969838
15.015,7.215663,7.479479,-2.968450
15.119,7.195879,7.476998,-2.970006
15.216,7.176087,7.474662,-2.971536
15.319,7.158553,7.471974,-2.970319
15.415,7.138280,7.469010,-2.971813
15.519,7.106710,7.467058,-2.973424
15.616,7.086894,7.465181,-2.974864
15.719,7.053418,7.463097,-2.977368
15.816,7.024030,7.460637,-2.978342
15.919,6.990358,7.459375,-2.980729
16.016,6.970513,7.457936,-2.982028
16.119,6.951538,7.456021,-2.983350
16.216,6.931200,7.454019,-2.984546
16.319,6.911334,7.452639,-2.985902
16.416,6.891462,7.451256,-2.987277
16.519,6.872466,7.449864,-2.988409
16.616,6.852585,7.448704,-2.989706
