t,x,y,theta
257.6,11.6,-7.973913,-1.570796
257.7,11.6,-8.008696,-1.570796
257.8,11.6,-8.043478,-1.570796
257.9,11.6,-8.078261,-1.570796
258.0,11.6,-8.113043,-1.570796
258.1,11.6,-8.147826,-1.570796
258.2,11.6,-8.182609,-1.570796
258.3,11.6,-8.217391,-1.570796
258.4,11.6,-8.252174,-1.570796
258.5,11.6,-8.286957,-1.570796
258.6,11.6,-8.321739,-1.570796
258.7,11.6,-8.356522,-1.570796
258.8,11.6,-8.391304,-1.570796
258.9,11.6,-8.426087,-1.570796
259.0,11.6,-8.46087,-1.570796
259.1,11.6,-8.495652,-1.570796
259.2,11.6,-8.530435,-1.570796
259.3,11.6,-8.565217,-1.570796
259.4,11.6,-8.6,-1.570796
259.5,11.6,-8.634783,-1.570796
259.6,11.6,-8.669565,-1.570796
259.7,11.6,-8.704348,-1.570796
259.8,11.6,-8.73913,-1.570796
259.9,11.6,-8.773913,-1.570796
260.0,11.6,-8.808696,-1.570796
260.1,11.6,-8.843478,-1.570796
260.2,11.6,-8.878261,-1.570796
260.3,11.6,-8.913043,-1.570796
260.4,11.6,-8.947826,-1.570796
260.5,11.6,-8.982609,-1.570796
260.6,11.6,-9.017391,-1.570796
260.7,11.6,-9.052174,-1.570796
260.8,11.6,-9.086957,-1.570796
260.9,11.6,-9.121739,-1.570796
261.0,11.6,-9.156522,-1.570796
261.1,11.6,-9.191304,-1.570796
261.2,11.6,-9.226087,-1.570796
261.3,11.6,-9.26087,-1.570796
261.4,11.6,-9.295652,-1.570796
261.5,11.6,-9.330435,-1.570796
261.6,11.6,-9.365217,-1.570796
261.7,11.6,-9.4,-1.570796
261.8,11.6,-9.434783,-1.570796
261.9,11.6,-9.469565,-1.570796
262.0,11.6,-9.504348,-1.570796
262.1,11.6,-9.53913,-1.570796
262.2,11.6,-9.573913,-1.570796
262.3,11.6,-9.608696,-1.570796
262.4,11.6,-9.643478,-1.570796
262.5,11.6,-9.678261,-1.570796
262.6,11.6,-9.713043,-1.570796
262.7,11.6,-9.747826,-1.570796
262.8,11.6,-9.782609,-1.570796
262.9,11.6,-9.817391,-1.570796
263.0,11.6,-9.852174,-1.570796
263.1,11.6,-9.886957,-1.570796
263.2,11.6,-9.921739,-1.570796
263.3,11.6,-9.956522,-1.570796
263.4,11.6,-9.991304,-1.570796
263.5,11.6,-10.026087,-1.570796
263.6,11.6,-10.06087,-1.570796
263.7,11.6,-10.095652,-1.570796
263.8,11.6,-10.130435,-1.570796
263.9,11.6,-10.165217,-1.570796
264.0,11.6,-10.2,-1.570796
264.1,11.6,-10.234783,-1.570796
264.2,11.6,-10.269565,-1.570796
264.3,11.6,-10.304348,-1.570796
264.4,11.6,-10.33913,-1.570796
264.5,11.6,-10.373913,-1.570796
264.6,11.6,-10.408696,-1.570796
264.7,11.6,-10.443478,-1.570796
264.8,11.6,-10.478261,-1.570796
264.9,11.6,-10.513043,-1.570796
265.0,11.6,-10.547826,-1.570796
265.1,11.6,-10.582609,-1.570796
265.2,11.6,-10.617391,-1.570796
265.3,11.6,-10.652174,-1.570796
265.4,11.6,-10.686957,-1.570796
265.5,11.6,-10.721739,-1.570796
265.6,11.6,-10.756522,-1.570796
265.7,11.6,-10.791304,-1.570796
265.8,11.6,-10.826087,-1.570796
265.9,11.6,-10.86087,-1.570796
266.0,11.6,-10.895652,-1.570796
266.1,11.6,-10.930435,-1.570796
266.2,11.6,-10.965217,-1.570796
266.3,11.6,-11.0,-2.312744
266.4,11.577083,-11.025,-2.312744
266.5,11.554167,-11.05,-2.312744
266.6,11.53125,-11.075,-2.312744
266.7,11.508333,-11.1,-2.312744
266.8,11.485417,-11.125,-2.312744
266.9,11.4625,-11.15,-2.312744
267.0,11.439583,-11.175,-2.312744
267.1,11.416667,-11.2,-2.312744
267.2,11.39375,-11.225,-2.312744
267.3,11.370833,-11.25,-2.312744
267.4,11.347917,-11.275,-2.312744
267.5,11.325,-11.3,-2.312744
267.6,11.302083,-11.325,-2.312744
267.7,11.279167,-11.35,-2.312744
267.8,11.25625,-11.375,-2.312744
267.9,11.233333,-11.4,-2.312744
268.0,11.210417,-11.425,-2.312744
268.1,11.1875,-11.45,-2.312744
268.2,11.164583,-11.475,-2.312744
268.3,11.141667,-11.5,-2.312744
268.4,11.11875,-11.525,-2.312744
268.5,11.095833,-11.55,-2.312744
268.6,11.072917,-11.575,-2.312744
268.7,11.05,-11.6,3.141593
268.8,11.015217,-11.6,3.141593
268.9,10.980435,-11.6,3.141593
269.0,10.945652,-11.6,3.141593
269.1,10.91087,-11.6,3.141593
269.2,10.876087,-11.6,3.141593
269.3,10.841304,-11.6,3.141593
269.4,10.806522,-11.6,3.141593
269.5,10.771739,-11.6,3.141593
269.6,10.736957,-11.6,3.141593
269.7,10.702174,-11.6,3.141593
269.8,10.667391,-11.6,3.141593
269.9,10.632609,-11.6,3.141593
270.0,10.597826,-11.6,3.141593
270.1,10.563043,-11.6,3.141593
270.2,10.528261,-11.6,3.141593
270.3,10.493478,-11.6,3.141593
270.4,10.458696,-11.6,3.141593
270.5,10.423913,-11.6,3.141593
270.6,10.38913,-11.6,3.141593
270.7,10.354348,-11.6,3.141593
270.8,10.319565,-11.6,3.141593
270.9,10.284783,-11.6,3.141593
271.0,10.25,-11.6,3.141593
271.1,10.215217,-11.6,3.141593
271.2,10.180435,-11.6,3.141593
271.3,10.145652,-11.6,3.141593
271.4,10.11087,-11.6,3.141593
271.5,10.076087,-11.6,3.141593
271.6,10.041304,-11.6,3.141593
271.7,10.006522,-11.6,3.141593
271.8,9.971739,-11.6,3.141593
271.9,9.936957,-11.6,3.141593
272.0,9.902174,-11.6,3.141593
272.1,9.867391,-11.6,3.141593
272.2,9.832609,-11.6,3.141593
272.3,9.797826,-11.6,3.141593
272.4,9.763043,-11.6,3.141593
272.5,9.728261,-11.6,3.141593
272.6,9.693478,-11.6,3.141593
272.7,9.658696,-11.6,3.141593
272.8,9.623913,-11.6,3.141593
272.9,9.58913,-11.6,3.141593
273.0,9.554348,-11.6,3.141593
273.1,9.519565,-11.6,3.141593
273.2,9.484783,-11.6,3.141593
273.3,9.45,-11.6,3.141593
273.4,9.415217,-11.6,3.141593
273.5,9.380435,-11.6,3.141593
273.6,9.345652,-11.6,3.141593
273.7,9.31087,-11.6,3.141593
273.8,9.276087,-11.6,3.141593
273.9,9.241304,-11.6,3.141593
274.0,9.206522,-11.6,3.141593
274.1,9.171739,-11.6,3.141593
274.2,9.136957,-11.6,3.141593
274.3,9.102174,-11.6,3.141593
274.4,9.067391,-11.6,3.141593
274.5,9.032609,-11.6,3.141593
274.6,8.997826,-11.6,3.141593
274.7,8.963043,-11.6,3.141593
274.8,8.928261,-11.6,3.141593
274.9,8.893478,-11.6,3.141593
275.0,8.858696,-11.6,3.141593
275.1,8.823913,-11.6,3.141593
275.2,8.78913,-11.6,3.141593
275.3,8.754348,-11.6,3.141593
275.4,8.719565,-11.6,3.141593
275.5,8.684783,-11.6,3.141593
275.6,8.65,-11.6,3.141593
275.7,8.615217,-11.6,3.141593
275.8,8.580435,-11.6,3.141593
275.9,8.545652,-11.6,3.141593
276.0,8.51087,-11.6,3.141593
276.1,8.476087,-11.6,3.141593
276.2,8.441304,-11.6,3.141593
276.3,8.406522,-11.6,3.141593
276.4,8.371739,-11.6,3.141593
276.5,8.336957,-11.6,3.141593
276.6,8.302174,-11.6,3.141593
276.7,8.267391,-11.6,3.141593
276.8,8.232609,-11.6,3.141593
276.9,8.197826,-11.6,3.141593
277.0,8.163043,-11.6,3.141593
277.1,8.128261,-11.6,3.141593
277.2,8.093478,-11.6,3.141593
277.3,8.058696,-11.6,3.141593
277.4,8.023913,-11.6,3.141593
277.5,7.98913,-11.6,3.141593
277.6,7.954348,-11.6,3.141593
277.7,7.919565,-11.6,3.141593
277.8,7.884783,-11.6,3.141593
277.9,7.85,-11.6,3.141593
278.0,7.815217,-11.6,3.141593
278.1,7.780435,-11.6,3.141593
278.2,7.745652,-11.6,3.141593
278.3,7.71087,-11.6,3.141593
278.4,7.676087,-11.6,3.141593
278.5,7.641304,-11.6,3.141593
278.6,7.606522,-11.6,3.141593
278.7,7.571739,-11.6,3.141593
278.8,7.536957,-11.6,3.141593
278.9,7.502174,-11.6,3.141593
279.0,7.467391,-11.6,3.141593
279.1,7.432609,-11.6,3.141593
