t,x,y,theta
137.100,2.098293,11.598547,-0.249325
137.200,2.131553,11.568734,-0.244570
137.300,2.165402,11.560280,-0.243594
137.400,2.199596,11.540273,-0.242413
137.500,2.234286,11.531644,-0.243856
137.600,2.268180,11.523171,-0.244616
137.700,2.302373,11.507764,-0.243856
137.800,2.335127,11.499586,-0.244227
137.900,2.366570,11.491738,-0.243746
138.000,2.399793,11.479106,-0.243778
138.100,2.432862,11.470874,-0.242963
138.200,2.466504,11.462513,-0.242936
138.300,2.498619,11.454514,-0.244011
138.400,2.537118,11.455575,-0.461905
138.500,2.567061,11.440653,-0.461756
138.600,2.596498,11.425956,-0.463214
138.700,2.626209,11.408923,-0.472029
138.800,2.655028,11.394183,-0.472279
138.900,2.683487,11.372072,-0.481828
139.000,2.714380,11.355891,-0.481879
139.100,2.744085,11.340307,-0.483114
139.200,2.773027,11.322765,-0.486374
139.300,2.802556,11.307123,-0.486608
139.400,2.831035,11.292006,-0.488266
139.500,2.860280,11.271844,-0.492133
139.600,2.890114,11.255807,-0.493075
139.700,2.919682,11.239899,-0.492821
139.800,2.948316,11.224518,-0.491872
139.900,2.977681,11.208166,-0.494041
140.000,3.007395,11.192123,-0.495151
140.100,3.037550,11.175804,-0.495915
140.200,3.064966,11.159161,-0.498236
140.300,3.094900,11.142877,-0.497152
140.400,3.122567,11.124624,-0.498970
140.500,3.152867,11.108091,-0.498803
140.600,3.182956,11.091657,-0.499961
140.700,3.209379,11.073705,-0.501732
140.800,3.240811,11.066262,0.037828
140.900,3.276817,11.067613,0.038381
141.000,3.312005,11.065930,0.030615
141.100,3.345498,11.066924,0.030175
141.200,3.380861,11.067959,0.029857
141.300,3.415029,11.068932,0.028512
141.400,3.447657,11.067013,0.022102
141.500,3.481578,11.067723,0.021315
141.600,3.516170,11.068426,0.020828
141.700,3.551894,11.066313,0.016830
141.800,3.586276,11.066876,0.017324
141.900,3.620727,11.065421,0.015009
142.000,3.656835,11.065922,0.014341
142.100,3.690671,11.066383,0.014612
142.200,3.725525,11.065023,0.014058
142.300,3.759847,11.065475,0.013959
142.400,3.793576,11.065896,0.012639
142.500,3.827718,11.064270,0.010860
142.600,3.861245,11.064630,0.012196
142.700,3.897098,11.065053,0.013156
142.800,3.932597,11.065474,0.012380
142.900,3.967229,11.064019,0.009946
143.000,4.001943,11.064311,0.008941
143.100,4.035965,11.064580,0.008856
143.200,4.071762,11.063342,0.008103
143.300,4.103855,11.063555,0.007331
143.400,4.138522,11.062270,0.006177
143.500,4.171464,11.062437,0.006120
143.600,4.205688,11.062611,0.006329
143.700,4.240041,11.060632,0.003320
143.800,4.273726,11.060677,0.001500
143.900,4.310230,11.060682,0.000894
144.000,4.345923,11.059795,0.000684
144.100,4.380042,11.059766,-0.000256
144.200,4.414195,11.059726,-0.000135
144.300,4.448803,11.059654,-0.002057
144.400,4.484847,11.058801,-0.003354
144.500,4.519499,11.058668,-0.002358
144.600,4.554386,11.058541,-0.003070
144.700,4.589836,11.057800,-0.003351
144.800,4.624335,11.057627,-0.004996
144.900,4.659624,11.057641,-0.006607
145.000,4.694284,11.057369,-0.007291
145.100,4.727975,11.057094,-0.007363
145.200,4.761551,11.056679,-0.006709
145.300,4.796239,11.056407,-0.007070
145.400,4.830480,11.056139,-0.006764
145.500,4.866173,11.055799,-0.005311
145.600,4.901102,11.055599,-0.004669
145.700,4.935252,11.055389,-0.006079
145.800,4.971381,11.055140,-0.006105
145.900,5.006575,11.055172,-0.005431
146.000,5.042714,11.054932,-0.006298
146.100,5.078238,11.054681,-0.006349
146.200,5.113640,11.054242,-0.006536
146.300,5.149204,11.053978,-0.006763
146.400,4.895589,11.053293,-0.007403
146.500,4.930613,11.053001,-0.007703
146.600,4.964464,11.052684,-0.009522
146.700,4.868374,11.052866,-0.008001
146.800,4.901510,11.052587,-0.007089
146.900,4.937202,11.052320,-0.006137
147.000,4.905544,11.052104,-0.006533
147.100,4.939455,11.051855,-0.006554
147.200,4.973210,11.051609,-0.006438
147.300,5.007796,11.051361,-0.006304
147.400,4.994703,11.051446,-0.005574
147.500,5.029590,11.051244,-0.004326
147.600,5.064682,11.051072,-0.003711
147.700,5.098555,11.040988,-0.573249
147.800,5.127086,11.022498,-0.574857
147.900,5.131374,11.004081,-0.576428
148.000,5.160583,10.985066,-0.575521
148.100,5.189423,10.966317,-0.575276
148.200,5.261965,10.949632,-0.568629
148.300,5.291798,10.930530,-0.568401
148.400,5.321485,10.911540,-0.567785
148.500,5.325575,10.892268,-0.569777
148.600,5.354324,10.873816,-0.569527
148.700,5.383197,10.855274,-0.570253
148.800,5.412023,10.836721,-0.571535
148.900,5.417551,10.818806,-0.572540
149.000,5.446524,10.800130,-0.570716
149.100,5.475999,10.781130,-0.572355
149.200,5.485905,10.763855,-0.573425
149.300,5.515531,10.744685,-0.572946
149.400,5.530388,10.727068,-0.572963
149.500,5.561073,10.707229,-0.572372
149.600,5.589629,10.688774,-0.572642
149.700,5.588587,10.669256,-0.574291
149.800,5.618211,10.650028,-0.574732
149.900,5.646925,10.631389,-0.574297
150.000,5.619397,10.612593,-0.575173
150.100,5.641047,10.585456,-1.217343
150.200,5.652908,10.553133,-1.218601
150.300,5.664272,10.522099,-1.218725
150.400,5.663865,10.495112,-1.209144
150.500,5.675364,10.464594,-1.209319
150.600,5.687192,10.433208,-1.209040
150.700,5.699157,10.403652,-1.204488
150.800,5.710983,10.372700,-1.204782
150.900,5.689400,10.339908,-1.207911
151.000,5.701159,10.308792,-1.208562
151.100,5.712773,10.278054,-1.207997
151.200,5.751455,10.248142,-1.203028
151.300,5.763268,10.217356,-1.203262
151.400,5.775334,10.185870,-1.203787
151.500,5.760056,10.153392,-1.207308
151.600,5.771529,10.123136,-1.206939
151.700,5.783123,10.092579,-1.207007
151.800,5.795186,10.060779,-1.207094
151.900,5.808310,10.032191,-1.205760
152.000,5.820333,10.000611,-1.205989
152.100,5.832707,9.968115,-1.205649
152.200,5.845925,9.940222,-1.204095
152.300,5.857975,9.908748,-1.203976
152.400,5.893602,9.878746,-1.197187
152.500,5.906535,9.848243,-1.140228
152.600,5.920436,9.817872,-1.140853
152.700,5.935011,9.787510,-1.140029
152.800,5.949448,9.756069,-1.138679
152.900,5.963985,9.724482,-1.138272
153.000,5.980521,9.691681,-1.135883
153.100,5.995117,9.660197,-1.135481
153.200,6.010168,9.627818,-1.133869
153.300,6.024655,9.596700,-1.134284
153.400,6.039203,9.566515,-1.134253
153.500,6.053561,9.535623,-1.135186
153.600,6.068451,9.503571,-1.134543
153.700,6.082155,9.472846,-1.134311
153.800,6.096991,9.440915,-1.135151
153.900,6.112441,9.407755,-1.134771
154.000,6.127465,9.375430,-1.134533
154.100,6.141726,9.344766,-1.134415
154.200,6.155369,9.313759,-1.133497
154.300,6.170251,9.281815,-1.133995
154.400,6.184664,9.250878,-1.133501
154.500,6.200696,9.222688,-1.133022
154.600,6.215495,9.190987,-1.133000
154.700,6.230285,9.159284,-1.133597
154.800,6.244963,9.127817,-1.133291
154.900,6.263571,9.101389,-1.351636
155.000,6.270907,9.068269,-1.352087
155.100,6.277983,9.036349,-1.351378
155.200,6.285332,9.003193,-1.352155
155.300,6.292400,8.971291,-1.351397
155.400,6.299686,8.938471,-1.351301
155.500,6.306786,8.906481,-1.351509
155.600,6.314135,8.873345,-1.351645
155.700,6.319148,8.839255,-1.352255
155.800,6.326405,8.806385,-1.352717
155.900,6.333857,8.772676,-1.351885
156.000,6.339652,8.739197,-1.353569
156.100,6.346701,8.707101,-1.353637
156.200,6.353953,8.674084,-1.353509
156.300,6.361206,8.641153,-1.352465
156.400,6.371839,8.608938,-1.350470
156.500,6.379269,8.575631,-1.350069
156.600,6.386667,8.542513,-1.349891
156.700,6.392576,8.509340,-1.351493
156.800,6.399922,8.476278,-1.350627
156.900,6.406070,8.441857,-1.351430
157.000,6.413551,8.408195,-1.350675
157.100,6.421037,8.374456,-1.351896
157.200,6.428842,8.340399,-1.353281
157.300,6.433016,8.306177,-1.543115
157.400,6.433957,8.270830,-1.542817
157.500,6.433128,8.234372,-1.543973
157.600,6.434017,8.199563,-1.543932
157.700,6.434907,8.163903,-1.545213
157.800,6.435743,8.129177,-1.545652
157.900,6.434825,8.094310,-1.545965
158.000,6.435590,8.060549,-1.547469
158.100,6.436367,8.026137,-1.546177
158.200,6.435518,7.990976,-1.547577
158.300,6.436272,7.956667,-1.547370
158.400,6.435690,7.921234,-1.548844
158.500,6.436449,7.885125,-1.547991
158.600,6.437237,7.849317,-1.546981
158.700,6.436254,7.813364,-1.548791
158.800,6.436942,7.779587,-1.549244
158.900,6.437661,7.744846,-1.548146
159.000,6.436578,7.709552,-1.550098
159.100,6.437213,7.676539,-1.550352
159.200,6.437871,7.641835,-1.550646
159.300,6.438522,7.607451,-1.550444
159.400,6.437278,7.572343,-1.551827
159.500,6.437924,7.536471,-1.550996
159.600,6.438551,7.502012,-1.551395
159.700,6.434592,7.465418,-1.555788
159.800,6.435049,7.429977,-1.557112
159.900,6.431920,7.394812,-1.558872
160.000,6.432268,7.359923,-1.559827
160.100,6.432584,7.325786,-1.560215
