scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood,best_particle,best_particle_weight,candidate_cluster_mass,candidate_cluster_count,selected_cluster_mass,selected_switched,previous_cluster_mass,previous_cluster_count,hypothesis_switches,true_nearest_particle_weight,true_nearest_particle_rank,true_cluster_mass,true_cluster_count
0,0.0,-2.598433823740747,11.973843572401242,0.07707635138613335,0.0,-12.0,3.141593,24.11424960413084,3.0645166486138664,1.4543084773795705,56,-299.3944533333334,146,0.8196267077410824,0.8196267656409331,10,0.8196267656409331,1,0.0,0,0,1.8350698311760474e-41,283,0.0024814647284582686,13
2,0.4,-2.4600461528459285,11.984327802888973,0.05390909427279583,-0.13913,-12.0,3.141593,24.09636138393044,3.087683905727204,1679.1913873124645,56,-11.3686,418,0.0009952638229480716,0.8405663902473319,2387,0.8405663902473319,0,0.8405663902473319,2387,0,1.350429591437961e-05,2586,1.864376809127163e-05,8
4,1.0,-2.2511504628435794,11.994696324809919,0.03949177163253007,-0.347826,-12.0,3.141593,24.070066384011188,3.1021012283674696,1125.97792101704,56,-11.135966666666667,824,0.0017117777198516842,0.8692402091607723,2388,0.8692402091607723,0,0.8692402091607723,2388,0,1.6372909081896887e-09,2825,1.3828787197699632e-06,8
6,1.4,-2.111837354356336,11.999337190272268,0.030922302829033032,-0.486957,-12.0,3.141593,24.054280736250643,3.110670697170967,2368.978456896026,56,-8.820253333333334,9,0.0005263454213724535,0.917183547596749,2528,0.917183547596749,0,0.917183547596749,2528,0,0.00018979749573017348,2249,0.0,0
8,1.8,-1.9746262823816298,12.002675910672632,0.02153630993147342,-0.626087,-12.0,3.141593,24.04052846900231,3.1200566900685263,1768.9126333386614,56,-9.408140000000001,614,0.0008241386310974384,0.9493464942849519,2528,0.9493464942849519,0,0.9493464942849519,2528,0,5.764703171634026e-05,2211,0.0,0
10,2.3,-1.796015381039203,12.004931126309694,0.00463651839555214,-0.8,-12.0,3.141593,24.025585633198176,3.1369564816044475,1097.097032663775,56,-11.280220000000002,630,0.001650238730399084,0.971330569629119,2528,0.971330569629119,0,0.971330569629119,2528,0,1.3855402676545113e-05,1909,0.0,0
12,2.7,-1.6539413176316893,12.006208707754315,0.0066031642744202685,-0.93913,-12.0,3.141593,24.01684849725445,3.1349898357255794,2556.562932554256,56,-9.891813333333333,9,0.0004592110927570524,0.9846528155624834,2828,0.9846528155624834,0,0.9846528155624834,2828,0,1.144486372088092e-70,2927,1.144486372088092e-70,1
14,3.1,-1.515230931876998,12.008088821623708,0.009476561810846341,-1.078261,-12.0,3.141593,24.012065125439293,3.1321164381891533,2104.9862186497976,56,-10.10922,9,0.0006292336466176353,0.9924486708567111,2828,0.9924486708567111,0,0.9924486708567111,2828,0,4.255958551689398e-139,2927,4.255958551689398e-139,1
16,3.5,-1.3862226398085764,12.014373915492815,0.05305148102835678,-1.217391,-12.0,3.141593,24.01496738860376,3.088541518971643,699.0366317799975,56,-13.653393333333334,1521,0.003963383459221734,0.9985226146046404,2828,0.9985226146046404,0,0.9985226146046404,2828,0,3.132626992133342e-206,2925,3.132626992133342e-206,1
18,3.9,-1.245396775751406,12.020232580743489,0.03275003720719166,-1.356522,-12.0,3.141593,24.02048962965733,3.1088429627928083,1890.984376819669,56,-10.413773333333335,2,0.0006857929661418213,0.9992798104165372,2907,0.9992798104165372,0,0.9992798104165372,2907,0,1.058058244690948e-163,2969,1.058058244690948e-163,1
20,4.5,-1.035050959749657,12.02538512346715,0.02225550329643201,-1.565217,-12.0,3.141593,24.031233974999108,3.119337496703568,1418.739465287034,56,-10.936773333333335,27,0.0009601964959794285,0.9992408494050611,2907,0.9992408494050611,0,0.9992408494050611,2907,0,0.0,2996,0.0,1
22,5.1,-0.8260853063759119,12.02920825097868,0.015160945311830916,-1.773913,-12.0,3.141593,24.047894429777063,3.126432054688169,2550.3105461673513,56,-10.618013333333334,10,0.00046181792051055526,0.9988931709667626,2907,0.9988931709667626,0,0.9988931709667626,2907,0,1.8419395924107653e-43,2918,0.0,0
24,5.7,-0.6157312734627091,12.024899074883418,-0.02366051042013478,-1.982609,-12.0,3.141593,24.063751375827458,3.117931796759452,1018.3119881435293,56,-14.265273333333335,1790,0.00258647721181819,0.9980506136519334,2907,0.9980506136519334,0,0.9980506136519334,2907,0,1.7297683064404042e-64,2915,0.0,0
