scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood
0,0.0,-2.598433823740747,11.973843572401242,0.07707635138613335,0.0,-12.0,3.141593,24.11424960413084,3.0645166486138664,1.4543084773795705,56,-299.3944533333334
2,0.4,-2.4600461528459285,11.984327802888973,0.05390909427279583,-0.13913,-12.0,3.141593,24.09636138393044,3.087683905727204,1679.1913873124645,56,-11.3686
4,1.0,-2.2511504628435794,11.994696324809919,0.03949177163253007,-0.347826,-12.0,3.141593,24.070066384011188,3.1021012283674696,1125.97792101704,56,-11.135966666666667
6,1.4,-2.111837354356336,11.999337190272268,0.030922302829033032,-0.486957,-12.0,3.141593,24.054280736250643,3.110670697170967,2368.978456896026,56,-8.820253333333334
8,1.8,-1.9746262823816298,12.002675910672632,0.02153630993147342,-0.626087,-12.0,3.141593,24.04052846900231,3.1200566900685263,1768.9126333386614,56,-9.408140000000001
10,2.3,-1.796015381039203,12.004931126309694,0.00463651839555214,-0.8,-12.0,3.141593,24.025585633198176,3.1369564816044475,1097.097032663775,56,-11.280220000000002
12,2.7,-1.6539413176316893,12.006208707754315,0.0066031642744202685,-0.93913,-12.0,3.141593,24.01684849725445,3.1349898357255794,2556.562932554256,56,-9.891813333333333
14,3.1,-1.515230931876998,12.008088821623708,0.009476561810846341,-1.078261,-12.0,3.141593,24.012065125439293,3.1321164381891533,2104.9862186497976,56,-10.10922
16,3.5,-1.3862226398085764,12.014373915492815,0.05305148102835678,-1.217391,-12.0,3.141593,24.01496738860376,3.088541518971643,699.0366317799975,56,-13.653393333333334
18,3.9,-1.245396775751406,12.020232580743489,0.03275003720719166,-1.356522,-12.0,3.141593,24.02048962965733,3.1088429627928083,1890.984376819669,56,-10.413773333333335
20,4.5,-1.035050959749657,12.02538512346715,0.02225550329643201,-1.565217,-12.0,3.141593,24.031233974999108,3.119337496703568,1418.739465287034,56,-10.936773333333335
22,5.1,-0.8260853063759119,12.02920825097868,0.015160945311830916,-1.773913,-12.0,3.141593,24.047894429777063,3.126432054688169,2550.3105461673513,56,-10.618013333333334
24,5.7,-0.6157312734627091,12.024899074883418,-0.02366051042013478,-1.982609,-12.0,3.141593,24.063751375827458,3.117931796759452,1018.3119881435293,56,-14.265273333333335
26,6.3,-0.40449489765680874,12.023472510133441,-0.00938075018420256,-2.191304,-12.0,3.141593,24.089830182327017,3.1322115569953843,2302.317220148122,56,-10.879800000000001
28,6.9,-0.2056570816446066,12.022837180869416,-0.006169497124370184,-2.4,-12.0,3.141593,24.12284906601827,3.135422810055217,1896.0218209082902,56,-10.92078
30,7.5,0.002357281943008842,12.023891460021051,0.004918404934559139,-2.608696,-12.0,3.141593,24.165366956121684,3.1366745950654407,1410.792617158672,56,-12.815573333333333
32,8.1,0.21722963581068305,12.025106451666108,0.003999263342432543,-2.817391,-12.0,3.141593,24.21600013249869,3.1375937366575672,2565.8832173076985,56,-9.720206666666668
34,8.7,0.28444224244466926,12.024218092929523,-0.005431418589097955,-3.026087,-12.0,3.141593,24.251240356767806,3.136160888590489,1032.4775780864002,56,-12.399553333333337
36,9.3,0.3635243315383681,12.030875359016019,0.06667929395708584,-3.234783,-12.0,3.141593,24.298781577946784,3.074913706042914,399.5101056563227,56,-14.928560000000003
38,9.9,0.6587441681686033,12.03992038928219,0.03412534957316767,-3.443478,-12.0,3.141593,24.387414767458225,3.107467650426832,1702.0275970310597,56,-10.168773333333334
40,10.5,0.7988393284699356,12.043417172564709,0.015200006712295709,-3.652174,-12.0,3.141593,24.45194121095903,3.126392993287704,902.6663655467925,56,-11.291313333333335
42,11.1,-3.8039945906844643,11.976147677855112,0.01005203811900357,-3.86087,-12.0,3.141593,23.976215136724598,3.1315409618809964,160.73894520591028,56,-14.186066666666665
44,11.7,-3.5904579915511023,11.98044439078428,0.01868429883315553,-4.069565,-12.0,3.141593,23.985229969817716,3.1229087011668444,2133.6348747259035,56,-8.547426666666668
46,12.3,-3.382945352882895,11.986037764122017,0.020532428215108374,-4.278261,-12.0,3.141593,24.002741462796706,3.1210605717848914,1119.1004134294922,56,-10.180826666666668
48,12.9,-3.1754726486612848,11.99132176670621,0.01930729475159953,-4.486957,-12.0,3.141593,24.027141139083476,3.1222857052484003,2294.173934187888,56,-8.839893333333334
50,13.5,-2.9678038009693335,11.991557254647319,-0.007766667147369484,-4.695652,-12.0,3.141593,24.053695743105962,3.1338256400322173,1179.713910560378,56,-11.906780000000001
52,14.1,-2.7602748750669077,11.99377201922861,0.0015747898861853116,-4.904348,-12.0,3.141593,24.08937826669211,3.1400182101138148,2351.6986857205816,56,-10.004993333333335
54,14.7,-2.551438353124454,11.996378206361248,0.0071932941595603175,-5.113043,-12.0,3.141593,24.132716079828718,3.1343997058404396,1851.803088373304,56,-10.202306666666667
56,15.3,-2.343438003819434,11.999787367995593,0.012992592458721424,-5.321739,-12.0,3.141593,24.183880386175645,3.1286004075412785,1450.404923338885,56,-10.517600000000002
58,15.9,-2.1264892123699672,12.01293755036611,0.06713757507200205,-5.530435,-12.0,3.141593,24.2530001592155,3.0744554249279976,590.4780607713202,56,-14.568993333333331
60,16.4,-1.9639168542990009,11.976361194159097,-0.33103410002708206,-5.69375,-11.9625,2.761086,24.227685208620034,3.092120100027082,2034.593450610529,56,-10.55048
62,16.8,-1.834210975067158,11.92953842703772,-0.3468015039279203,-5.81875,-11.9125,2.761086,24.172698392971277,3.1078875039279206,1384.71633381548,56,-11.43566
64,17.2,-1.7080461478620297,11.885847537014646,-0.32228267973201963,-5.94375,-11.8625,2.761086,24.123125789620342,3.0833686797320197,1797.247391276995,56,-10.479186666666669
66,17.6,-1.5753919864524955,11.83897975967557,-0.34030392267707055,-6.06875,-11.8125,2.761086,24.074525147139553,3.101389922677071,1495.1801930638883,56,-9.464266666666667
68,18.0,-1.4464673920851465,11.788923029229757,-0.3818616696508865,-6.19375,-11.7625,2.761086,24.02511641722355,3.1402376375287,1013.351762067076,56,-12.952660000000002
70,18.4,-1.3193811002321367,11.738923106028892,-0.3761706140651014,-6.31875,-11.7125,2.761086,23.978384747391804,3.1372566140651017,2589.5239268460437,56,-10.11402
72,18.8,-1.1826930463046965,11.733874905809092,0.0006168206377024531,-6.454348,-11.7,3.141593,24.019509550611755,3.1409761793622972,2109.6535793898224,56,-10.097166666666666
74,19.2,-1.042979778873578,11.735638868451048,0.007855049797533965,-6.593478,-11.7,3.141593,24.08396146142036,3.133737950202466,1764.207599279533,56,-10.24774
76,19.6,-0.9028893577216877,11.737294740233068,0.01069959901029422,-6.732609,-11.7,3.141593,24.151447489707987,3.130893400989706,1484.1368442956891,56,-10.47344
78,20.0,-0.7613587631384564,11.738973424565543,0.010114957284564543,-6.871739,-11.7,3.141593,24.22234963492431,3.131478042715435,2581.686449405401,56,-9.126686666666668
80,20.4,-0.6200401387441588,11.740351746128951,0.01241484392594785,-7.01087,-11.7,3.141593,24.295941971814344,3.129178156074052,2259.062259759144,56,-9.722960000000002
