candidates,heading_error_rad,matches,position_error_m,scan_index,score,success,theta,true_t,true_theta,true_x,true_y,x,y
0,,0,,0,inf,0,,0.0,,,,,
0,,0,,5,inf,0,,1.2,,,,,
0,,0,,10,inf,0,,2.3,,,,,
0,,0,,15,inf,0,,3.3,,,,,
0,,0,,20,inf,0,,4.5,,,,,
0,,0,,25,inf,0,,6.0,,,,,
0,,0,,30,inf,0,,7.5,,,,,
0,,0,,35,inf,0,,9.0,,,,,
0,,0,,40,inf,0,,10.5,,,,,
0,,0,,45,inf,0,,12.0,,,,,
0,,0,,50,inf,0,,13.5,,,,,
0,,0,,55,inf,0,,15.0,,,,,
0,,0,,60,inf,0,,16.4,,,,,
0,,0,,65,inf,0,,17.4,,,,,
0,,0,,70,inf,0,,18.4,,,,,
0,,0,,75,inf,0,,19.4,,,,,
0,,0,,80,inf,0,,20.4,,,,,
0,,0,,85,inf,0,,21.4,,,,,
480,1.5724761577155315,21,33.64000529492807,90,0.021429053182863943,0,-1.5691161494640555,22.4,3.141593,-7.706522,-11.7,11.70830849018231,15.772064234059226
480,1.573751180248566,20,26.375263361837032,95,0.028162561982365504,0,1.5678418197514339,23.4,3.141593,-8.054348,-11.7,11.739298373096071,5.731754950752483
480,1.574569170249877,17,33.488716068063596,100,0.024817824910409604,0,-1.56702313692971,24.4,3.141593,-8.402174,-11.7,11.685409363668509,15.095206632811195
480,1.5714574200408993,14,27.34990389029289,105,0.02406929264867207,0,1.5701355799591006,25.4,3.141593,-8.75,-11.7,11.737757270678207,6.418196511408921
480,1.5692096763420722,14,33.36155600264353,110,0.03387623056678392,0,-1.5723826308375144,26.4,3.141593,-9.097826,-11.7,11.710830215816706,14.376680107127779
0,,0,,115,inf,0,,27.4,,,,,
0,,0,,120,inf,0,,28.4,,,,,
0,,0,,125,inf,0,,29.4,,,,,
0,,0,,130,inf,0,,30.4,,,,,
240,,0,,135,inf,0,,31.4,,,,,
0,,0,,140,inf,0,,32.4,,,,,
0,,0,,145,inf,0,,33.4,,,,,
0,,0,,150,inf,0,,34.4,,,,,
480,1.5709654883307975,25,26.618634135312146,155,0.12860779720873775,0,-3.141423818848789,35.4,1.570796,-11.7,-10.856522,2.322831780813817,11.768947543781914
480,1.5687104750907492,24,22.54297960075707,160,0.1335061820079537,0,3.1395064750907493,36.4,1.570796,-11.7,-10.508696,-15.390619605099966,11.730127175037866
720,1.5762991774518496,23,22.254568453253285,165,0.13202274647602522,0,-3.1360901297277364,37.4,1.570796,-11.7,-10.16087,-15.685785643724943,11.733862924674199
0,,0,,170,inf,0,,38.4,,,,,
0,,0,,175,inf,0,,39.4,,,,,
0,,0,,180,inf,0,,40.4,,,,,
0,,0,,185,inf,0,,41.4,,,,,
0,,0,,190,inf,0,,42.4,,,,,
0,,0,,195,inf,0,,43.4,,,,,
0,,0,,200,inf,0,,44.4,,,,,
0,,0,,205,inf,0,,45.4,,,,,
0,,0,,210,inf,0,,46.4,,,,,
0,,0,,215,inf,0,,47.4,,,,,
0,,0,,220,inf,0,,48.4,,,,,
0,,0,,225,inf,0,,49.4,,,,,
0,,0,,230,inf,0,,50.4,,,,,
0,,0,,235,inf,0,,51.4,,,,,
0,,0,,240,inf,0,,52.4,,,,,
0,,0,,245,inf,0,,53.4,,,,,
0,,0,,250,inf,0,,54.4,,,,,
0,,0,,255,inf,0,,55.4,,,,,
0,,0,,260,inf,0,,56.4,,,,,
0,,0,,265,inf,0,,57.4,,,,,
0,,0,,270,inf,0,,58.4,,,,,
0,,0,,275,inf,0,,59.4,,,,,
0,,0,,280,inf,0,,60.4,,,,,
0,,0,,285,inf,0,,61.4,,,,,
0,,0,,290,inf,0,,62.4,,,,,
0,,0,,295,inf,0,,63.4,,,,,
0,,0,,300,inf,0,,64.6,,,,,
0,,0,,305,inf,0,,66.1,,,,,
0,,0,,310,inf,0,,67.6,,,,,
0,,0,,315,inf,0,,69.1,,,,,
0,,0,,320,inf,0,,70.6,,,,,
0,,0,,325,inf,0,,72.1,,,,,
0,,0,,330,inf,0,,73.6,,,,,
0,,0,,335,inf,0,,75.1,,,,,
0,,0,,340,inf,0,,76.6,,,,,
0,,0,,345,inf,0,,78.1,,,,,
0,,0,,350,inf,0,,79.6,,,,,
0,,0,,355,inf,0,,81.1,,,,,
0,,0,,360,inf,0,,82.6,,,,,
0,,0,,365,inf,0,,84.1,,,,,
0,,0,,370,inf,0,,85.6,,,,,
0,,0,,375,inf,0,,87.1,,,,,
480,1.5681219354368374,19,19.89597034669306,380,0.10437779698529995,0,0.002674064563162548,88.6,1.570796,-11.7,7.647826,7.706686800226532,12.033044748751637
480,1.5756869168737548,19,20.32465022082218,385,0.12427393487085157,0,-0.004890916873754769,90.1,1.570796,-11.7,8.169565,8.25371697237076,12.034870367663734
480,1.5730497651228152,18,20.729123420519322,390,0.11966487371939058,0,-0.0022537651228150654,91.6,1.570796,-11.7,8.691304,8.757560207377702,12.035670628322775
720,1.5710338848400602,17,21.162285166864233,395,0.1282658479310653,0,-0.00023788484006004307,93.1,1.570796,-11.7,9.213043,9.273202683376612,12.035645112534812
240,,0,,400,inf,0,,94.6,,,,,
0,,0,,405,inf,0,,96.1,,,,,
0,,0,,410,inf,0,,97.6,,,,,
0,,0,,415,inf,0,,99.1,,,,,
0,,0,,420,inf,0,,100.6,,,,,
240,,0,,425,inf,0,,102.1,,,,,
480,3.141188069064942,24,16.01071406724043,430,0.023998482048157726,0,-3.141188069064942,103.6,0.0,-10.269565,11.7,5.740946269051996,11.78058440599543
0,,0,,435,inf,0,,105.1,,,,,
0,,0,,440,inf,0,,106.6,,,,,
0,,0,,445,inf,0,,108.1,,,,,
0,,0,,450,inf,0,,109.6,,,,,
0,,0,,455,inf,0,,111.1,,,,,
0,,0,,460,inf,0,,112.6,,,,,
0,,0,,465,inf,0,,114.1,,,,,
0,,0,,470,inf,0,,115.6,,,,,
0,,0,,475,inf,0,,117.1,,,,,
0,,0,,480,inf,0,,118.6,,,,,
0,,0,,485,inf,0,,120.1,,,,,
0,,0,,490,inf,0,,121.6,,,,,
0,,0,,495,inf,0,,123.1,,,,,
0,,0,,500,inf,0,,124.6,,,,,
0,,0,,505,inf,0,,126.1,,,,,
0,,0,,510,inf,0,,127.6,,,,,
0,,0,,515,inf,0,,129.0,,,,,
0,,0,,520,inf,0,,130.5,,,,,
0,,0,,525,inf,0,,132.0,,,,,
0,,0,,530,inf,0,,133.5,,,,,
0,,0,,535,inf,0,,135.0,,,,,
0,,0,,540,inf,0,,136.5,,,,,
0,,0,,545,inf,0,,138.0,,,,,
0,,0,,550,inf,0,,139.5,,,,,
0,,0,,555,inf,0,,141.0,,,,,
0,,0,,560,inf,0,,142.5,,,,,
0,,0,,565,inf,0,,144.0,,,,,
0,,0,,570,inf,0,,145.5,,,,,
960,3.139003625817932,23,22.34900141094428,575,0.11969221131941687,0,3.139003625817932,147.0,0.0,4.656522,11.05,7.563766832704733,-11.10910177667635
480,3.133589744838072,21,4.526215103545113,580,0.10450822329378238,0,2.562252744838072,148.5,-0.571337,5.133333,10.9,7.151076660783579,14.951584095502348
480,3.140917847407291,22,7.580972072055592,585,0.08749210918880918,0,2.569580847407291,150.0,-0.571337,5.570833,10.61875,6.69758659022084,3.121979768479543
240,,0,,590,inf,0,,151.5,,,,,
720,0.000847200097445544,21,0.01566487004465356,595,0.03909994659985235,1,-1.1333217999025544,153.0,-1.134169,5.972917,9.69375,5.9821202978056816,9.70642625587529
240,,0,,600,inf,0,,154.5,,,,,
0,,0,,605,inf,0,,156.0,,,,,
0,,0,,610,inf,0,,157.5,,,,,
0,,0,,615,inf,0,,159.0,,,,,
0,,0,,620,inf,0,,160.5,,,,,
0,,0,,625,inf,0,,162.0,,,,,
960,0.002721308036363501,19,12.085742524336329,630,0.09573337622351552,0,-1.5680746919636366,163.5,-1.570796,6.4,6.143478,6.419346682311721,18.229205039381412
720,0.0014220712677501801,17,12.091851441674823,635,0.12676787525192101,0,-1.56937392873225,165.0,-1.570796,6.4,5.621739,6.418299664435066,17.71357659441943
0,,0,,640,inf,0,,166.5,,,,,
0,,0,,645,inf,0,,168.0,,,,,
0,,0,,650,inf,0,,169.5,,,,,
0,,0,,655,inf,0,,171.0,,,,,
