candidates,heading_error_rad,matches,position_error_m,scan_index,score,success,theta,true_t,true_theta,true_x,true_y,x,y
0,,0,,0,inf,0,,0.0,,,,,
0,,0,,5,inf,0,,1.2,,,,,
0,,0,,10,inf,0,,2.3,,,,,
0,,0,,15,inf,0,,3.3,,,,,
0,,0,,20,inf,0,,4.5,,,,,
0,,0,,25,inf,0,,6.0,,,,,
0,,0,,30,inf,0,,7.5,,,,,
0,,0,,35,inf,0,,9.0,,,,,
0,,0,,40,inf,0,,10.5,,,,,
0,,0,,45,inf,0,,12.0,,,,,
0,,0,,50,inf,0,,13.5,,,,,
0,,0,,55,inf,0,,15.0,,,,,
0,,0,,60,inf,0,,16.4,,,,,
0,,0,,65,inf,0,,17.4,,,,,
0,,0,,70,inf,0,,18.4,,,,,
0,,0,,75,inf,0,,19.4,,,,,
0,,0,,80,inf,0,,20.4,,,,,
0,,0,,85,inf,0,,21.4,,,,,
480,3.1385681237262637,21,25.63845817542287,90,0.05202086561264239,0,-0.003024183453323336,22.4,3.141593,-7.706522,-11.7,-18.12189593305253,11.727559058672707
720,3.1394167637730117,18,24.7034674294346,95,0.05698703524564768,0,-0.0021755434065748977,23.4,3.141593,-8.054348,-11.7,-0.40384212847629264,11.788956191089408
720,3.1409681034387247,14,25.111466461052792,100,0.04087907837336325,0,0.0006248965612752899,24.4,3.141593,-8.402174,-11.7,-17.438985912420257,11.729079757517548
720,3.1415226674320875,10,29.324318111034216,105,0.05126549986151167,0,7.033256791221204e-05,25.4,3.141593,-8.75,-11.7,8.812020568922907,11.783846921104262
0,,0,,110,inf,0,,26.4,,,,,
0,,0,,115,inf,0,,27.4,,,,,
0,,0,,120,inf,0,,28.4,,,,,
0,,0,,125,inf,0,,29.4,,,,,
0,,0,,130,inf,0,,30.4,,,,,
0,,0,,135,inf,0,,31.4,,,,,
0,,0,,140,inf,0,,32.4,,,,,
0,,0,,145,inf,0,,33.4,,,,,
0,,0,,150,inf,0,,34.4,,,,,
720,1.5714624049033976,24,22.834575651492226,155,0.12871796564182034,0,-3.1409269022761888,35.4,1.570796,-11.7,-10.856522,-15.032057044867424,11.733636056850132
480,1.5712592542289125,23,22.252710203639484,160,0.1484598142342061,0,-0.0004632542289123697,36.4,1.570796,-11.7,-10.508696,-10.456419476614936,11.709238622485008
480,1.5724959250628523,22,21.932720535088183,165,0.1560678560118072,0,-0.0016999250628521151,37.4,1.570796,-11.7,-10.16087,-10.110843780649107,11.714202858867862
0,,0,,170,inf,0,,38.4,,,,,
0,,0,,175,inf,0,,39.4,,,,,
0,,0,,180,inf,0,,40.4,,,,,
0,,0,,185,inf,0,,41.4,,,,,
0,,0,,190,inf,0,,42.4,,,,,
0,,0,,195,inf,0,,43.4,,,,,
0,,0,,200,inf,0,,44.4,,,,,
0,,0,,205,inf,0,,45.4,,,,,
0,,0,,210,inf,0,,46.4,,,,,
0,,0,,215,inf,0,,47.4,,,,,
0,,0,,220,inf,0,,48.4,,,,,
0,,0,,225,inf,0,,49.4,,,,,
0,,0,,230,inf,0,,50.4,,,,,
0,,0,,235,inf,0,,51.4,,,,,
0,,0,,240,inf,0,,52.4,,,,,
0,,0,,245,inf,0,,53.4,,,,,
0,,0,,250,inf,0,,54.4,,,,,
0,,0,,255,inf,0,,55.4,,,,,
0,,0,,260,inf,0,,56.4,,,,,
0,,0,,265,inf,0,,57.4,,,,,
0,,0,,270,inf,0,,58.4,,,,,
0,,0,,275,inf,0,,59.4,,,,,
0,,0,,280,inf,0,,60.4,,,,,
0,,0,,285,inf,0,,61.4,,,,,
0,,0,,290,inf,0,,62.4,,,,,
0,,0,,295,inf,0,,63.4,,,,,
0,,0,,300,inf,0,,64.6,,,,,
0,,0,,305,inf,0,,66.1,,,,,
0,,0,,310,inf,0,,67.6,,,,,
0,,0,,315,inf,0,,69.1,,,,,
0,,0,,320,inf,0,,70.6,,,,,
0,,0,,325,inf,0,,72.1,,,,,
0,,0,,330,inf,0,,73.6,,,,,
0,,0,,335,inf,0,,75.1,,,,,
0,,0,,340,inf,0,,76.6,,,,,
0,,0,,345,inf,0,,78.1,,,,,
0,,0,,350,inf,0,,79.6,,,,,
0,,0,,355,inf,0,,81.1,,,,,
0,,0,,360,inf,0,,82.6,,,,,
0,,0,,365,inf,0,,84.1,,,,,
0,,0,,370,inf,0,,85.6,,,,,
0,,0,,375,inf,0,,87.1,,,,,
480,3.141384175977612,15,10.542590661083317,380,0.018201682903263457,0,-1.5710051312019746,88.6,1.570796,-11.7,7.647826,-11.464482860699441,18.187785654773677
480,3.140900134428512,15,7.151175025243573,385,0.030860451442049124,0,-1.570104134428512,90.1,1.570796,-11.7,8.169565,-11.465756168265036,15.316902551071836
480,3.191581917794117e-05,15,0.018818034049426485,390,0.04779595247317161,1,1.570827915819178,91.6,1.570796,-11.7,8.691304,-11.684126467807515,8.70141089770501
0,,0,,395,inf,0,,93.1,,,,,
0,,0,,400,inf,0,,94.6,,,,,
0,,0,,405,inf,0,,96.1,,,,,
0,,0,,410,inf,0,,97.6,,,,,
0,,0,,415,inf,0,,99.1,,,,,
0,,0,,420,inf,0,,100.6,,,,,
240,,0,,425,inf,0,,102.1,,,,,
480,0.0013775920591546755,24,21.2575503586489,430,0.01880150163022722,0,0.0013775920591546755,103.6,0.0,-10.269565,11.7,10.987980940267109,11.68629423744027
0,,0,,435,inf,0,,105.1,,,,,
0,,0,,440,inf,0,,106.6,,,,,
0,,0,,445,inf,0,,108.1,,,,,
0,,0,,450,inf,0,,109.6,,,,,
0,,0,,455,inf,0,,111.1,,,,,
0,,0,,460,inf,0,,112.6,,,,,
0,,0,,465,inf,0,,114.1,,,,,
0,,0,,470,inf,0,,115.6,,,,,
0,,0,,475,inf,0,,117.1,,,,,
0,,0,,480,inf,0,,118.6,,,,,
0,,0,,485,inf,0,,120.1,,,,,
0,,0,,490,inf,0,,121.6,,,,,
0,,0,,495,inf,0,,123.1,,,,,
0,,0,,500,inf,0,,124.6,,,,,
0,,0,,505,inf,0,,126.1,,,,,
0,,0,,510,inf,0,,127.6,,,,,
0,,0,,515,inf,0,,129.0,,,,,
0,,0,,520,inf,0,,130.5,,,,,
0,,0,,525,inf,0,,132.0,,,,,
0,,0,,530,inf,0,,133.5,,,,,
0,,0,,535,inf,0,,135.0,,,,,
0,,0,,540,inf,0,,136.5,,,,,
0,,0,,545,inf,0,,138.0,,,,,
0,,0,,550,inf,0,,139.5,,,,,
0,,0,,555,inf,0,,141.0,,,,,
0,,0,,560,inf,0,,142.5,,,,,
0,,0,,565,inf,0,,144.0,,,,,
0,,0,,570,inf,0,,145.5,,,,,
960,3.137600510847886,20,3.7611971664882247,575,0.11146915055951859,0,-3.137600510847886,147.0,0.0,4.656522,11.05,8.154020075500497,12.433514126082335
480,3.1380481822761728,18,4.767810607041578,580,0.08516230532011076,0,2.573800124903414,148.5,-0.571337,5.133333,10.9,7.664184590777646,14.940644529041926
240,,0,,585,inf,0,,150.0,,,,,
240,,0,,590,inf,0,,151.5,,,,,
720,0.000568403993920441,21,0.022813269960534812,595,0.0334023457274332,1,-1.1347374039939204,153.0,-1.134169,5.972917,9.69375,5.98979504703325,9.70909851180524
240,,0,,600,inf,0,,154.5,,,,,
0,,0,,605,inf,0,,156.0,,,,,
0,,0,,610,inf,0,,157.5,,,,,
0,,0,,615,inf,0,,159.0,,,,,
0,,0,,620,inf,0,,160.5,,,,,
0,,0,,625,inf,0,,162.0,,,,,
960,0.0003393190752380981,17,0.015985550521730615,630,0.07498090270129387,1,-1.570456680924762,163.5,-1.570796,6.4,6.143478,6.412409231053871,6.133400857045053
960,0.01185856442245048,15,0.06371374471218601,635,0.08955367022854599,1,-1.5826545644224506,165.0,-1.570796,6.4,5.621739,6.46266743577916,5.610239706190617
0,,0,,640,inf,0,,166.5,,,,,
0,,0,,645,inf,0,,168.0,,,,,
0,,0,,650,inf,0,,169.5,,,,,
0,,0,,655,inf,0,,171.0,,,,,
0,,0,,660,inf,0,,172.5,,,,,
0,,0,,665,inf,0,,174.0,,,,,
0,,0,,670,inf,0,,175.5,,,,,
240,,0,,675,inf,0,,177.0,,,,,
0,,0,,680,inf,0,,178.5,,,,,
0,,0,,685,inf,0,,180.0,,,,,
