candidates,heading_error_rad,matches,position_error_m,scan_index,score,success,theta,true_t,true_theta,true_x,true_y,x,y
0,,0,,0,inf,0,,0.0,,,,,
0,,0,,5,inf,0,,1.2,,,,,
0,,0,,10,inf,0,,2.3,,,,,
0,,0,,15,inf,0,,3.3,,,,,
0,,0,,20,inf,0,,4.5,,,,,
0,,0,,25,inf,0,,6.0,,,,,
0,,0,,30,inf,0,,7.5,,,,,
0,,0,,35,inf,0,,9.0,,,,,
0,,0,,40,inf,0,,10.5,,,,,
0,,0,,45,inf,0,,12.0,,,,,
0,,0,,50,inf,0,,13.5,,,,,
0,,0,,55,inf,0,,15.0,,,,,
0,,0,,60,inf,0,,16.4,,,,,
0,,0,,65,inf,0,,17.4,,,,,
0,,0,,70,inf,0,,18.4,,,,,
0,,0,,75,inf,0,,19.4,,,,,
0,,0,,80,inf,0,,20.4,,,,,
0,,0,,85,inf,0,,21.4,,,,,
480,1.5629279808678913,3,35.56966178398733,90,0.0161966258138638,0,-1.5786643263116953,22.4,3.141593,-7.706522,-11.7,11.693573147520901,18.113371961158382
720,0.0020649911315513414,4,29.22880852484635,95,0.04192889739276661,0,3.1395280088684485,23.4,3.141593,-8.054348,-11.7,9.287167180347891,11.828601722837131
480,3.140852748686823,3,8.413459100838116,100,0.014784965424761444,0,-0.000739558492763648,24.4,3.141593,-8.402174,-11.7,0.01104366213424213,-11.763738614890434
720,0.006319710172384663,4,29.247286162073877,105,0.05390868382062618,0,-3.1352725970072024,25.4,3.141593,-8.75,-11.7,8.604657349376975,11.841869427298116
720,0.0016228349182680901,4,23.67399390679148,110,0.05819590954005387,0,3.1399701650817318,26.4,3.141593,-9.097826,-11.7,-6.413730230717795,11.821343868922996
0,,0,,115,inf,0,,27.4,,,,,
480,0.008747771431004272,3,17.4258903679426,120,0.01672893924030223,0,-3.1328445357485823,28.4,3.141593,-9.793478,-11.7,7.632408685177125,-11.688670793443709
0,,0,,125,inf,0,,29.4,,,,,
0,,0,,130,inf,0,,30.4,,,,,
0,,0,,135,inf,0,,31.4,,,,,
0,,0,,140,inf,0,,32.4,,,,,
0,,0,,145,inf,0,,33.4,,,,,
0,,0,,150,inf,0,,34.4,,,,,
480,0.008996424401643388,3,25.89496317185621,155,0.0158670673828142,0,1.5617995755983567,35.4,1.570796,-11.7,-10.856522,-11.701746200957679,15.038441112979555
720,1.5766341792112692,4,22.58952212690725,160,0.12138014694791033,0,-0.00583817921126918,36.4,1.570796,-11.7,-10.508696,-10.463264859143726,12.046946223474894
720,1.5692134657892942,4,25.70418258190843,165,0.10604844501099485,0,3.1400094657892943,37.4,1.570796,-11.7,-10.16087,1.7120693730503829,11.76677003116999
0,,0,,170,inf,0,,38.4,,,,,
0,,0,,175,inf,0,,39.4,,,,,
0,,0,,180,inf,0,,40.4,,,,,
0,,0,,185,inf,0,,41.4,,,,,
0,,0,,190,inf,0,,42.4,,,,,
0,,0,,195,inf,0,,43.4,,,,,
0,,0,,200,inf,0,,44.4,,,,,
0,,0,,205,inf,0,,45.4,,,,,
0,,0,,210,inf,0,,46.4,,,,,
0,,0,,215,inf,0,,47.4,,,,,
0,,0,,220,inf,0,,48.4,,,,,
0,,0,,225,inf,0,,49.4,,,,,
0,,0,,230,inf,0,,50.4,,,,,
0,,0,,235,inf,0,,51.4,,,,,
0,,0,,240,inf,0,,52.4,,,,,
0,,0,,245,inf,0,,53.4,,,,,
0,,0,,250,inf,0,,54.4,,,,,
0,,0,,255,inf,0,,55.4,,,,,
0,,0,,260,inf,0,,56.4,,,,,
0,,0,,265,inf,0,,57.4,,,,,
0,,0,,270,inf,0,,58.4,,,,,
0,,0,,275,inf,0,,59.4,,,,,
0,,0,,280,inf,0,,60.4,,,,,
0,,0,,285,inf,0,,61.4,,,,,
0,,0,,290,inf,0,,62.4,,,,,
0,,0,,295,inf,0,,63.4,,,,,
0,,0,,300,inf,0,,64.6,,,,,
0,,0,,305,inf,0,,66.1,,,,,
0,,0,,310,inf,0,,67.6,,,,,
0,,0,,315,inf,0,,69.1,,,,,
0,,0,,320,inf,0,,70.6,,,,,
0,,0,,325,inf,0,,72.1,,,,,
0,,0,,330,inf,0,,73.6,,,,,
0,,0,,335,inf,0,,75.1,,,,,
0,,0,,340,inf,0,,76.6,,,,,
0,,0,,345,inf,0,,78.1,,,,,
0,,0,,350,inf,0,,79.6,,,,,
0,,0,,355,inf,0,,81.1,,,,,
0,,0,,360,inf,0,,82.6,,,,,
0,,0,,365,inf,0,,84.1,,,,,
0,,0,,370,inf,0,,85.6,,,,,
0,,0,,375,inf,0,,87.1,,,,,
480,3.1377510456701114,3,10.546962768572428,380,0.019379527370296325,0,-1.5669550456701113,88.6,1.570796,-11.7,7.647826,-11.461361353693748,18.19208866925014
720,1.5707984610006334,4,21.20069154786846,385,0.10648473119132518,0,-3.1415908461789526,90.1,1.570796,-11.7,8.169565,9.190206206024179,11.784617804268562
720,1.5765514220405183,4,6.350612517509245,390,0.12667578426566717,0,-0.0057554220405183765,91.6,1.570796,-11.7,8.691304,-17.131992724478934,11.981248435511493
0,,0,,395,inf,0,,93.1,,,,,
0,,0,,400,inf,0,,94.6,,,,,
0,,0,,405,inf,0,,96.1,,,,,
480,3.12198890484507,3,1.9074817346178652,410,0.03387710756984125,0,-1.5511929048450699,97.6,1.570796,-11.7,10.778261,-11.43988171629931,12.667923680582275
0,,0,,415,inf,0,,99.1,,,,,
0,,0,,420,inf,0,,100.6,,,,,
960,3.141542189891151,4,1.592744286099841,425,0.03717079467938485,0,-3.141542189891151,102.1,0.0,-10.791304,11.7,-12.381586478710346,11.788521177186983
0,,0,,430,inf,0,,103.6,,,,,
0,,0,,435,inf,0,,105.1,,,,,
0,,0,,440,inf,0,,106.6,,,,,
0,,0,,445,inf,0,,108.1,,,,,
0,,0,,450,inf,0,,109.6,,,,,
0,,0,,455,inf,0,,111.1,,,,,
0,,0,,460,inf,0,,112.6,,,,,
0,,0,,465,inf,0,,114.1,,,,,
0,,0,,470,inf,0,,115.6,,,,,
0,,0,,475,inf,0,,117.1,,,,,
0,,0,,480,inf,0,,118.6,,,,,
0,,0,,485,inf,0,,120.1,,,,,
0,,0,,490,inf,0,,121.6,,,,,
0,,0,,495,inf,0,,123.1,,,,,
0,,0,,500,inf,0,,124.6,,,,,
0,,0,,505,inf,0,,126.1,,,,,
0,,0,,510,inf,0,,127.6,,,,,
0,,0,,515,inf,0,,129.0,,,,,
0,,0,,520,inf,0,,130.5,,,,,
0,,0,,525,inf,0,,132.0,,,,,
0,,0,,530,inf,0,,133.5,,,,,
0,,0,,535,inf,0,,135.0,,,,,
0,,0,,540,inf,0,,136.5,,,,,
0,,0,,545,inf,0,,138.0,,,,,
0,,0,,550,inf,0,,139.5,,,,,
0,,0,,555,inf,0,,141.0,,,,,
0,,0,,560,inf,0,,142.5,,,,,
0,,0,,565,inf,0,,144.0,,,,,
0,,0,,570,inf,0,,145.5,,,,,
1440,3.1336111013427117,5,3.2270938399450593,575,0.19257070627898482,0,3.1336111013427117,147.0,0.0,4.656522,11.05,7.558911916410897,12.460768381034852
960,3.1377817607858516,4,2.621693926906733,580,0.05933189456765349,0,2.5664447607858514,148.5,-0.571337,5.133333,10.9,7.105231066079209,12.627685464247682
240,,0,,585,inf,0,,150.0,,,,,
480,0.006146013301601806,3,25.87317857403065,590,0.012159755279110179,0,-1.1964360133016019,151.5,-1.19029,5.775,10.1625,5.78492666890209,-15.710676669765993
720,3.1345551516770374,4,6.5302386690238166,595,0.16979604583071078,0,2.0144611555025493,153.0,-1.134169,5.972917,9.69375,6.811937884427361,16.1698646554017
720,3.1274564891080074,4,4.803961507466444,600,0.07516418633273597,0,2.0215598180715793,154.5,-1.134169,6.191667,9.225,6.6186658856916765,4.440052966140865
0,,0,,605,inf,0,,156.0,,,,,
0,,0,,610,inf,0,,157.5,,,,,
0,,0,,615,inf,0,,159.0,,,,,
0,,0,,620,inf,0,,160.5,,,,,
0,,0,,625,inf,0,,162.0,,,,,
720,0.0011856027870624786,4,9.723812100486127,630,0.026218392355626695,0,-1.5696103972129376,163.5,-1.570796,6.4,6.143478,6.3985801844038015,15.867289996829438
