candidates,heading_error_rad,matches,position_error_m,scan_index,score,success,theta,true_t,true_theta,true_x,true_y,x,y
0,,0,,0,inf,0,,0.0,,,,,
0,,0,,5,inf,0,,1.2,,,,,
0,,0,,10,inf,0,,2.3,,,,,
0,,0,,15,inf,0,,3.3,,,,,
0,,0,,20,inf,0,,4.5,,,,,
0,,0,,25,inf,0,,6.0,,,,,
0,,0,,30,inf,0,,7.5,,,,,
0,,0,,35,inf,0,,9.0,,,,,
0,,0,,40,inf,0,,10.5,,,,,
0,,0,,45,inf,0,,12.0,,,,,
0,,0,,50,inf,0,,13.5,,,,,
0,,0,,55,inf,0,,15.0,,,,,
0,,0,,60,inf,0,,16.4,,,,,
0,,0,,65,inf,0,,17.4,,,,,
0,,0,,70,inf,0,,18.4,,,,,
0,,0,,75,inf,0,,19.4,,,,,
0,,0,,80,inf,0,,20.4,,,,,
0,,0,,85,inf,0,,21.4,,,,,
480,0.0017095877036861218,23,29.23169188454809,90,0.08163856793322007,0,3.1398834122963137,22.4,3.141593,-7.706522,-11.7,9.631192572603512,11.834983829016897
720,0.00297501035862835,21,23.411180790927574,95,0.08032974737611161,0,3.1386179896413715,23.4,3.141593,-8.054348,-11.7,-8.080479882299056,11.711166206539644
480,0.0006028914117852897,17,23.500244711924367,100,0.07406536662065312,0,-3.1409894157678013,24.4,3.141593,-8.402174,-11.7,-8.418774236338718,11.800238848839019
720,0.004093983304530613,15,23.41581633567638,105,0.07558304274014568,0,-3.1374983238750556,25.4,3.141593,-8.75,-11.7,-8.762944554412355,11.715812757720792
720,,11,,110,0.0688929868620659,0,,26.4,,,,,
0,,0,,115,inf,0,,27.4,,,,,
480,,9,,120,0.11367929592307638,0,,28.4,,,,,
0,,0,,125,inf,0,,29.4,,,,,
0,,0,,130,inf,0,,30.4,,,,,
0,,0,,135,inf,0,,31.4,,,,,
0,,0,,140,inf,0,,32.4,,,,,
0,,0,,145,inf,0,,33.4,,,,,
0,,0,,150,inf,0,,34.4,,,,,
480,1.5787906164448966,22,22.881820366357548,155,0.15934100740512272,0,-0.007994616444896418,35.4,1.570796,-11.7,-10.856522,-10.81136694844102,12.008036482024798
720,1.5750598421580895,22,29.235374994863182,160,0.16566223469576968,0,-0.004263842158089404,36.4,1.570796,-11.7,-10.508696,6.903693172014541,12.043681955590646
720,1.5688995045480623,20,31.846380460801793,165,0.18051439948196452,0,0.0018964954519377194,37.4,1.570796,-11.7,-10.16087,11.137980726544011,12.034142610677712
0,,0,,170,inf,0,,38.4,,,,,
0,,0,,175,inf,0,,39.4,,,,,
0,,0,,180,inf,0,,40.4,,,,,
0,,0,,185,inf,0,,41.4,,,,,
0,,0,,190,inf,0,,42.4,,,,,
0,,0,,195,inf,0,,43.4,,,,,
0,,0,,200,inf,0,,44.4,,,,,
0,,0,,205,inf,0,,45.4,,,,,
0,,0,,210,inf,0,,46.4,,,,,
0,,0,,215,inf,0,,47.4,,,,,
0,,0,,220,inf,0,,48.4,,,,,
0,,0,,225,inf,0,,49.4,,,,,
0,,0,,230,inf,0,,50.4,,,,,
0,,0,,235,inf,0,,51.4,,,,,
0,,0,,240,inf,0,,52.4,,,,,
0,,0,,245,inf,0,,53.4,,,,,
0,,0,,250,inf,0,,54.4,,,,,
0,,0,,255,inf,0,,55.4,,,,,
0,,0,,260,inf,0,,56.4,,,,,
0,,0,,265,inf,0,,57.4,,,,,
0,,0,,270,inf,0,,58.4,,,,,
0,,0,,275,inf,0,,59.4,,,,,
0,,0,,280,inf,0,,60.4,,,,,
0,,0,,285,inf,0,,61.4,,,,,
0,,0,,290,inf,0,,62.4,,,,,
0,,0,,295,inf,0,,63.4,,,,,
0,,0,,300,inf,0,,64.6,,,,,
0,,0,,305,inf,0,,66.1,,,,,
0,,0,,310,inf,0,,67.6,,,,,
0,,0,,315,inf,0,,69.1,,,,,
0,,0,,320,inf,0,,70.6,,,,,
0,,0,,325,inf,0,,72.1,,,,,
0,,0,,330,inf,0,,73.6,,,,,
0,,0,,335,inf,0,,75.1,,,,,
0,,0,,340,inf,0,,76.6,,,,,
0,,0,,345,inf,0,,78.1,,,,,
0,,0,,350,inf,0,,79.6,,,,,
0,,0,,355,inf,0,,81.1,,,,,
0,,0,,360,inf,0,,82.6,,,,,
0,,0,,365,inf,0,,84.1,,,,,
0,,0,,370,inf,0,,85.6,,,,,
0,,0,,375,inf,0,,87.1,,,,,
480,1.567015854765822,17,19.89677567136644,380,0.14159137648710116,0,0.0037801452341782427,88.6,1.570796,-11.7,7.647826,7.706834426195324,12.036044279771358
720,1.5696077300550582,15,12.030823950122702,385,0.1287016182242238,0,0.001188269944942022,90.1,1.570796,-11.7,8.169565,-0.3050691538008297,12.029134396860835
720,1.6008718485232765,16,4.280884908064741,390,0.20643962073539765,0,-0.030075848523276483,91.6,1.570796,-11.7,8.691304,-14.432771116186863,11.9864424830734
0,,0,,395,inf,0,,93.1,,,,,
0,,0,,400,inf,0,,94.6,,,,,
0,,0,,405,inf,0,,96.1,,,,,
480,3.1231341225862264,20,1.95240787534996,410,0.07645312792656833,0,-1.5523381225862263,97.6,1.570796,-11.7,10.778261,-11.43988171629931,12.713263581448706
0,,0,,415,inf,0,,99.1,,,,,
0,,0,,420,inf,0,,100.6,,,,,
960,3.1415912936172847,21,21.810254381848733,425,0.05337389819112483,0,-3.1415912936172847,102.1,0.0,-10.791304,11.7,11.018788148876501,11.7841228771946
0,,0,,430,inf,0,,103.6,,,,,
0,,0,,435,inf,0,,105.1,,,,,
0,,0,,440,inf,0,,106.6,,,,,
0,,0,,445,inf,0,,108.1,,,,,
0,,0,,450,inf,0,,109.6,,,,,
0,,0,,455,inf,0,,111.1,,,,,
0,,0,,460,inf,0,,112.6,,,,,
0,,0,,465,inf,0,,114.1,,,,,
0,,0,,470,inf,0,,115.6,,,,,
0,,0,,475,inf,0,,117.1,,,,,
0,,0,,480,inf,0,,118.6,,,,,
0,,0,,485,inf,0,,120.1,,,,,
0,,0,,490,inf,0,,121.6,,,,,
0,,0,,495,inf,0,,123.1,,,,,
0,,0,,500,inf,0,,124.6,,,,,
0,,0,,505,inf,0,,126.1,,,,,
0,,0,,510,inf,0,,127.6,,,,,
0,,0,,515,inf,0,,129.0,,,,,
0,,0,,520,inf,0,,130.5,,,,,
0,,0,,525,inf,0,,132.0,,,,,
0,,0,,530,inf,0,,133.5,,,,,
0,,0,,535,inf,0,,135.0,,,,,
0,,0,,540,inf,0,,136.5,,,,,
0,,0,,545,inf,0,,138.0,,,,,
0,,0,,550,inf,0,,139.5,,,,,
0,,0,,555,inf,0,,141.0,,,,,
0,,0,,560,inf,0,,142.5,,,,,
0,,0,,565,inf,0,,144.0,,,,,
0,,0,,570,inf,0,,145.5,,,,,
1440,3.135736707739338,25,3.212570195965884,575,0.18371261063667169,0,3.135736707739338,147.0,0.0,4.656522,11.05,7.558722951936217,12.427620012408644
960,3.1393560978390305,22,3.0678974934895806,580,0.1871709132526999,0,2.5680190978390307,148.5,-0.571337,5.133333,10.9,7.66850517702998,12.627685464247682
240,,0,,585,inf,0,,150.0,,,,,
480,3.1347892334618415,20,6.637317107722226,590,0.1298374756950797,0,1.9444992334618414,151.5,-1.19029,5.775,10.1625,6.465433405653599,3.5611910312560187
720,3.1350426515466308,20,5.691735648418259,595,0.13400187126911678,0,2.013973655632956,153.0,-1.134169,5.972917,9.69375,6.850036527416039,4.070004270852861
720,3.137418045236687,19,4.78602316612582,600,0.11634937027225942,0,2.003249045236687,154.5,-1.134169,6.191667,9.225,6.067396985221788,4.4405904533453615
0,,0,,605,inf,0,,156.0,,,,,
0,,0,,610,inf,0,,157.5,,,,,
0,,0,,615,inf,0,,159.0,,,,,
0,,0,,620,inf,0,,160.5,,,,,
0,,0,,625,inf,0,,162.0,,,,,
720,,13,,630,0.11652438403644573,0,,163.5,,,,,
720,,12,,635,0.1820979262772531,0,,165.0,,,,,
0,,0,,640,inf,0,,166.5,,,,,
0,,0,,645,inf,0,,168.0,,,,,
0,,0,,650,inf,0,,169.5,,,,,
0,,0,,655,inf,0,,171.0,,,,,
0,,0,,660,inf,0,,172.5,,,,,
0,,0,,665,inf,0,,174.0,,,,,
0,,0,,670,inf,0,,175.5,,,,,
