candidates,heading_error_rad,matches,position_error_m,scan_index,score,success,theta,true_t,true_theta,true_x,true_y,x,y
0,,0,,0,inf,0,,0.0,,,,,
0,,0,,5,inf,0,,1.2,,,,,
0,,0,,10,inf,0,,2.3,,,,,
0,,0,,15,inf,0,,3.3,,,,,
0,,0,,20,inf,0,,4.5,,,,,
0,,0,,25,inf,0,,6.0,,,,,
0,,0,,30,inf,0,,7.5,,,,,
0,,0,,35,inf,0,,9.0,,,,,
0,,0,,40,inf,0,,10.5,,,,,
0,,0,,45,inf,0,,12.0,,,,,
0,,0,,50,inf,0,,13.5,,,,,
0,,0,,55,inf,0,,15.0,,,,,
0,,0,,60,inf,0,,16.4,,,,,
0,,0,,65,inf,0,,17.4,,,,,
0,,0,,70,inf,0,,18.4,,,,,
0,,0,,75,inf,0,,19.4,,,,,
0,,0,,80,inf,0,,20.4,,,,,
0,,0,,85,inf,0,,21.4,,,,,
720,3.1394550418099634,29,24.37811969860311,90,0.0631738547380611,0,-0.0021372653696235516,22.4,3.141593,-7.706522,-11.7,-0.7643078435946954,11.668747990554115
480,0.003321927908275235,25,29.230545343076844,95,0.05388213052541339,0,3.1382710720917246,23.4,3.141593,-8.054348,-11.7,9.293237832632084,11.826284169692714
960,0.0030161989661294797,23,29.25168890966752,100,0.05464179968514999,0,3.1385768010338704,24.4,3.141593,-8.402174,-11.7,8.982212633268226,11.82539915608258
480,3.1384366874067253,20,8.463850357021617,105,0.048422614167001166,0,0.003156312593274657,25.4,3.141593,-8.75,-11.7,-0.2862431762854014,-11.739790640601896
480,3.140592523138419,19,9.302378221711406,110,0.10189631289336042,0,0.0010004768615809014,26.4,3.141593,-9.097826,-11.7,0.20449958006381816,-11.731295083655889
480,1.5768731872511135,20,33.320375904272794,115,0.1363603783539342,0,-1.5647191199284736,27.4,3.141593,-9.445652,-11.7,11.708540916255082,14.043884175934021
0,,0,,120,inf,0,,28.4,,,,,
720,1.571002769250992,19,25.36126349052329,125,0.19958922751947783,0,-1.5705895379285946,29.4,3.141593,-10.141304,-11.7,-14.182407171374658,13.337235689948988
0,,0,,130,inf,0,,30.4,,,,,
240,,0,,135,inf,0,,31.4,,,,,
0,,0,,140,inf,0,,32.4,,,,,
0,,0,,145,inf,0,,33.4,,,,,
0,,0,,150,inf,0,,34.4,,,,,
480,1.5599943999860508,27,35.174210106844555,155,0.16449761723532397,0,0.010801600013949263,35.4,1.570796,-11.7,-10.856522,15.00016732846165,12.04164651349895
960,1.5718762233380899,27,22.877463398724437,160,0.13808428917768312,0,-0.0010802233380897697,36.4,1.570796,-11.7,-10.508696,-7.7623266623417555,12.027343142801287
0,,0,,165,inf,0,,37.4,,,,,
0,,0,,170,inf,0,,38.4,,,,,
0,,0,,175,inf,0,,39.4,,,,,
0,,0,,180,inf,0,,40.4,,,,,
0,,0,,185,inf,0,,41.4,,,,,
0,,0,,190,inf,0,,42.4,,,,,
0,,0,,195,inf,0,,43.4,,,,,
0,,0,,200,inf,0,,44.4,,,,,
0,,0,,205,inf,0,,45.4,,,,,
0,,0,,210,inf,0,,46.4,,,,,
0,,0,,215,inf,0,,47.4,,,,,
0,,0,,220,inf,0,,48.4,,,,,
0,,0,,225,inf,0,,49.4,,,,,
0,,0,,230,inf,0,,50.4,,,,,
0,,0,,235,inf,0,,51.4,,,,,
0,,0,,240,inf,0,,52.4,,,,,
0,,0,,245,inf,0,,53.4,,,,,
0,,0,,250,inf,0,,54.4,,,,,
0,,0,,255,inf,0,,55.4,,,,,
0,,0,,260,inf,0,,56.4,,,,,
0,,0,,265,inf,0,,57.4,,,,,
0,,0,,270,inf,0,,58.4,,,,,
0,,0,,275,inf,0,,59.4,,,,,
0,,0,,280,inf,0,,60.4,,,,,
0,,0,,285,inf,0,,61.4,,,,,
0,,0,,290,inf,0,,62.4,,,,,
0,,0,,295,inf,0,,63.4,,,,,
0,,0,,300,inf,0,,64.6,,,,,
0,,0,,305,inf,0,,66.1,,,,,
0,,0,,310,inf,0,,67.6,,,,,
0,,0,,315,inf,0,,69.1,,,,,
0,,0,,320,inf,0,,70.6,,,,,
0,,0,,325,inf,0,,72.1,,,,,
0,,0,,330,inf,0,,73.6,,,,,
0,,0,,335,inf,0,,75.1,,,,,
0,,0,,340,inf,0,,76.6,,,,,
0,,0,,345,inf,0,,78.1,,,,,
0,,0,,350,inf,0,,79.6,,,,,
0,,0,,355,inf,0,,81.1,,,,,
0,,0,,360,inf,0,,82.6,,,,,
0,,0,,365,inf,0,,84.1,,,,,
0,,0,,370,inf,0,,85.6,,,,,
0,,0,,375,inf,0,,87.1,,,,,
480,1.5720547906054283,26,11.712436057011567,380,0.24055265835997156,0,-0.001258790605428217,88.6,1.570796,-11.7,7.647826,-0.8349212625992544,12.021751287389678
720,1.5680513216680974,26,12.018970309084267,385,0.2643235043119303,0,0.002744678331902728,90.1,1.570796,-11.7,8.169565,-0.3160112479558359,12.024490081500433
0,,0,,390,inf,0,,91.6,,,,,
720,1.5712671245810064,23,12.769534041590036,395,0.2808866863957936,0,-0.0004711245810062991,93.1,1.570796,-11.7,9.213043,0.7533791862330833,12.03693153944759
480,3.13302104736395,23,23.9549297527717,400,0.4208391369480735,0,-1.5793682598156367,94.6,1.570796,-11.7,9.734783,11.91927239418947,13.730859954877877
480,3.137595290585211,21,17.84682891005755,405,0.46382349676797296,0,-1.566799290585211,96.1,1.570796,-11.7,10.256522,5.897387652611083,13.229945943637524
960,3.1200175544461697,22,23.53812160838454,410,0.4248697631644807,0,-1.5492215544461696,97.6,1.570796,-11.7,10.778261,11.759793949956444,12.69691591339281
0,,0,,415,inf,0,,99.1,,,,,
0,,0,,420,inf,0,,100.6,,,,,
240,,0,,425,inf,0,,102.1,,,,,
0,,0,,430,inf,0,,103.6,,,,,
0,,0,,435,inf,0,,105.1,,,,,
0,,0,,440,inf,0,,106.6,,,,,
0,,0,,445,inf,0,,108.1,,,,,
0,,0,,450,inf,0,,109.6,,,,,
0,,0,,455,inf,0,,111.1,,,,,
0,,0,,460,inf,0,,112.6,,,,,
0,,0,,465,inf,0,,114.1,,,,,
0,,0,,470,inf,0,,115.6,,,,,
0,,0,,475,inf,0,,117.1,,,,,
0,,0,,480,inf,0,,118.6,,,,,
0,,0,,485,inf,0,,120.1,,,,,
0,,0,,490,inf,0,,121.6,,,,,
0,,0,,495,inf,0,,123.1,,,,,
0,,0,,500,inf,0,,124.6,,,,,
0,,0,,505,inf,0,,126.1,,,,,
0,,0,,510,inf,0,,127.6,,,,,
0,,0,,515,inf,0,,129.0,,,,,
0,,0,,520,inf,0,,130.5,,,,,
0,,0,,525,inf,0,,132.0,,,,,
0,,0,,530,inf,0,,133.5,,,,,
0,,0,,535,inf,0,,135.0,,,,,
0,,0,,540,inf,0,,136.5,,,,,
0,,0,,545,inf,0,,138.0,,,,,
0,,0,,550,inf,0,,139.5,,,,,
0,,0,,555,inf,0,,141.0,,,,,
0,,0,,560,inf,0,,142.5,,,,,
0,,0,,565,inf,0,,144.0,,,,,
0,,0,,570,inf,0,,145.5,,,,,
480,3.0198812195968476,21,22.368504992934984,575,0.1548452635974101,0,-3.0198812195968476,147.0,0.0,4.656522,11.05,7.6130385543289165,-11.12225801498206
480,0.0011394630324792487,22,0.013196535167539538,580,0.2034920598294971,1,-0.5701975369675207,148.5,-0.571337,5.133333,10.9,5.130568322952364,10.887096314431513
240,,0,,585,inf,0,,150.0,,,,,
480,0.006371901027332205,25,0.01596930704098951,590,0.29132311996233873,1,-1.1839180989726679,151.5,-1.19029,5.775,10.1625,5.78740340188881,10.152441451946027
720,0.04437791623025932,24,0.025896208596559375,595,0.16139192822562234,1,-1.0897910837697407,153.0,-1.134169,5.972917,9.69375,5.962656085087257,9.66997338870171
720,0.013294024678609073,21,0.0319688635255128,600,0.30780123369264534,1,-1.147463024678609,154.5,-1.134169,6.191667,9.225,6.20486617637538,9.254116833243408
0,,0,,605,inf,0,,156.0,,,,,
0,,0,,610,inf,0,,157.5,,,,,
0,,0,,615,inf,0,,159.0,,,,,
0,,0,,620,inf,0,,160.5,,,,,
0,,0,,625,inf,0,,162.0,,,,,
