t,x,y,theta
219.600,-6.695119,11.723511,-3.136151
219.700,-6.730224,11.708862,-3.141124
219.800,-6.764847,11.708775,-3.140566
219.900,-6.799419,11.707446,-3.140111
220.000,-6.832874,11.707337,-3.140268
220.100,-6.867438,11.707213,-3.139393
220.200,-6.902138,11.699855,-3.140456
220.300,-6.936102,11.699765,-3.141056
220.400,-6.970818,11.699678,-3.140604
220.500,-7.005368,11.696081,-3.141509
220.600,-7.039809,11.696009,-3.141328
220.700,-7.075681,11.695936,-3.141524
220.800,-7.108629,11.695866,-3.141148
220.900,-7.143147,11.693819,-3.140905
221.000,-7.177266,11.693734,-3.141305
221.100,-7.211741,11.693659,-3.141582
221.200,-7.245556,11.691202,-3.141297
221.300,-7.280563,11.691100,-3.139768
221.400,-7.315419,11.691772,-3.139473
221.500,-7.347558,11.691667,-3.140867
221.600,-7.380879,11.691554,-3.139457
221.700,-7.415385,11.692533,-3.138765
221.800,-7.448483,11.692370,-3.138584
221.900,-7.483465,11.692192,-3.138481
222.000,-7.518359,11.692984,-3.139225
222.100,-7.554428,11.692828,-3.139456
222.200,-7.589400,11.692691,-3.139995
222.300,-7.623685,11.692554,-3.139253
222.400,-7.657278,11.690847,-3.138842
222.500,-7.691116,11.690670,-3.137988
222.600,-7.727267,11.690451,-3.137060
222.700,-7.760381,11.691949,-3.136397
222.800,-7.795642,11.691684,-3.135681
222.900,-7.831092,11.691388,-3.136970
223.000,-7.865396,11.691181,-3.138215
223.100,-7.900267,11.690995,-3.138150
223.200,-7.934641,11.690635,-3.137727
223.300,-7.968735,11.690442,-3.138054
223.400,-8.002786,11.690253,-3.138073
223.500,-8.036849,11.691281,-3.138848
223.600,-8.070916,11.691127,-3.139379
223.700,-8.105362,11.690976,-3.139226
223.800,-8.140121,11.690816,-3.139067
223.900,-8.173958,11.691781,-3.139733
224.000,-8.207797,11.691654,-3.140212
224.100,-8.243601,11.691497,-3.138607
224.200,-7.942285,11.692700,-3.138625
224.300,-7.978110,11.692496,-3.137566
224.400,-7.894708,11.692861,-3.136309
224.500,-7.929195,11.692588,-3.135362
224.600,-7.964414,11.692285,-3.135036
224.700,-7.933386,11.692960,-3.136121
224.800,-7.967279,11.692675,-3.134679
224.900,-8.001678,11.692327,-3.132718
225.000,-7.998653,11.693132,-3.133158
225.100,-8.033761,11.692779,-3.134407
225.200,-8.067916,11.692456,-3.134497
225.300,-8.103466,11.692118,-3.133977
225.400,-8.105734,11.692501,-3.134831
225.500,-8.140404,11.692201,-3.135222
225.600,-8.175360,11.691914,-3.135807
225.700,-8.186368,11.692864,-3.135413
225.800,-8.221731,11.692560,-3.134795
225.900,-8.235653,11.693647,-3.135447
226.000,-8.267412,11.693383,-3.135109
226.100,-8.303180,11.693070,-3.134646
226.200,-8.328214,11.693739,-3.134011
226.300,-8.362736,11.693408,-3.134210
226.400,-8.398742,11.693085,-3.134922
226.500,-8.424957,11.693592,-3.134823
226.600,-8.461024,11.693267,-3.134403
226.700,-8.495993,11.692954,-3.134962
226.800,-8.530384,11.692653,-3.134628
226.900,-8.554870,11.691617,-3.136027
227.000,-8.588834,11.691370,-3.136648
227.100,-8.622804,11.691131,-3.136297
227.200,-8.648392,11.691757,-3.136484
227.300,-8.682665,11.691518,-3.136656
227.400,-8.713966,11.692119,-3.137340
227.500,-8.747138,11.691909,-3.137077
227.600,-8.782409,11.691658,-3.135528
227.700,-8.813546,11.692146,-3.135577
227.800,-8.847456,11.691904,-3.137174
227.900,-8.880655,11.691669,-3.135817
228.000,-8.911004,11.692645,-3.136763
228.100,-8.946400,11.692412,-3.137294
228.200,-8.981451,11.692193,-3.137489
228.300,-9.015765,11.691980,-3.137285
228.400,-9.045338,11.693311,-3.137760
228.500,-9.078388,11.693113,-3.137451
228.600,-9.112552,11.692905,-3.137477
228.700,-9.143078,11.693464,-3.137691
228.800,-9.177623,11.693245,-3.136826
228.900,-9.208396,11.692704,-3.136381
229.000,-9.242834,11.692446,-3.136069
229.100,-9.277835,11.692155,-3.134702
229.200,-9.312718,11.692686,-3.135432
229.300,-9.347007,11.692406,-3.135377
229.400,-9.381296,11.692126,-3.135397
229.500,-9.416436,11.692557,-3.134767
229.600,-9.450560,11.692261,-3.134957
229.700,-9.485606,11.691923,-3.132914
229.800,-9.519640,11.691533,-3.131298
229.900,-9.551034,11.692417,-3.132617
230.000,-9.585387,11.692015,-3.131447
230.100,-9.618869,11.691583,-3.130397
230.200,-9.652270,11.691038,-3.131619
230.300,-9.686136,11.690622,-3.131261
230.400,-9.721632,11.688845,-3.129599
230.500,-9.757492,11.688342,-3.129671
230.600,-9.792346,11.687836,-3.128617
230.700,-9.826691,11.688177,-3.128409
230.800,-9.861174,11.687649,-3.128384
230.900,-9.895713,11.687123,-3.128662
231.000,-9.928859,11.687622,-3.128435
231.100,-9.963311,11.687105,-3.129151
231.200,-9.996574,11.686633,-3.130013
231.300,-10.029221,11.686187,-3.130280
231.400,-10.062856,11.685581,-3.129531
231.500,-10.098388,11.685069,-3.129307
231.600,-10.133748,11.684530,-3.127768
231.700,-10.167074,11.684121,-3.128058
231.800,-10.202280,11.683547,-3.126951
231.900,-10.237671,11.682947,-3.126557
232.000,-10.272173,11.682362,-3.126776
232.100,-10.307845,11.681757,-3.126590
232.200,-10.342469,11.681153,-3.125741
232.300,-10.376646,11.680538,-3.125418
232.400,-10.410134,11.679936,-3.125821
232.500,-10.445179,11.679315,-3.125719
232.600,-10.479952,11.678680,-3.124765
232.700,-10.513988,11.678052,-3.125195
232.800,-10.547926,11.677436,-3.125550
232.900,-10.578619,11.677384,-3.125297
233.000,-10.613648,11.676721,-3.124195
233.100,-10.647491,11.676075,-3.124854
233.200,-10.681844,11.675801,-3.124602
233.300,-10.714716,11.675194,-3.125547
233.400,-10.754405,11.674834,-3.124058
233.500,-10.789597,11.674162,-3.124778
233.600,-10.822771,11.673523,-3.123758
233.700,-10.855550,11.673416,-3.124543
233.800,-10.889988,11.672737,-3.123181
233.900,-10.925454,11.672022,-3.123812
234.000,-10.957822,11.671765,-3.123836
234.100,-10.992300,11.671069,-3.123081
234.200,-11.027007,11.670357,-3.123172
234.300,-11.061125,11.669642,-3.122101
234.400,-11.094785,11.668926,-3.122402
234.500,-11.128788,11.668200,-3.122047
234.600,-11.163912,11.667459,-3.122976
234.700,-11.195007,11.669676,-3.123925
234.800,-11.227918,11.669030,-3.124119
234.900,-11.261753,11.668366,-3.124063
235.000,-11.296070,11.667678,-3.123392
235.100,-11.331016,11.666965,-3.123391
235.200,-11.357342,11.647886,-1.910080
235.300,-11.368750,11.615271,-1.909007
235.400,-11.380112,11.582773,-1.909958
235.500,-11.391383,11.550567,-1.909453
235.600,-11.402510,11.518723,-1.908998
235.700,-11.413511,11.487164,-1.908034
235.800,-11.424891,11.454401,-1.906718
235.900,-11.435550,11.423583,-1.905469
236.000,-11.446704,11.391258,-1.905116
236.100,-11.457960,11.358594,-1.904649
236.200,-11.480762,11.338264,-1.946971
236.300,-11.493237,11.306500,-1.947507
236.400,-11.507076,11.276005,-1.948748
236.500,-11.519362,11.244804,-1.947358
236.600,-11.531168,11.214778,-1.947706
236.700,-11.545316,11.182437,-1.950009
236.800,-11.557950,11.150513,-1.949477
236.900,-11.570258,11.119412,-1.950030
237.000,-11.584185,11.088411,-1.949552
237.100,-11.596980,11.056068,-1.949653
237.200,-11.609229,11.025112,-1.949766
237.300,-11.621727,10.993610,-1.951182
237.400,-11.635329,10.961487,-1.952142
237.500,-11.647994,10.929685,-1.951664
237.600,-11.660501,10.898232,-1.951200
237.700,-11.673868,10.867299,-1.953028
237.800,-11.686109,10.836593,-1.951832
237.900,-11.694244,10.803665,-1.561424
238.000,-11.693795,10.767540,-1.560275
238.100,-11.693356,10.733734,-1.560313
238.200,-11.694346,10.697768,-1.562136
238.300,-11.693947,10.662037,-1.562117
238.400,-11.693552,10.627750,-1.561319
238.500,-11.694696,10.593665,-1.562772
238.600,-11.694326,10.559317,-1.562194
238.700,-11.693958,10.527487,-1.561388
238.800,-11.693531,10.492440,-1.560992
238.900,-11.694317,10.457514,-1.562778
239.000,-11.693941,10.423570,-1.561918
239.100,-11.693548,10.390353,-1.561355
239.200,-11.694242,10.355670,-1.561747
239.300,-11.693861,10.322165,-1.562158
239.400,-11.695308,10.286606,-1.563123
239.500,-11.694949,10.253125,-1.562089
239.600,-11.694565,10.218995,-1.562157
239.700,-11.695177,10.183972,-1.563147
239.800,-11.694804,10.148699,-1.562553
239.900,-11.694443,10.114929,-1.562905
240.000,-11.694982,10.080447,-1.563955
240.100,-11.694654,10.045890,-1.563720
240.200,-11.694330,10.012471,-1.563750
240.300,-11.693961,9.977635,-1.561932
240.400,-11.694637,9.942203,-1.562618
240.500,-11.694261,9.907418,-1.562758
240.600,-11.693879,9.872622,-1.562320
240.700,-11.694589,9.838425,-1.562984
240.800,-11.694212,9.802679,-1.562832
240.900,-11.694560,9.766075,-1.563012
241.000,-11.694178,9.731587,-1.561970
241.100,-11.693744,9.695985,-1.560712
241.200,-11.694381,9.662131,-1.561276
241.300,-11.693956,9.628066,-1.560968
241.400,-11.693515,9.594113,-1.560125
241.500,-11.693453,9.559556,-1.560056
241.600,-11.692995,9.525771,-1.559787
241.700,-11.692513,9.491311,-1.559187
241.800,-11.692001,9.457196,-1.557817
241.900,-11.693660,9.422136,-1.558926
242.000,-11.693158,9.387951,-1.558824
242.100,-11.692624,9.353331,-1.557627
242.200,-11.693385,9.319223,-1.558148
242.300,-11.692843,9.283274,-1.558872
242.400,-11.693430,9.248493,-1.558702
242.500,-11.692889,9.213043,-1.557825
242.600,-11.692340,9.178445,-1.557451
242.700,-11.693031,9.143460,-1.558213
242.800,-11.692513,9.109767,-1.558140
242.900,-11.691974,9.074763,-1.558072
243.000,-11.692348,9.039605,-1.559516
243.100,-11.691857,9.004114,-1.559907
243.200,-11.691357,8.969130,-1.558500
243.300,-11.690829,8.934001,-1.558466
243.400,-11.692161,8.900255,-1.558898
243.500,-11.691618,8.864170,-1.558121
243.600,-11.691078,8.829892,-1.557331
243.700,-11.691814,8.796286,-1.555347
243.800,-11.691166,8.761515,-1.554423
243.900,-11.691749,8.726872,-1.554443
244.000,-11.691087,8.692691,-1.553853
244.100,-11.690362,8.657176,-1.552349
244.200,-11.691102,8.622967,-1.554030
244.300,-11.690437,8.588754,-1.554326
244.400,-11.689726,8.552773,-1.553306
244.500,-11.690585,8.518968,-1.553965
244.600,-11.689911,8.483600,-1.554980
244.700,-11.689282,8.449727,-1.554915
244.800,-11.688644,8.414386,-1.556009
244.900,-11.689232,8.380222,-1.555771
245.000,-11.688616,8.345423,-1.555736
245.100,-11.688000,8.310968,-1.555337
245.200,-11.688884,8.276730,-1.555587
245.300,-11.688223,8.241043,-1.554263
245.400,-11.688855,8.207058,-1.553528
245.500,-11.688144,8.172595,-1.552039
245.600,-11.687415,8.138880,-1.551398
245.700,-11.688408,8.103209,-1.552380
245.800,-11.687651,8.066963,-1.552619
245.900,-11.686945,8.032498,-1.553236
246.000,-11.688355,7.999216,-1.553925
246.100,-11.687677,7.964851,-1.553461
246.200,-11.687005,7.930719,-1.553808
246.300,-11.686271,7.895149,-1.551633
246.400,-11.686888,7.861143,-1.553177
246.500,-11.686213,7.827409,-1.553486
246.600,-11.685521,7.793307,-1.552712
246.700,-11.686398,7.758245,-1.555182
246.800,-11.685790,7.724591,-1.555193
246.900,-11.687438,7.690181,-1.555592
247.000,-11.686823,7.655121,-1.556043
247.100,-11.686195,7.619509,-1.555416
247.200,-11.687115,7.584822,-1.555710
247.300,-11.686475,7.549336,-1.554821
247.400,-11.685834,7.514929,-1.554496
247.500,-11.686553,7.480348,-1.555256
247.600,-11.685958,7.445697,-1.556764
247.700,-11.685398,7.411880,-1.556472
247.800,-11.684807,7.377822,-1.555024
247.900,-11.685914,7.344806,-1.554848
248.000,-11.685279,7.310991,-1.554014
248.100,-11.684619,7.276414,-1.554432
248.200,-11.685243,7.242606,-1.554728
248.300,-11.684588,7.209060,-1.553046
248.400,-11.685605,7.175864,-1.553651
248.500,-11.684906,7.139816,-1.554295
248.600,-11.684240,7.104792,-1.554332
248.700,-11.684684,7.070217,-1.555635
248.800,-11.684083,7.036207,-1.555313
248.900,-11.683488,7.002053,-1.556159
249.000,-11.684751,6.967914,-1.556677
249.100,-11.684189,6.933606,-1.556767
249.200,-11.683650,6.899805,-1.557522
249.300,-11.683109,6.864664,-1.557943
249.400,-11.683359,6.830009,-1.558407
249.500,-11.682864,6.796245,-1.558358
249.600,-11.682337,6.762135,-1.556887
249.700,-11.683295,6.727289,-1.557692
249.800,-11.682763,6.693935,-1.556544
249.900,-11.683565,6.658953,-1.557210
250.000,-11.683013,6.624663,-1.556933
250.100,-11.682440,6.589045,-1.557029
250.200,-11.682828,6.553722,-1.556911
250.300,-11.682267,6.518630,-1.557148
250.400,-11.681718,6.483454,-1.557693
250.500,-11.682831,6.448353,-1.557554
250.600,-11.682335,6.416266,-1.557389
250.700,-11.681783,6.381163,-1.556735
250.800,-11.681258,6.347606,-1.557514
250.900,-11.682050,6.310889,-1.558741
251.000,-11.681547,6.275426,-1.558350
251.100,-11.681056,6.241797,-1.558142
251.200,-11.682027,6.208335,-1.560029
