t,x,y,theta
219.6,-6.6951188885852755,11.723511466918083,-3.136150516277671
219.7,-6.730219991395702,11.723277572728627,-3.137186516277671
219.8,-6.764842637245671,11.7230538243259,-3.1366285162776713
219.9,-6.799411665256578,11.722796384272357,-3.135314516277671
220.0,-6.83286504986964,11.722526786552603,-3.135471516277671
220.1,-6.867427937628003,11.722237624309686,-3.134596516277671
220.2,-6.902195931784979,11.72191954208667,-3.134028516277671
220.3,-6.936158536629351,11.721612092603097,-3.134628516277671
220.4,-6.970873242872403,11.721301109551145,-3.1341765162776714
220.5,-7.005484742482127,11.720960170016804,-3.1330135162776713
220.6,-7.039923468851615,11.720596308714239,-3.1328325162776713
220.7,-7.0757933849276275,11.720218518163954,-3.133028516277671
220.8,-7.108739923536605,11.719868098862039,-3.132652516277671
220.9,-7.143329733699853,11.719512821688015,-3.133854516277671
221.0,-7.177447521031557,11.719187250515063,-3.134254516277671
221.1,-7.211921140222361,11.718869784158565,-3.1345315162776712
221.2,-7.245775769505811,11.718573210255125,-3.135031516277671
221.3,-7.280780651515796,11.718251643050651,-3.1335025162776713
221.4,-7.315637942648465,11.71789263345132,-3.1326545162776713
221.5,-7.347775098948814,11.717568372866525,-3.1340485162776712
221.6,-7.381094353887002,11.71722827528636,-3.1326385162776713
221.7,-7.415602252481357,11.716832867140736,-3.1315165162776712
221.8,-7.448698397861607,11.71642965755572,-3.1313355162776713
221.9,-7.483678466225694,11.715998462421517,-3.131232516277671
222.0,-7.518572083512764,11.715572085096184,-3.131610516277671
222.1,-7.554639460304221,11.715141509454671,-3.1318415162776714
222.2,-7.589609160808395,11.714737855334986,-3.1323805162776712
222.3,-7.623892480462957,11.714340145059676,-3.131638516277671
222.4,-7.6575380491436515,11.71392307773577,-3.1306755162776714
222.5,-7.691373762781766,11.71347015103139,-3.129821516277671
222.6,-7.727521267410745,11.712956163582234,-3.128893516277671
222.7,-7.760644128992668,11.71246134480244,-3.128319516277671
222.8,-7.795902515408777,11.711911401775962,-3.127603516277671
222.9,-7.831409992893571,11.711363366497133,-3.128542516277671
223.0,-7.865710960117305,11.710868236699639,-3.129787516277671
223.1,-7.90057923527076,11.710388130645828,-3.129722516277671
223.2,-7.9349928360935955,11.709900326990109,-3.128951516277671
223.3,-7.969083580041599,11.709407682014907,-3.129278516277671
223.4,-8.003131610138807,11.708920089459921,-3.129297516277671
223.5,-8.037197924439205,11.708438036572227,-3.1296965162776713
223.6,-8.071262210013138,11.707971886019862,-3.1302275162776714
223.7,-8.105705210422514,11.707506006421964,-3.1300745162776713
223.8,-8.14046210477176,11.707027977975896,-3.1299155162776713
223.9,-8.17430362873728,11.706565982639011,-3.1303955162776713
224.0,-8.208139424856677,11.706123253640103,-3.130874516277671
224.1,-8.2439405606411,11.705631483830786,-3.129269516277671
224.2,-8.277735676828039,11.70513005097259,-3.128529516277671
224.3,-8.313556024877283,11.70456457981403,-3.127470516277671
224.4,-8.347842958721454,11.703983269599629,-3.126168516277671
224.5,-8.38232607726992,11.703361148090208,-3.125221516277671
224.6,-8.41753944280802,11.702700759961786,-3.1248955162776713
224.7,-8.451192159835408,11.70207633328521,-3.1254995162776713
224.8,-8.48508084703793,11.701431954755364,-3.1240575162776714
224.9,-8.519473596353999,11.700718190451157,-3.1220965162776713
225.0,-8.555454122788877,11.69992784402767,-3.121638516277671
225.1,-8.590555888487046,11.699169708900689,-3.1228875162776712
225.2,-8.624704645587165,11.698453995608189,-3.1229775162776714
225.3,-8.66024835910444,11.697706210611088,-3.122457516277671
225.4,-8.69451257248608,11.696983091438641,-3.122807516277671
225.5,-8.729175749175912,11.696266159245607,-3.123198516277671
225.6,-8.764126320190904,11.695558473774504,-3.1237835162776713
225.7,-8.79827852377495,11.69485665730713,-3.122546516277671
225.8,-8.833635043931023,11.69409744228281,-3.1219285162776713
225.9,-8.868627686970918,11.693329599146193,-3.1215725162776713
226.0,-8.900380506581604,11.692625223698524,-3.121234516277671
226.1,-8.93614063525154,11.691816067032892,-3.1207715162776712
226.2,-8.970413592532418,11.691010113421799,-3.1196025162776713
226.3,-9.004927013064034,11.690182014268402,-3.119801516277671
226.4,-9.040924576099082,11.689339949818518,-3.120513516277671
226.5,-9.074896365951602,11.688543492527621,-3.119849516277671
226.6,-9.110954344479769,11.687678385330697,-3.119429516277671
226.7,-9.145914270362999,11.686842163925167,-3.119988516277671
226.8,-9.180297167474361,11.686025711091597,-3.119654516277671
226.9,-9.21499322383467,11.685227514347439,-3.1214835162776713
227.0,-9.248950170776052,11.684487268158547,-3.122104516277671
227.1,-9.282912863587935,11.683754232030141,-3.1217535162776713
227.2,-9.31713098109175,11.683005989759804,-3.121580516277671
227.3,-9.351396158583787,11.682256582367732,-3.121752516277671
227.4,-9.386792258007485,11.681492732521493,-3.122123516277671
227.5,-9.419957271646835,11.68077791555067,-3.121860516277671
227.6,-9.455220406517395,11.679990625832241,-3.1203115162776713
227.7,-9.49009321108958,11.679173348480177,-3.1198225162776714
227.8,-9.523994952279994,11.678397070013258,-3.1214195162776712
227.9,-9.557185506615532,11.677639291747784,-3.120062516277671
228.0,-9.593256606037254,11.676796044151782,-3.1203465162776713
228.1,-9.628644059618622,11.675981664617135,-3.120877516277671
228.2,-9.663686502847872,11.675187726631593,-3.121072516277671
228.3,-9.6979924531374,11.674411512915926,-3.120868516277671
228.4,-9.732393423056868,11.673622959430151,-3.120630516277671
228.5,-9.765434481510553,11.672858937663353,-3.120321516277671
228.6,-9.799589871302164,11.672066094562064,-3.120347516277671
228.7,-9.833725430219316,11.671270470019003,-3.120183516277671
228.8,-9.868261439850905,11.670446698978646,-3.119318516277671
228.9,-9.900600302792807,11.669648936091056,-3.1186845162776713
