t,x,y,theta
219.6,-5.95,11.7,3.141593
219.7,-5.984615,11.7,3.141593
219.8,-6.019231,11.7,3.141593
219.9,-6.053846,11.7,3.141593
220.0,-6.088462,11.7,3.141593
220.1,-6.123077,11.7,3.141593
220.2,-6.157692,11.7,3.141593
220.3,-6.192308,11.7,3.141593
220.4,-6.226923,11.7,3.141593
220.5,-6.261538,11.7,3.141593
220.6,-6.296154,11.7,3.141593
220.7,-6.330769,11.7,3.141593
220.8,-6.365385,11.7,3.141593
220.9,-6.4,11.7,3.141593
221.0,-6.434615,11.7,3.141593
221.1,-6.469231,11.7,3.141593
221.2,-6.503846,11.7,3.141593
221.3,-6.538462,11.7,3.141593
221.4,-6.573077,11.7,3.141593
221.5,-6.607692,11.7,3.141593
221.6,-6.642308,11.7,3.141593
221.7,-6.676923,11.7,3.141593
221.8,-6.711538,11.7,3.141593
221.9,-6.746154,11.7,3.141593
222.0,-6.780769,11.7,3.141593
222.1,-6.815385,11.7,3.141593
222.2,-6.85,11.7,3.141593
222.3,-6.884615,11.7,3.141593
222.4,-6.919231,11.7,3.141593
222.5,-6.953846,11.7,3.141593
222.6,-6.988462,11.7,3.141593
222.7,-7.023077,11.7,3.141593
222.8,-7.057692,11.7,3.141593
222.9,-7.092308,11.7,3.141593
223.0,-7.126923,11.7,3.141593
223.1,-7.161538,11.7,3.141593
223.2,-7.196154,11.7,3.141593
223.3,-7.230769,11.7,3.141593
223.4,-7.265385,11.7,3.141593
223.5,-7.3,11.7,3.141593
223.6,-7.334615,11.7,3.141593
223.7,-7.369231,11.7,3.141593
223.8,-7.403846,11.7,3.141593
223.9,-7.438462,11.7,3.141593
224.0,-7.473077,11.7,3.141593
224.1,-7.507692,11.7,3.141593
224.2,-7.542308,11.7,3.141593
224.3,-7.576923,11.7,3.141593
224.4,-7.611538,11.7,3.141593
224.5,-7.646154,11.7,3.141593
224.6,-7.680769,11.7,3.141593
224.7,-7.715385,11.7,3.141593
224.8,-7.75,11.7,3.141593
224.9,-7.784615,11.7,3.141593
225.0,-7.819231,11.7,3.141593
225.1,-7.853846,11.7,3.141593
225.2,-7.888462,11.7,3.141593
225.3,-7.923077,11.7,3.141593
225.4,-7.957692,11.7,3.141593
225.5,-7.992308,11.7,3.141593
225.6,-8.026923,11.7,3.141593
225.7,-8.061538,11.7,3.141593
225.8,-8.096154,11.7,3.141593
225.9,-8.130769,11.7,3.141593
226.0,-8.165385,11.7,3.141593
226.1,-8.2,11.7,3.141593
226.2,-8.234615,11.7,3.141593
226.3,-8.269231,11.7,3.141593
226.4,-8.303846,11.7,3.141593
226.5,-8.338462,11.7,3.141593
226.6,-8.373077,11.7,3.141593
226.7,-8.407692,11.7,3.141593
226.8,-8.442308,11.7,3.141593
226.9,-8.476923,11.7,3.141593
227.0,-8.511538,11.7,3.141593
227.1,-8.546154,11.7,3.141593
227.2,-8.580769,11.7,3.141593
227.3,-8.615385,11.7,3.141593
227.4,-8.65,11.7,3.141593
227.5,-8.684615,11.7,3.141593
227.6,-8.719231,11.7,3.141593
227.7,-8.753846,11.7,3.141593
227.8,-8.788462,11.7,3.141593
227.9,-8.823077,11.7,3.141593
228.0,-8.857692,11.7,3.141593
228.1,-8.892308,11.7,3.141593
228.2,-8.926923,11.7,3.141593
228.3,-8.961538,11.7,3.141593
228.4,-8.996154,11.7,3.141593
228.5,-9.030769,11.7,3.141593
228.6,-9.065385,11.7,3.141593
228.7,-9.1,11.7,3.141593
228.8,-9.134615,11.7,3.141593
