scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood,best_particle,best_particle_weight,candidate_cluster_mass,candidate_cluster_count,selected_cluster_mass,selected_switched,previous_cluster_mass,previous_cluster_count,pending_mean_candidate_mass,pending_mean_selected_mass,pending_count,hypothesis_switches,true_nearest_particle_weight,true_nearest_particle_rank,true_cluster_mass,true_cluster_count
0,0.0,-0.5994022900912399,11.922898907424386,-3.0790472760727803,-11.7,-11.7,0.0,26.101046383385167,3.0790472760727803,4.431285947341347,72,-725.537921875,5384,0.32756734091084694,0.3275679172144836,31,0.3275679172144836,0,0.0,0,0.3275679172144836,0.0,0,0,1.4903204528783992e-30,133,6.918057049121092e-17,22
1,0.2,-0.6681632980863816,11.91871650103304,-3.088118673794102,-11.630769,-11.7,0.0,26.03886504692168,3.088118673794102,3787.8063724576664,72,-54.41803125,32,0.000368718740657568,0.3969311056635847,1327,0.44135207418953326,0,0.44135207418953326,1924,0.3969311056635847,0.44135207418953326,1,0,1.1462661920949208e-229,5729,1.1462661920949208e-229,1
2,0.4,-0.7410632792060401,11.914126780876352,-3.0669171112694436,-11.561538,-11.7,0.0,25.97517385517646,3.0669171112694436,476.98426104342235,72,-170.804921875,42,0.003419630770179793,0.8397181443377004,382,0.14959964853932625,0,0.14959964853932625,1928,0.6183246250006426,0.29547586136442977,2,0,1.737712401034924e-24,4616,1.737712401034924e-24,4
3,0.7,-0.8404661254090733,11.907259980713498,-3.082194757214176,-11.457692,-11.7,0.0,25.88490311106225,3.082194757214176,957.5242270268977,72,-556.908875,5,0.001341491146566856,0.3552107149571818,309,0.6287565885367041,0,0.6287565885367041,899,0.530619988319489,0.4065694370885213,3,0,6.559984897827938e-73,1574,1.262719671708792e-51,19
4,1.0,-0.942925531295544,11.904486622984438,-3.1326335832132797,-11.353846,-11.7,0.0,25.798431226342828,3.1326335832132797,70.59545803784762,72,-265.94609375,148,0.01562670510853316,0.9982299699829678,76,0.0017671813755083517,0,0.0017671813755083517,3698,0.6475224837353586,0.305368873160268,4,0,1.188166581569878e-58,3965,7.843732854023268e-41,14
5,1.2,-1.0121770276329296,11.905489371021467,-3.109713127475943,-11.284615,-11.7,0.0,25.743778089890696,3.109713127475943,893.6501994157587,72,-580.41878125,35,0.0012905109876077646,0.9907610513507181,1021,0.00658652893584597,0,0.00658652893584597,27,0.7161701972584306,0.24561240431538361,5,0,7.839136016728812e-07,1040,2.4434587094372727e-06,20
6,1.4,-1.1450378962538756,11.895047228281195,-3.098450653270912,-11.215385,-11.7,0.0,25.654203251996506,3.098450653270912,1206.7796221469227,72,-546.4601197916667,213,0.0009143057141027495,0.9683986253074119,1197,0.02282630551526235,0,0.02282630551526235,57,0.7582082685999274,0.20848138784869674,6,0,3.866793276448959e-12,1275,3.866793604917606e-12,17
7,1.6,-1.2336435667303818,11.886500460410316,-3.074881764546834,-11.146154,-11.7,0.0,25.584778034186947,3.074881764546834,2173.25646819004,72,-382.79936979166666,44,0.0006659883447391828,0.999506924000722,2501,0.0004692785663813764,0,0.0004692785663813764,166,0.7926795050857552,0.1787653722369374,7,0,4.131667872785283e-49,2779,7.391930534325167e-25,19
8,1.8,-1.2288999499134674,11.890271872668718,-3.0979098499905744,-11.076923,-11.7,0.0,25.563342602669557,3.0979098499905744,3807.820791429887,72,-243.816234375,31,0.00028796534417556766,0.9999995150317997,3889,9.41455089280891e-10,0,9.41455089280891e-10,11,0.8185945063290108,0.1564197008250021,8,0,5.324572060123828e-191,4481,4.664438511118784e-31,14
9,2.1,-1.356898904460736,11.88800797618776,-3.089398575776699,-10.973077,-11.7,0.0,25.47282868960231,3.089398575776699,3311.1949884938326,72,-292.4339947916667,274,0.0003394352581857633,0.9999999989288979,3443,9.636610696017315e-10,0,9.636610696017315e-10,14,0.8387506721734427,0.139039734173742,9,0,0.0,5181,2.7267266433498138e-45,14
