t,x,y,theta
0.000,-11.700000,-11.700000,0.000000
0.100,-11.666068,-11.700027,-0.001625
0.200,-11.630809,-11.700087,-0.001868
0.300,-11.594713,-11.700136,-0.001011
0.400,-11.559503,-11.700179,-0.001690
0.500,-11.526314,-11.700236,-0.001945
0.600,-11.493195,-11.700296,-0.002015
0.700,-11.458874,-11.700376,-0.002963
0.800,-11.423519,-11.700471,-0.002791
0.900,-11.390124,-11.700551,-0.002370
1.000,-11.354348,-11.700606,-0.001155
1.100,-11.321154,-11.700658,-0.002285
1.200,-11.286283,-11.700740,-0.002891
1.300,-11.251457,-11.700826,-0.002571
1.400,-11.216547,-11.700921,-0.003660
1.500,-11.180666,-11.701018,-0.002405
1.600,-11.147649,-11.701107,-0.003580
1.700,-11.112271,-11.701208,-0.002821
1.800,-11.075801,-11.701288,-0.002365
1.900,-11.041500,-11.701362,-0.002600
2.000,-11.006443,-11.701438,-0.002313
2.100,-10.972529,-11.701497,-0.001909
2.200,-10.937843,-11.701547,-0.001647
2.300,-10.903443,-11.701596,-0.001865
2.400,-10.869344,-11.701640,-0.001508
2.500,-10.835549,-11.701659,-0.000350
2.600,-10.801251,-11.701692,-0.002047
2.700,-10.765999,-11.701768,-0.002889
2.800,-10.731340,-11.701852,-0.002652
2.900,-10.696788,-11.701979,-0.005235
3.000,-10.661331,-11.702126,-0.003609
3.100,-10.627323,-11.702257,-0.004692
3.200,-10.594264,-11.702418,-0.005657
3.300,-10.559561,-11.702605,-0.005827
3.400,-10.526022,-11.702805,-0.006744
3.500,-10.491351,-11.703028,-0.006970
3.600,-10.457259,-11.703242,-0.006420
3.700,-10.422367,-11.703459,-0.006735
3.800,-10.386347,-11.703689,-0.006956
3.900,-10.352372,-11.703914,-0.007278
4.000,-10.319904,-11.704154,-0.008564
4.100,-10.284877,-11.704428,-0.008054
4.200,-10.251513,-11.704668,-0.007333
4.300,-10.217886,-11.704892,-0.007201
4.400,-10.183164,-11.705138,-0.008103
4.500,-10.148874,-11.705389,-0.007764
4.600,-10.115082,-11.705637,-0.008224
4.700,-10.079820,-11.705885,-0.007064
4.800,-10.046049,-11.706091,-0.006192
4.900,-10.011152,-11.706288,-0.006184
5.000,-9.975251,-11.706492,-0.006147
5.100,-9.940780,-11.706685,-0.005904
5.200,-9.906929,-11.706891,-0.006915
5.300,-9.871456,-11.707102,-0.005710
5.400,-9.838404,-11.707271,-0.005346
5.500,-9.804294,-11.707429,-0.004646
5.600,-9.770629,-11.707586,-0.005294
5.700,-9.736905,-11.707741,-0.004487
5.800,-9.702703,-11.707890,-0.004969
5.900,-9.668881,-11.708035,-0.004541
6.000,-9.635310,-11.708183,-0.005173
6.100,-9.601861,-11.708325,-0.004140
6.200,-9.566328,-11.708449,-0.003667
6.300,-9.530878,-11.708566,-0.003866
6.400,-9.497412,-11.708687,-0.004414
6.500,-9.464628,-11.708808,-0.003980
6.600,-9.430491,-11.708933,-0.004484
6.700,-9.397206,-11.709050,-0.003755
6.800,-9.362963,-11.709158,-0.003761
6.900,-9.328865,-11.709284,-0.004911
7.000,-9.294983,-11.709434,-0.005175
7.100,-9.259730,-11.709566,-0.003654
7.200,-9.225015,-11.709658,-0.002928
7.300,-9.191863,-11.709742,-0.003347
7.400,-9.156645,-11.709819,-0.002263
7.500,-9.122922,-11.709864,-0.001561
7.600,-9.088088,-11.709916,-0.002467
7.700,-9.054688,-11.709981,-0.002402
7.800,-9.019695,-11.710064,-0.003388
7.900,-8.985615,-11.710143,-0.002327
8.000,-8.951187,-11.710201,-0.002181
8.100,-8.916170,-11.710259,-0.002336
8.200,-8.881995,-11.710342,-0.003810
8.300,-8.847474,-11.710439,-0.003076
8.400,-8.812746,-11.710520,-0.002921
8.500,-8.778702,-11.710614,-0.003829
8.600,-8.744166,-11.710755,-0.005578
8.700,-8.710400,-11.710925,-0.005589
8.800,-8.675732,-11.711099,-0.005706
8.900,-8.641414,-11.711276,-0.005835
9.000,-8.608372,-11.711459,-0.006621
9.100,-8.573310,-11.711662,-0.006476
9.200,-8.538851,-11.711863,-0.006599
9.300,-8.505773,-11.712044,-0.005772
9.400,-8.471240,-11.712223,-0.005967
9.500,-8.438580,-11.712389,-0.005764
9.600,-8.403110,-11.712569,-0.005916
9.700,-8.368473,-11.712742,-0.005542
9.800,-8.333136,-11.712922,-0.006221
9.900,-8.298387,-11.713118,-0.006579
10.000,-8.263471,-11.713308,-0.005888
10.100,-8.228353,-11.713455,-0.003891
10.200,-8.195473,-11.713559,-0.003751
10.300,-8.160760,-11.713688,-0.004969
10.400,-8.125010,-11.713826,-0.004017
10.500,-8.090663,-11.713927,-0.003236
10.600,-8.056873,-11.714021,-0.003840
10.700,-8.022568,-11.714138,-0.004578
10.800,-7.989407,-11.714270,-0.005037
10.900,-7.955336,-11.714403,-0.004343
11.000,-7.920050,-11.714518,-0.003875
11.100,-7.885647,-11.714625,-0.004068
11.200,-7.850125,-11.714748,-0.004573
11.300,-7.813823,-11.714869,-0.003856
11.400,-7.779659,-11.714960,-0.003080
11.500,-7.746335,-11.715044,-0.003740
11.600,-7.711575,-11.715155,-0.004396
11.700,-7.676569,-11.715262,-0.003366
11.800,-7.640797,-11.715341,-0.002540
11.900,-7.606527,-11.715394,-0.002068
12.000,-7.571793,-11.715456,-0.002845
12.100,-7.535076,-11.715531,-0.002637
12.200,-7.500020,-11.715578,-0.001492
12.300,-7.466295,-11.715604,-0.001506
12.400,-7.431020,-11.715638,-0.001907
12.500,-7.396210,-11.715662,-0.000738
