t,x,y,theta
0.000,-11.700000,-11.700000,0.000000
0.100,-11.665385,-11.700000,0.000000
0.200,-11.630769,-11.700000,0.000000
0.300,-11.596154,-11.700000,0.000000
0.400,-11.561538,-11.700000,0.000000
0.500,-11.526923,-11.700000,0.000000
0.600,-11.492308,-11.700000,0.000000
0.700,-11.457692,-11.700000,0.000000
0.800,-11.423077,-11.700000,0.000000
0.900,-11.388462,-11.700000,0.000000
1.000,-11.353846,-11.700000,0.000000
1.100,-11.319231,-11.700000,0.000000
1.200,-11.284615,-11.700000,0.000000
1.300,-11.250000,-11.700000,0.000000
1.400,-11.215385,-11.700000,0.000000
1.500,-11.180769,-11.700000,0.000000
1.600,-11.146154,-11.700000,0.000000
1.700,-11.111538,-11.700000,0.000000
1.800,-11.076923,-11.700000,0.000000
1.900,-11.042308,-11.700000,0.000000
2.000,-11.007692,-11.700000,0.000000
2.100,-10.973077,-11.700000,0.000000
2.200,-10.938462,-11.700000,0.000000
2.300,-10.903846,-11.700000,0.000000
2.400,-10.869231,-11.700000,0.000000
2.500,-10.834615,-11.700000,0.000000
2.600,-10.800000,-11.700000,0.000000
2.700,-10.765385,-11.700000,0.000000
2.800,-10.730769,-11.700000,0.000000
2.900,-10.696154,-11.700000,0.000000
3.000,-10.661538,-11.700000,0.000000
3.100,-10.626923,-11.700000,0.000000
3.200,-10.592308,-11.700000,0.000000
3.300,-10.557692,-11.700000,0.000000
3.400,-10.523077,-11.700000,0.000000
3.500,-10.488462,-11.700000,0.000000
3.600,-10.453846,-11.700000,0.000000
3.700,-10.419231,-11.700000,0.000000
3.800,-10.384615,-11.700000,0.000000
3.900,-10.350000,-11.700000,0.000000
4.000,-10.315385,-11.700000,0.000000
4.100,-10.280769,-11.700000,0.000000
4.200,-10.246154,-11.700000,0.000000
4.300,-10.211538,-11.700000,0.000000
4.400,-10.176923,-11.700000,0.000000
4.500,-10.142308,-11.700000,0.000000
4.600,-10.107692,-11.700000,0.000000
4.700,-10.073077,-11.700000,0.000000
4.800,-10.038462,-11.700000,0.000000
4.900,-10.003846,-11.700000,0.000000
5.000,-9.969231,-11.700000,0.000000
