t,x,y,theta
59.600,5.180242,10.951566,2.465032
59.700,5.154039,10.881994,2.443922
59.800,5.128268,10.890875,2.439226
59.900,5.102721,10.912561,2.439575
60.000,5.076300,10.930371,2.439575
60.100,5.050279,10.952446,2.439833
60.200,5.023914,10.974805,2.440026
60.300,4.997058,10.989925,2.437811
60.400,4.972471,11.010879,2.437352
60.500,4.947467,11.027327,2.437218
60.600,4.915691,11.041958,-3.112509
60.700,4.880344,11.040969,-3.111282
60.800,4.847919,11.041819,-3.119970
60.900,4.812155,11.041125,-3.120963
61.000,4.777098,11.042761,-3.128536
61.100,4.742819,11.042391,-3.129644
61.200,4.706273,11.042023,-3.130070
61.300,4.671096,11.042683,-3.131505
61.400,4.635593,11.042412,-3.132899
61.500,4.601598,11.042749,-3.134283
61.600,4.567378,11.043285,-3.135980
61.700,4.532741,11.043163,-3.136621
61.800,4.496970,11.043750,-3.138354
61.900,4.463186,11.043696,-3.138032
62.000,4.426689,11.044438,-3.137924
62.100,4.391386,11.044384,-3.138811
62.200,4.355849,11.044342,-3.138654
62.300,4.320370,11.044470,-3.139199
62.400,4.285608,11.044436,-3.138688
62.500,4.251165,11.045108,-3.137334
62.600,4.215486,11.044915,-3.137853
62.700,4.180825,11.044843,-3.138096
62.800,4.146655,11.045308,-3.138503
62.900,4.111655,11.045271,-3.139808
63.000,4.076369,11.045521,-3.141115
63.100,4.041121,11.045538,-3.140329
63.200,4.005402,11.045542,-3.140427
63.300,3.970025,11.042825,-3.138577
63.400,3.935595,11.042750,-3.137874
63.500,3.900350,11.043183,-3.138256
63.600,3.866016,11.043359,-3.138403
63.700,3.830608,11.043302,-3.138964
63.800,3.796254,11.043445,-3.140309
63.900,3.761721,11.043440,-3.140016
64.000,3.727160,11.043639,-3.140014
64.100,3.692591,11.043628,-3.140151
64.200,3.657991,11.043615,-3.139823
64.300,3.622944,11.043575,-3.138614
64.400,3.586976,11.043934,-3.139823
64.500,3.552668,11.043918,-3.140267
64.600,3.519052,11.044564,-3.139391
64.700,3.486278,11.044546,-3.140633
64.800,3.451483,11.044556,-3.140918
64.900,3.416633,11.044608,3.140106
65.000,3.382196,11.043807,3.140059
65.100,3.346726,11.043929,3.138152
65.200,3.309858,11.044198,3.138277
65.300,3.276003,11.044335,3.138766
65.400,3.242107,11.044466,3.138861
65.500,3.207019,11.044617,3.139443
65.600,3.172524,11.044738,3.139010
65.700,3.137243,11.044857,3.139820
65.800,3.100332,11.044972,3.139566
65.900,3.067053,11.045245,3.138184
66.000,3.032884,11.045399,3.138495
66.100,2.997291,11.045366,3.139326
66.200,2.963727,11.045467,3.140188
66.300,2.928715,11.045568,3.139784
66.400,2.895497,11.045676,3.139275
66.500,2.860559,11.045661,3.138350
66.600,2.826197,11.045806,3.138880
66.700,2.791386,11.046325,3.138693
66.800,2.756863,11.046442,3.140150
66.900,2.721658,11.046557,3.139062
67.000,2.687831,11.046561,3.139261
67.100,2.654122,11.046703,3.138025
67.200,2.619102,11.046875,3.137959
67.300,2.584099,11.047078,3.136259
67.400,2.548424,11.048031,3.135570
67.500,2.514549,11.048297,3.134889
67.600,2.481262,11.048257,3.133364
67.700,2.446880,11.048589,3.133713
67.800,2.413077,11.048911,3.133594
67.900,2.379052,11.049244,3.133198
68.000,2.344518,11.049014,3.133579
68.100,2.310736,11.049331,3.134194
68.200,2.277793,11.049851,3.133463
68.300,2.243356,11.050196,3.132959
68.400,2.209417,11.052354,3.026350
68.500,2.175179,11.056953,3.024419
68.600,2.140589,11.061093,3.023817
68.700,2.105819,11.065260,3.024062
68.800,2.071749,11.069344,3.023675
68.900,2.037325,11.072760,3.024415
69.000,2.002382,11.076914,3.025559
69.100,1.968058,11.080345,3.025140
69.200,1.933644,11.084436,3.024671
69.300,1.899106,11.088557,3.024254
69.400,1.865451,11.092580,3.024072
69.500,1.830823,11.095882,3.023572
69.600,1.796142,11.100078,3.021832
69.700,1.761342,11.103829,3.021283
69.800,1.726685,11.108069,3.021281
69.900,1.691853,11.112346,3.020397
70.000,1.657637,11.115994,3.020779
70.100,1.624068,11.120116,3.020959
70.200,1.588447,11.124512,3.019543
70.300,1.553039,11.128920,3.018749
70.400,1.519291,11.131977,3.018175
70.500,1.483240,11.136492,3.018674
70.600,1.448626,11.138981,3.019490
70.700,1.413635,11.143311,3.020239
70.800,1.379478,11.147513,3.020845
70.900,1.345991,11.151605,3.021818
71.000,1.311152,11.149214,2.719537
71.100,1.279039,11.163696,2.719095
71.200,1.246001,11.179273,2.717818
71.300,1.213698,11.193911,2.717300
71.400,1.182443,11.208081,2.717399
71.500,1.149650,11.223691,2.716714
71.600,1.117584,11.238250,2.716968
71.700,1.086257,11.252486,2.716158
71.800,1.055516,11.266446,2.717505
71.900,1.023484,11.280944,2.715274
72.000,0.992551,11.295050,2.715080
72.100,0.961855,11.309826,2.714833
72.200,0.931052,11.323906,2.713774
72.300,0.899722,11.338263,2.712900
72.400,0.867954,11.352859,2.711815
72.500,0.837969,11.366510,2.711509
72.600,0.806981,11.380752,2.712684
72.700,0.776589,11.395539,2.712646
72.800,0.745482,11.409836,2.711299
72.900,0.714887,11.423906,2.712274
73.000,0.682952,11.438587,2.712626
73.100,0.651725,11.452934,2.711766
73.200,0.620450,11.467316,2.711725
73.300,0.590184,11.481230,2.712082
73.400,0.560375,11.495179,2.712338
73.500,0.528836,11.509646,2.712989
73.600,0.497635,11.526046,2.711272
73.700,0.463751,11.536586,2.970736
73.800,0.430141,11.542457,2.968639
73.900,0.397050,11.548272,2.968711
74.000,0.363813,11.554225,2.968407
74.100,0.332240,11.559772,2.969103
74.200,0.298121,11.565887,2.968762
74.300,0.263546,11.571957,2.968922
74.400,0.230473,11.577784,2.967659
74.500,0.197430,11.583209,2.969195
74.600,0.163498,11.589155,2.969148
74.700,0.131630,11.594750,2.968682
74.800,0.097388,11.600736,2.970606
74.900,0.064120,11.606552,2.970563
75.000,0.031753,11.612202,2.969562
75.100,-0.002081,11.615902,2.973997
75.200,-0.035360,11.621582,2.973557
75.300,-0.068463,11.627240,2.973582
75.400,-0.102630,11.633092,2.972954
75.500,-0.136769,11.639043,2.973091
75.600,-0.168779,11.644563,2.971199
75.700,-0.203519,11.650819,2.970121
75.800,-0.236478,11.656576,2.969851
75.900,-0.271422,11.662685,2.969913
76.000,-0.305155,11.668812,2.968862
76.100,-0.339396,11.674813,2.969924
76.200,-0.372991,11.680679,2.970133
76.300,-0.406900,11.686616,2.968959
76.400,-0.438876,11.697192,3.116911
76.500,-0.472507,11.698071,3.116577
76.600,-0.507803,11.697948,3.118187
76.700,-0.541805,11.698814,3.116686
76.800,-0.577126,11.699731,3.117041
76.900,-0.612556,11.700626,3.118064
77.000,-0.647488,11.700378,3.119141
77.100,-0.682203,11.701190,3.119584
77.200,-0.716555,11.701026,3.121175
77.300,-0.751238,11.701800,3.119769
77.400,-0.785982,11.702595,3.119973
77.500,-0.821927,11.701653,3.120800
77.600,-0.855350,11.702380,3.121633
77.700,-0.889517,11.703136,3.120076
77.800,-0.925043,11.703969,3.119080
77.900,-0.959423,11.700966,3.119232
78.000,-0.995149,11.701795,3.120248
78.100,-1.028665,11.699626,3.123586
78.200,-1.062526,11.700284,3.123130
78.300,-1.097231,11.700972,3.122667
78.400,-1.132274,11.701648,3.124096
78.500,-1.168277,11.701409,3.124536
78.600,-1.203392,11.702030,3.125307
78.700,-1.237561,11.701919,3.125476
78.800,-1.272422,11.702519,3.125460
78.900,-1.305287,11.703101,3.124551
79.000,-1.339923,11.702975,3.125337
79.100,-1.373869,11.703555,3.125892
79.200,-1.408182,11.704128,3.126013
79.300,-1.442019,11.704692,3.125972
79.400,-1.475708,11.704311,3.126826
79.500,-1.510346,11.704869,3.126182
79.600,-1.544438,11.704374,3.126255
79.700,-1.578838,11.704942,3.125985
79.800,-1.612967,11.705518,3.125437
79.900,-1.649029,11.706111,3.126953
80.000,-1.684284,11.703971,3.128924
80.100,-1.718897,11.704477,3.127067
80.200,-1.754101,11.704284,3.127494
80.300,-1.787741,11.704801,3.127244
80.400,-1.821487,11.705312,3.127960
80.500,-1.856203,11.703227,3.129688
80.600,-1.890414,11.703681,3.129378
80.700,-1.924744,11.704136,3.129783
80.800,-1.957402,11.704570,3.129371
80.900,-1.991982,11.704920,3.130384
81.000,-2.025407,11.705365,3.128883
81.100,-2.061508,11.705033,3.129327
81.200,-2.097428,11.705518,3.129531
81.300,-2.132023,11.705999,3.128497
81.400,-2.167572,11.706522,3.127799
81.500,-2.203304,11.706470,3.129877
81.600,-2.237738,11.706921,3.129627
81.700,-2.272419,11.706589,3.130307
81.800,-2.307628,11.707016,3.131242
81.900,-2.341201,11.707414,3.130980
82.000,-2.375182,11.706819,3.130652
82.100,-2.409138,11.707225,3.131213
82.200,-2.443633,11.707648,3.130028
82.300,-2.478746,11.708115,3.129108
82.400,-2.512974,11.707636,3.129787
82.500,-2.547052,11.708087,3.129801
82.600,-2.581475,11.706004,3.129847
82.700,-2.615749,11.706446,3.130481
82.800,-2.649903,11.706860,3.131305
82.900,-2.683804,11.707263,3.131008
83.000,-2.719185,11.706847,3.131265
83.100,-2.754761,11.707255,3.131712
83.200,-2.788742,11.706874,3.131666
83.300,-2.822346,11.707247,3.132003
