t,x,y,theta
59.6,5.059259,10.827778,2.432966
59.7,5.033333,10.85,2.432966
59.8,5.007407,10.872222,2.432966
59.9,4.981481,10.894444,2.432966
60.0,4.955556,10.916667,2.432966
60.1,4.92963,10.938889,2.432966
60.2,4.903704,10.961111,2.432966
60.3,4.877778,10.983333,2.432966
60.4,4.851852,11.005556,2.432966
60.5,4.825926,11.027778,2.432966
60.6,4.8,11.05,3.141593
60.7,4.765385,11.05,3.141593
60.8,4.730769,11.05,3.141593
60.9,4.696154,11.05,3.141593
61.0,4.661538,11.05,3.141593
61.1,4.626923,11.05,3.141593
61.2,4.592308,11.05,3.141593
61.3,4.557692,11.05,3.141593
61.4,4.523077,11.05,3.141593
61.5,4.488462,11.05,3.141593
61.6,4.453846,11.05,3.141593
61.7,4.419231,11.05,3.141593
61.8,4.384615,11.05,3.141593
61.9,4.35,11.05,3.141593
62.0,4.315385,11.05,3.141593
62.1,4.280769,11.05,3.141593
62.2,4.246154,11.05,3.141593
62.3,4.211538,11.05,3.141593
62.4,4.176923,11.05,3.141593
62.5,4.142308,11.05,3.141593
62.6,4.107692,11.05,3.141593
62.7,4.073077,11.05,3.141593
62.8,4.038462,11.05,3.141593
62.9,4.003846,11.05,3.141593
63.0,3.969231,11.05,3.141593
63.1,3.934615,11.05,3.141593
63.2,3.9,11.05,3.141593
63.3,3.865385,11.05,3.141593
63.4,3.830769,11.05,3.141593
63.5,3.796154,11.05,3.141593
63.6,3.761538,11.05,3.141593
63.7,3.726923,11.05,3.141593
63.8,3.692308,11.05,3.141593
63.9,3.657692,11.05,3.141593
64.0,3.623077,11.05,3.141593
64.1,3.588462,11.05,3.141593
64.2,3.553846,11.05,3.141593
64.3,3.519231,11.05,3.141593
64.4,3.484615,11.05,3.141593
64.5,3.45,11.05,3.141593
64.6,3.415385,11.05,3.141593
64.7,3.380769,11.05,3.141593
64.8,3.346154,11.05,3.141593
64.9,3.311538,11.05,3.141593
65.0,3.276923,11.05,3.141593
65.1,3.242308,11.05,3.141593
65.2,3.207692,11.05,3.141593
65.3,3.173077,11.05,3.141593
65.4,3.138462,11.05,3.141593
65.5,3.103846,11.05,3.141593
65.6,3.069231,11.05,3.141593
65.7,3.034615,11.05,3.141593
65.8,3.0,11.05,3.141593
65.9,2.965385,11.05,3.141593
66.0,2.930769,11.05,3.141593
66.1,2.896154,11.05,3.141593
66.2,2.861538,11.05,3.141593
66.3,2.826923,11.05,3.141593
66.4,2.792308,11.05,3.141593
66.5,2.757692,11.05,3.141593
66.6,2.723077,11.05,3.141593
66.7,2.688462,11.05,3.141593
66.8,2.653846,11.05,3.141593
66.9,2.619231,11.05,3.141593
67.0,2.584615,11.05,3.141593
67.1,2.55,11.05,3.141593
67.2,2.515385,11.05,3.141593
67.3,2.480769,11.05,3.141593
67.4,2.446154,11.05,3.141593
67.5,2.411538,11.05,3.141593
67.6,2.376923,11.05,3.141593
67.7,2.342308,11.05,3.141593
67.8,2.307692,11.05,3.141593
67.9,2.273077,11.05,3.141593
68.0,2.238462,11.05,3.141593
68.1,2.203846,11.05,3.141593
68.2,2.169231,11.05,3.141593
68.3,2.134615,11.05,3.141593
68.4,2.1,11.05,3.030935
68.5,2.065385,11.053846,3.030935
68.6,2.030769,11.057692,3.030935
68.7,1.996154,11.061538,3.030935
68.8,1.961538,11.065385,3.030935
68.9,1.926923,11.069231,3.030935
69.0,1.892308,11.073077,3.030935
69.1,1.857692,11.076923,3.030935
69.2,1.823077,11.080769,3.030935
69.3,1.788462,11.084615,3.030935
69.4,1.753846,11.088462,3.030935
69.5,1.719231,11.092308,3.030935
69.6,1.684615,11.096154,3.030935
