scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood,best_particle,best_particle_weight,candidate_cluster_mass,candidate_cluster_count,selected_cluster_mass,selected_switched,previous_cluster_mass,previous_cluster_count,pending_mean_candidate_mass,pending_mean_selected_mass,pending_count,hypothesis_switches,true_nearest_particle_weight,true_nearest_particle_rank,true_cluster_mass,true_cluster_count
0,0.0,4.6884783774398615,1.3328887143228132,-2.469663991810336,11.6,9.5,2.356194,10.699104536911115,1.4573273153692503,1.0007709386138026,56,-347.6276133333334,1957,0.9996147104541858,1.0,240,1.0,0,0.0,0,1.0,0.0,0,0,2.6966148848052604e-28,92,4.788161439661366e-18,16
2,0.4,4.575711209835053,1.2432183351355945,-2.463397226892275,11.503704,9.596296,2.356194,10.8522343586855,1.4635940802873117,2465.145882209564,56,-12.193113333333335,165,0.0007885830962477611,0.9999999906255017,2909,0.9999999906255017,0,0.9999999906255017,2909,0.9999999906255017,0.9999999906255017,0,0,7.879514683353347e-259,2981,0.0,0
4,1.0,4.493951607859813,1.1744011403364167,-2.453323763982955,11.359259,9.740741,2.356194,10.977915292979619,1.4736675431966317,217.51392114973126,56,-310.2340533333334,2332,0.009480856222381684,0.999999994489696,314,0.999999994489696,0,0.999999994489696,314,0.999999994489696,0.999999994489696,0,0,5.500204035804524e-09,310,5.500204035971158e-09,16
6,1.4,4.489673383339196,1.1706580847804096,-2.4465988181293303,11.262963,9.837037,2.356194,10.999253417088259,1.4803924890502567,35.83887781711971,56,-342.09079333333335,1460,0.03747319636651231,0.9956706767721178,44,0.9956706767721178,0,0.9956706767088805,43,0.9956706767721178,0.9956706767088805,0,0,0.004321600906651112,39,0.004323203112272209,14
8,1.8,4.574499591598487,1.2989571698299998,-2.398414430569452,11.166667,9.933333,2.356194,10.863200132420234,1.528576876610135,27.16172531051618,56,-338.05968666666666,374,0.07226082527536554,0.9587247824274672,36,0.9587247824274672,0,0.9587247824274672,36,0.9587247824274672,0.9587247824274672,0,0,0.003670332093152097,37,0.04127521756960158,27
10,2.3,4.509388005611314,1.2613879905310568,-2.3784811703857396,11.046296,10.053704,2.356194,10.95609359842579,1.548510136793847,1083.7863001356366,56,-185.46386,446,0.001447203099706676,0.9912270170668861,1169,0.9912270170668861,0,0.9912270170668861,1173,0.9912270170668861,0.9912270170668861,0,0,2.650644937288422e-05,1254,0.00877298200480376,126
12,2.7,4.4815565136320235,1.1277634775821093,-2.4683010693464404,10.95,10.15,1.961403,11.101419413876208,1.8534812378331458,6.1278515931538236,56,-328.1372733333334,2966,0.3298187762524123,0.5087259381661235,117,0.5087259381661235,0,0.5087259381661235,118,0.5087259381661235,0.5087259381661235,0,0,0.04933053895777247,4,0.3550372845372948,40
14,3.1,5.110436327038477,1.09324511841488,-2.1009137908181743,10.898148,10.275926,1.961403,10.85445689946595,2.220868516361412,400.5539970052091,56,-186.28273333333337,302,0.0037276040625461716,0.8877139643336942,335,0.00026858844939647327,0,0.00026858844939647327,3,0.8877139643336942,0.00026858844939647327,1,0,0.00024555500221909075,439,0.10334165333740265,1045
16,3.5,5.504726927382407,0.942094588309043,-1.7894183639320904,10.846296,10.401852,1.961403,10.863672051640124,2.5323639432474963,2333.8361066564285,56,-46.72415333333334,26,0.00044504801496498896,0.9949078764064383,2323,0.00013675379265558544,0,0.00013675379265558544,3,0.9413109203700663,0.00020267112102602934,2,0,3.580838826874299e-05,2356,0.004955369756484432,302
18,3.9,4.581946474621432,1.1979754217664196,-1.519252839047959,10.794444,10.527778,1.961403,11.208940255512507,2.802529468131628,378.9174159365799,56,-279.95634,113,0.002967011489909365,0.9984496847519095,386,5.0493377173189647e-23,0,5.0493377173189647e-23,4,0.9603571751640141,0.00013511408068401956,3,0,5.544050661135544e-05,392,0.0015503102491176517,312
