t,x,y,theta
0.000,11.600000,9.500000,2.356194
0.100,11.574844,9.525173,2.355606
0.200,11.551037,9.549030,2.354686
0.300,11.526462,9.573662,2.355205
0.400,11.502783,9.597408,2.354164
0.500,11.478577,9.621722,2.353492
0.600,11.453687,9.646752,2.353079
0.700,11.429472,9.671099,2.353487
0.800,11.405092,9.695576,2.354621
0.900,11.381329,9.719393,2.355290
1.000,11.357611,9.743148,2.355268
1.100,11.333847,9.766934,2.355763
1.200,11.310873,9.789960,2.353958
1.300,11.287308,9.813584,2.355162
1.400,11.263338,9.837593,2.354893
1.500,11.239119,9.861860,2.354890
1.600,11.214838,9.886226,2.353311
1.700,11.190752,9.910409,2.354394
1.800,11.166430,9.934819,2.353674
1.900,11.141930,9.959403,2.354529
2.000,11.116922,9.984451,2.355584
2.100,11.094349,10.007056,2.354741
2.200,11.070209,10.031256,2.354539
2.300,11.045785,10.055761,2.354092
2.400,11.021934,10.079685,2.354925
2.500,10.997496,10.104164,2.355404
2.600,10.973199,10.128508,2.354689
2.700,10.953663,10.157937,1.958710
2.800,10.940325,10.190611,1.957643
2.900,10.927434,10.222210,1.958161
3.000,10.914546,10.253741,1.959047
3.100,10.901916,10.284606,1.959098
3.200,10.889089,10.316012,1.957695
3.300,10.875996,10.348111,1.958227
3.400,10.863998,10.377511,1.957872
3.500,10.851331,10.408551,1.958332
3.600,10.837973,10.441340,1.956678
3.700,10.825264,10.472591,1.957114
3.800,10.812402,10.504273,1.955319
3.900,10.799563,10.535996,1.954849
4.000,10.787145,10.566680,1.955171
4.100,10.774113,10.598855,1.955413
4.200,10.761642,10.629625,1.955724
4.300,10.748492,10.662022,1.956460
4.400,10.736273,10.692067,1.957030
4.500,10.723781,10.722770,1.956755
4.600,10.710724,10.754888,1.956513
4.700,10.698071,10.786047,1.955794
4.800,10.684707,10.819070,1.954214
4.900,10.671435,10.851875,1.955392
5.000,10.658234,10.884427,1.955822
5.100,10.644978,10.917083,1.956234
5.200,10.632133,10.948766,1.954871
5.300,10.619251,10.980602,1.954819
5.400,10.593015,10.999941,3.057204
5.500,10.558375,11.002858,3.057088
5.600,10.523628,11.005808,3.056023
5.700,10.488108,11.008854,3.055388
5.800,10.452872,11.011887,3.055173
5.900,10.419121,11.014806,3.054725
6.000,10.383854,11.017868,3.054457
6.100,10.348867,11.020875,3.056453
6.200,10.314676,11.023783,3.056138
6.300,10.281774,11.026595,3.055779
6.400,10.248062,11.029467,3.056774
6.500,10.213905,11.032350,3.057474
6.600,10.179258,11.035278,3.056544
6.700,10.145101,11.038166,3.057381
6.800,10.110146,11.041086,3.058565
6.900,10.074436,11.044036,3.059174
7.000,10.040499,11.046825,3.059386
7.100,10.005292,11.049696,3.060337
7.200,9.970179,11.052550,3.059963
7.300,9.935177,11.055417,3.059096
7.400,9.900696,11.058248,3.059518
7.500,9.867126,11.060991,3.060089
7.600,9.833110,11.063747,3.060864
7.700,9.798170,11.066529,3.062900
7.800,9.763759,11.069262,3.061267
7.900,9.727961,11.072130,3.061467
8.000,9.690764,11.074062,3.117391
8.100,9.656051,11.074905,3.116626
8.200,9.620315,11.075768,3.117550
8.300,9.586333,11.076574,3.117239
8.400,9.552782,11.077393,3.116193
8.500,9.519466,11.078241,3.115258
8.600,9.485871,11.079113,3.115136
8.700,9.451151,11.080006,3.115794
8.800,9.418863,11.080837,3.115201
8.900,9.384070,11.081737,3.115639
9.000,9.349611,11.082610,3.116150
9.100,9.315670,11.083449,3.116908
9.200,9.280332,11.084347,3.114794
9.300,9.245437,11.085292,3.113785
9.400,9.211913,11.086221,3.113561
9.500,9.176815,11.087200,3.113530
9.600,9.143202,11.088130,3.113927
9.700,9.108533,11.089056,3.115470
9.800,9.073968,11.089951,3.115627
9.900,9.040542,11.090832,3.114534
10.000,9.005584,11.091747,3.115987
10.100,8.973385,11.092587,3.114852
10.200,8.939613,11.093481,3.115240
10.300,8.904760,11.094416,3.114093
10.400,8.870197,11.095333,3.115775
10.500,8.835758,11.096205,3.116492
10.600,8.801411,11.097069,3.116219
10.700,8.765453,11.097979,3.116323
10.800,8.731247,11.098852,3.115854
10.900,8.697073,11.099712,3.117148
11.000,8.661564,11.100583,3.117035
11.100,8.627420,11.101435,3.116242
11.200,8.590974,11.102377,3.115263
11.300,8.555124,11.103313,3.115670
11.400,8.518736,11.104254,3.115734
11.500,8.483906,11.105145,3.116197
11.600,8.449927,11.105990,3.117220
11.700,8.414798,11.106859,3.116339
11.800,8.379010,11.107760,3.116498
11.900,8.343711,11.108668,3.115200
12.000,8.308362,11.109619,3.114184
12.100,8.274966,11.110549,3.113473
12.200,8.241843,11.111505,3.112057
12.300,8.207087,11.112518,3.112927
12.400,8.171301,11.113565,3.111887
12.500,8.136954,11.114605,3.110925
12.600,8.103515,11.115636,3.110908
12.700,8.068610,11.116709,3.111114
12.800,8.034680,11.117752,3.110795
12.900,7.999942,11.118833,3.110454
13.000,7.963815,11.119969,3.110112
13.100,7.928659,11.121090,3.109723
13.200,7.896058,11.111750,-2.551271
13.300,7.867613,11.092716,-2.552081
13.400,7.838491,11.073264,-2.553124
13.500,7.810623,11.054643,-2.551867
13.600,7.781108,11.034881,-2.551097
13.700,7.752958,11.016007,-2.550597
13.800,7.723786,10.996459,-2.551465
13.900,7.695081,10.977250,-2.551875
14.000,7.666846,10.958389,-2.553148
14.100,7.639075,10.939867,-2.553455
14.200,7.609333,10.920047,-2.553877
14.300,7.580641,10.900918,-2.553154
14.400,7.552175,10.881935,-2.553594
14.500,7.523854,10.863046,-2.552863
14.600,7.496261,10.844664,-2.554646
14.700,7.467023,10.825233,-2.554951
14.800,7.438434,10.806237,-2.554963
14.900,7.409719,10.787176,-2.555809
15.000,7.379951,10.767448,-2.556520
15.100,7.351191,10.748410,-2.556597
15.200,7.321798,10.728971,-2.557372
15.300,7.294555,10.710992,-2.558349
15.400,7.266012,10.692167,-2.557981
15.500,7.237172,10.673134,-2.557827
15.600,7.208303,10.654072,-2.557438
15.700,7.179180,10.634847,-2.558075
15.800,7.152183,10.617047,-2.558536
15.900,7.126623,10.594259,-2.267748
16.000,7.105282,10.568789,-2.268013
16.100,7.083412,10.542677,-2.267255
16.200,7.060600,10.515394,-2.266327
16.300,7.038266,10.488675,-2.266957
16.400,7.015880,10.461903,-2.266745
16.500,6.993952,10.435663,-2.266266
16.600,6.971496,10.408762,-2.265761
16.700,6.949865,10.382864,-2.266726
16.800,6.927749,10.356385,-2.265899
16.900,6.905573,10.329864,-2.267998
17.000,6.882592,10.302424,-2.267560
17.100,6.860373,10.275878,-2.267421
17.200,6.838561,10.249779,-2.265899
17.300,6.816279,10.223117,-2.267486
17.400,6.793856,10.196352,-2.268487
17.500,6.771600,10.169778,-2.267231
17.600,6.750060,10.144037,-2.267799
17.700,6.728929,10.118755,-2.266143
17.800,6.706869,10.092322,-2.266460
17.900,6.685824,10.067102,-2.265824
18.000,6.663320,10.040104,-2.265315
18.100,6.641646,10.014096,-2.265747
18.200,6.619424,9.987455,-2.266149
18.300,6.597211,9.960807,-2.265063
18.400,6.575069,9.934247,-2.266300
18.500,6.553703,9.908653,-2.266470
18.600,6.537333,9.878418,-1.867552
18.700,6.527148,9.845084,-1.866887
18.800,6.516674,9.810795,-1.867414
18.900,6.506575,9.777744,-1.867126
19.000,6.496846,9.745874,-1.866722
19.100,6.487083,9.713932,-1.867796
19.200,6.477119,9.681400,-1.867838
19.300,6.466969,9.648240,-1.867482
19.400,6.456978,9.615691,-1.869423
19.500,6.447160,9.583836,-1.869814
19.600,6.437030,9.551006,-1.870070
19.700,6.427022,9.518655,-1.871205
19.800,6.417173,9.486966,-1.872734
19.900,6.406897,9.454009,-1.872900
20.000,6.396864,9.421835,-1.872633
20.100,6.386947,9.390053,-1.873104
20.200,6.376888,9.357939,-1.874721
20.300,6.366513,9.324777,-1.872357
20.400,6.356113,9.291451,-1.873334
20.500,6.345947,9.258958,-1.873778
20.600,6.335572,9.225830,-1.873884
20.700,6.325489,9.193654,-1.874060
20.800,6.315265,9.161046,-1.874163
20.900,6.305141,9.128730,-1.873779
21.000,6.295116,9.096684,-1.873215
21.100,6.284917,9.064138,-1.874824
21.200,6.275021,9.032726,-1.876219
21.300,6.267919,8.997683,-1.664220
21.400,6.264639,8.962816,-1.663767
21.500,6.261287,8.927310,-1.664630
21.600,6.258028,8.892908,-1.664396
21.700,6.254796,8.858519,-1.663110
21.800,6.251570,8.823854,-1.662522
21.900,6.248416,8.789993,-1.663208
22.000,6.245255,8.756245,-1.663364
22.100,6.241948,8.720909,-1.662985
22.200,6.238723,8.686438,-1.663388
22.300,6.235495,8.652076,-1.663779
22.400,6.232309,8.618239,-1.663962
22.500,6.229154,8.584886,-1.664612
22.600,6.225691,8.548287,-1.664135
22.700,6.222422,8.513732,-1.664633
22.800,6.219052,8.478276,-1.665067
22.900,6.215669,8.442733,-1.664900
23.000,6.212537,8.409716,-1.664467
23.100,6.209305,8.375644,-1.664714
23.200,6.205975,8.340572,-1.664605
23.300,6.202604,8.305009,-1.664361
23.400,6.199179,8.268583,-1.663172
23.500,6.196068,8.235376,-1.663690
23.600,6.192898,8.201646,-1.663740
23.700,6.189628,8.166811,-1.663369
23.800,6.186364,8.132110,-1.664097
23.900,6.182989,8.096194,-1.663194
24.000,6.179785,8.061718,-1.662185
24.100,6.176572,8.026799,-1.661424
24.200,6.173356,7.991751,-1.661742
24.300,6.170180,7.957309,-1.662206
