t,x,y,theta
0.000,11.600000,9.500000,2.356194
0.100,11.575926,9.524074,2.356194
0.200,11.551852,9.548148,2.356194
0.300,11.527778,9.572222,2.356194
0.400,11.503704,9.596296,2.356194
0.500,11.479630,9.620370,2.356194
0.600,11.455556,9.644444,2.356194
0.700,11.431481,9.668519,2.356194
0.800,11.407407,9.692593,2.356194
0.900,11.383333,9.716667,2.356194
1.000,11.359259,9.740741,2.356194
1.100,11.335185,9.764815,2.356194
1.200,11.311111,9.788889,2.356194
1.300,11.287037,9.812963,2.356194
1.400,11.262963,9.837037,2.356194
1.500,11.238889,9.861111,2.356194
1.600,11.214815,9.885185,2.356194
1.700,11.190741,9.909259,2.356194
1.800,11.166667,9.933333,2.356194
1.900,11.142593,9.957407,2.356194
2.000,11.118519,9.981481,2.356194
2.100,11.094444,10.005556,2.356194
2.200,11.070370,10.029630,2.356194
2.300,11.046296,10.053704,2.356194
2.400,11.022222,10.077778,2.356194
2.500,10.998148,10.101852,2.356194
2.600,10.974074,10.125926,2.356194
2.700,10.950000,10.150000,1.961403
2.800,10.937037,10.181481,1.961403
2.900,10.924074,10.212963,1.961403
3.000,10.911111,10.244444,1.961403
3.100,10.898148,10.275926,1.961403
3.200,10.885185,10.307407,1.961403
3.300,10.872222,10.338889,1.961403
3.400,10.859259,10.370370,1.961403
3.500,10.846296,10.401852,1.961403
3.600,10.833333,10.433333,1.961403
3.700,10.820370,10.464815,1.961403
3.800,10.807407,10.496296,1.961403
3.900,10.794444,10.527778,1.961403
4.000,10.781481,10.559259,1.961403
4.100,10.768519,10.590741,1.961403
4.200,10.755556,10.622222,1.961403
4.300,10.742593,10.653704,1.961403
4.400,10.729630,10.685185,1.961403
4.500,10.716667,10.716667,1.961403
4.600,10.703704,10.748148,1.961403
4.700,10.690741,10.779630,1.961403
4.800,10.677778,10.811111,1.961403
4.900,10.664815,10.842593,1.961403
5.000,10.651852,10.874074,1.961403
5.100,10.638889,10.905556,1.961403
5.200,10.625926,10.937037,1.961403
5.300,10.612963,10.968519,1.961403
5.400,10.600000,11.000000,3.086094
5.500,10.565385,11.001923,3.086094
5.600,10.530769,11.003846,3.086094
5.700,10.496154,11.005769,3.086094
5.800,10.461538,11.007692,3.086094
5.900,10.426923,11.009615,3.086094
6.000,10.392308,11.011538,3.086094
6.100,10.357692,11.013462,3.086094
6.200,10.323077,11.015385,3.086094
6.300,10.288462,11.017308,3.086094
6.400,10.253846,11.019231,3.086094
6.500,10.219231,11.021154,3.086094
6.600,10.184615,11.023077,3.086094
6.700,10.150000,11.025000,3.086094
6.800,10.115385,11.026923,3.086094
