id,x,y,theta
R001,0.000,-12.000,3.142
R002,-0.800,-12.000,3.142
R003,-1.600,-12.000,3.142
R004,-2.400,-12.000,3.142
R005,-3.200,-12.000,3.142
R006,-4.000,-12.000,3.142
R007,-4.800,-12.000,3.142
R008,-5.600,-12.000,2.761
R009,-6.350,-11.700,3.142
R010,-7.150,-11.700,3.142
R011,-7.950,-11.700,3.142
R012,-8.750,-11.700,3.142
R013,-9.550,-11.700,3.142
R014,-10.350,-11.700,3.142
R015,-11.150,-11.700,2.313
R016,-11.700,-11.100,1.571
R017,-11.700,-10.300,1.571
R018,-11.700,-9.500,1.571
R019,-11.700,-8.700,1.571
R020,-11.700,-7.900,1.571
R021,-11.700,-7.100,1.571
R022,-11.700,-6.300,1.571
R023,-11.700,-5.500,1.571
R024,-11.700,-4.700,1.571
R025,-11.700,-3.900,1.571
R026,-11.700,-3.100,1.571
R027,-11.700,-2.300,1.571
R028,-11.700,-1.500,1.571
R029,-11.700,-0.700,1.571
R030,-11.700,0.100,1.571
R031,-11.700,0.900,1.571
R032,-11.700,1.700,1.571
R033,-11.700,2.500,1.571
R034,-11.700,3.300,1.571
R035,-11.700,4.100,1.571
R036,-11.700,4.900,1.571
R037,-11.700,5.700,1.571
R038,-11.700,6.500,1.571
R039,-11.700,7.300,1.571
R040,-11.700,8.100,1.571
R041,-11.700,8.900,1.571
R042,-11.700,9.700,1.571
R043,-11.700,10.500,1.571
R044,-11.700,11.300,0.519
R045,-11.000,11.700,0.000
R046,-10.200,11.700,0.000
R047,-9.400,11.700,0.000
R048,-8.600,11.700,0.000
R049,-7.800,11.700,0.000
R050,-7.000,11.700,0.000
R051,-6.200,11.700,0.000
R052,-5.400,11.700,0.000
R053,-4.600,11.700,0.000
R054,-3.800,11.700,0.000
R055,-3.000,11.700,0.000
R056,-2.200,11.700,0.000
R057,-1.400,11.700,0.000
R058,-0.600,11.700,-0.062
R059,0.200,11.650,0.000
R060,1.000,11.650,-0.245
R061,1.800,11.450,-0.519
R062,2.500,11.050,0.000
R063,3.300,11.050,0.000
R064,4.100,11.050,0.000
R065,4.900,11.050,-0.571
R066,5.600,10.600,-1.190
R067,5.900,9.850,-1.134
R068,6.250,9.100,-1.385
R069,6.400,8.300,-1.571
R070,6.400,7.500,-1.571
R071,6.400,6.700,-1.571
R072,6.400,5.900,-1.571
R073,6.400,5.100,-1.571
R074,6.400,4.300,-1.571
R075,6.400,3.500,1.508
R076,6.450,4.300,1.446
R077,6.550,5.100,0.785
R078,7.150,5.700,1.268
R079,7.400,6.500,1.571
R080,7.400,7.300,1.571
R081,7.400,8.100,1.571
R082,7.400,8.900,1.571
R083,7.400,9.700,1.571
R084,7.400,10.500,0.742
R085,8.000,11.050,0.000
R086,8.800,11.050,0.000
R087,9.600,11.050,0.000
R088,10.400,11.050,-0.620
R089,11.100,10.550,-1.134
R090,11.450,9.800,-1.385
R091,11.600,9.000,-1.571
R092,11.600,8.200,-1.571
R093,11.600,7.400,-1.571
R094,11.600,6.600,-1.571
R095,11.600,5.800,-1.571
R096,11.600,5.000,-1.571
R097,11.600,4.200,-1.571
R098,11.600,3.400,-1.571
R099,11.600,2.600,-1.571
R100,11.600,1.800,-1.571
R101,11.600,1.000,-1.571
R102,11.600,0.200,-1.571
R103,11.600,-0.600,-1.571
R104,11.600,-1.400,-1.571
R105,11.600,-2.200,-1.571
R106,11.600,-3.000,-1.571
R107,11.600,-3.800,-1.571
R108,11.600,-4.600,-1.571
R109,11.600,-5.400,-1.571
R110,11.600,-6.200,-1.571
R111,11.600,-7.000,-1.571
R112,11.600,-7.800,-1.571
R113,11.600,-8.600,-1.571
R114,11.600,-9.400,-1.571
R115,11.600,-10.200,-1.571
R116,11.600,-11.000,-2.313
R117,11.050,-11.600,3.142
R118,10.250,-11.600,3.142
R119,9.450,-11.600,3.142
R120,8.650,-11.600,3.142
R121,7.850,-11.600,3.142
R122,7.050,-11.600,3.142
R123,6.250,-11.600,-2.839
R124,5.450,-11.850,-3.017
R125,4.650,-11.950,3.142
R126,3.850,-11.950,3.142
R127,3.050,-11.950,3.142
R128,2.250,-11.950,3.142
R129,1.450,-11.950,3.142
R130,0.650,-11.950,-3.065
R131,0.000,-12.000,-3.065
