t,x,y,theta
1.512581045,-2.283,1.388,-2.4783675378319483
1.609704277,-2.283,1.388,-2.4783675378319483
1.713158927,-2.283,1.388,-2.4783675378319483
1.810030495,-2.283,1.388,-2.4783675378319483
1.913691288,-2.283,1.388,-2.4783675378319483
2.010428171,-2.283,1.388,-2.4783675378319483
2.113640221,-2.283,1.388,-2.4783675378319483
2.210444447,-2.283,1.388,-2.4783675378319483
2.314053836,-2.283,1.388,-2.4783675378319483
2.410728949,-2.283,1.388,-2.4783675378319483
2.513208822,-2.283,1.388,-2.4783675378319483
2.610453406,-2.283,1.388,-2.4783675378319483
2.713996025,-2.283,1.388,-2.4783675378319483
2.810912905,-2.283,1.388,-2.4783675378319483
2.913102731,-2.283,1.388,-2.4783675378319483
3.011058919,-2.283,1.388,-2.4783675378319483
3.113794987,-2.283,1.388,-2.4783675378319483
3.21057187,-2.283,1.388,-2.4783675378319483
3.314445578,-2.283,1.388,-2.4783675378319483
3.411253242,-2.283,1.388,-2.4783675378319483
3.513619732,-2.283,1.388,-2.4783675378319483
3.611459933,-2.283,1.388,-2.4783675378319483
3.714576933,-2.283,1.388,-2.4783675378319483
3.812884419,-2.283,1.388,-2.4783675378319483
3.91444816,-2.283,1.388,-2.4783675378319483
4.012337527,-2.283,1.388,-2.4783675378319483
4.114162984,-2.283,1.388,-2.4783675378319483
4.21180147,-2.283,1.388,-2.4783675378319483
4.314011817,-2.283,1.388,-2.4783675378319483
4.412270241,-2.283,1.388,-2.4783675378319483
4.514297258,-2.283,1.388,-2.4783675378319483
4.611876942,-2.283,1.388,-2.4783675378319483
4.714783581,-2.283,1.388,-2.4783675378319483
4.813732881,-2.283,1.388,-2.4783675378319483
4.915613754,-2.283,1.388,-2.4783675378319483
5.012112985,-2.283,1.388,-2.4783675378319483
5.115263423,-2.283,1.388,-2.4783675378319483
5.212248117,-2.283,1.388,-2.4783675378319483
5.315414023,-2.283,1.388,-2.4783675378319483
5.412291322,-2.283,1.388,-2.4783675378319483
5.515641705,-2.283,1.388,-2.4783675378319483
5.612562963,-2.283,1.388,-2.4783675378319483
5.715541163,-2.283,1.388,-2.4783675378319483
5.812397942,-2.283,1.388,-2.4783675378319483
5.915919416,-2.283,1.388,-2.4783675378319483
6.012616041,-2.283,1.388,-2.4783675378319483
6.115907467,-2.283,1.388,-2.4783675378319483
6.213094346,-2.283,1.388,-2.4783675378319483
6.315780572,-2.283,1.388,-2.4783675378319483
6.415608559,-2.283,1.388,-2.4783675378319483
6.516303876,-2.283,1.388,-2.4783675378319483
6.61354315,-2.283,1.388,-2.4783675378319483
6.715956672,-2.283,1.388,-2.4783675378319483
6.81393531,-2.283,1.388,-2.4783675378319483
6.916638828,-2.283,1.388,-2.4783675378319483
7.013915185,-2.283,1.388,-2.4783675378319483
7.116632401,-2.283,1.388,-2.4783675378319483
7.213225903,-2.283,1.388,-2.4783675378319483
7.316297958,-2.283,1.388,-2.4783675378319483
7.412825471,-2.283,1.388,-2.4783675378319483
7.516304656,-2.283,1.388,-2.4783675378319483
7.61266889,-2.283,1.388,-2.4783675378319483
7.717166081,-2.283,1.388,-2.4783675378319483
7.813070791,-2.283,1.388,-2.4783675378319483
7.919029679,-2.283,1.388,-2.4783675378319483
8.01267963,-2.283,1.388,-2.4783675378319483
8.117909727,-2.283,1.388,-2.4783675378319483
8.212947679,-2.283,1.388,-2.4783675378319483
8.317455443,-2.283,1.388,-2.4783675378319483
8.413205156,-2.283,1.388,-2.4783675378319483
8.51814484,-2.283,1.388,-2.4783675378319483
8.612079267,-2.283,1.388,-2.4783675378319483
8.722027369,-2.283,1.388,-2.4783675378319483
8.812586323,-2.283,1.388,-2.4783675378319483
8.917373822,-2.283,1.388,-2.4783675378319483
9.013523738,-2.283,1.388,-2.4783675378319483
9.115889866,-2.283,1.388,-2.4783675378319483
9.21361804,-2.283,1.388,-2.4783675378319483
9.315990419,-2.283,1.388,-2.4783675378319483
9.413819425,-2.283,1.388,-2.4783675378319483
9.516327791,-2.283,1.388,-2.4783675378319483
9.612906659,-2.283,1.388,-2.4783675378319483
9.716150639,-2.283,1.388,-2.4783675378319483
9.812874713,-2.283,1.388,-2.4783675378319483
9.916681706,-2.283,1.388,-2.4783675378319483
10.013820671,-2.283,1.388,-2.4783675378319483
10.117128973,-2.283,1.388,-2.4783675378319483
10.214831888,-2.283,1.388,-2.4783675378319483
10.317305411,-2.283,1.388,-2.4783675378319483
10.413022782,-2.283,1.388,-2.4783675378319483
10.516562331,-2.283,1.388,-2.4783675378319483
10.615832515,-2.283,1.388,-2.4783675378319483
10.717123607,-2.283,1.388,-2.4783675378319483
10.818429751,-2.283,1.388,-2.4783675378319483
10.918445393,-2.283,1.388,-2.4783675378319483
11.013952402,-2.283,1.388,-2.4783675378319483
11.117639502,-2.283,1.388,-2.4783675378319483
11.213791398,-2.283,1.388,-2.4783675378319483
11.316885798,-2.283,1.388,-2.4783675378319483
11.414300905,-2.283,1.388,-2.4783675378319483
11.517503689,-2.283,1.388,-2.4783675378319483
11.614384481,-2.283,1.388,-2.4783675378319483
11.717820438,-2.283,1.388,-2.4783675378319483
11.814654043,-2.283,1.388,-2.4783675378319483
11.917788026,-2.283,1.388,-2.4783675378319483
12.014569288,-2.283,1.388,-2.4783675378319483
12.117336506,-2.283,1.388,-2.4783675378319483
12.214331151,-2.283,1.388,-2.4783675378319483
12.317587215,-2.283,1.388,-2.4783675378319483
12.414471862,-2.283,1.388,-2.4783675378319483
12.517966621,-2.283,1.388,-2.4783675378319483
12.614272213,-2.283,1.388,-2.4783675378319483
12.717358593,-2.283,1.388,-2.4783675378319483
12.814962396,-2.283,1.388,-2.4783675378319483
12.917563626,-2.283,1.388,-2.4783675378319483
13.014690925,-2.283,1.388,-2.4783675378319483
13.117236532,-2.283,1.388,-2.4783675378319483
13.214452737,-2.283,1.388,-2.4783675378319483
13.318139994,-2.283,1.388,-2.4783675378319483
13.414231319,-2.283,1.388,-2.4783675378319483
13.517827275,-2.283,1.388,-2.4783675378319483
13.614868638,-2.283,1.388,-2.4783675378319483
13.717718824,-2.283,1.388,-2.4783675378319483
13.814862373,-2.283,1.388,-2.4783675378319483
13.918369633,-2.283,1.388,-2.4783675378319483
14.014527728,-2.283,1.388,-2.4783675378319483
