t,x,y,theta
0.000000,4.393003,1.439666,-0.499146
0.099837,4.393003,1.439666,-0.499146
0.199942,4.393003,1.439666,-0.499146
0.299919,4.523003,1.573000,-0.815572
0.400143,4.523003,1.573000,-0.815572
0.499878,4.523003,1.573000,-0.815572
0.599956,4.523003,1.573000,-0.815572
0.699762,4.523003,1.573000,-0.815572
0.800141,4.523003,1.573000,-0.815572
0.900071,4.523003,1.573000,-0.815572
1.000350,4.523003,1.573000,-0.815572
1.100283,4.523003,1.573000,-0.815572
1.200448,4.523003,1.573000,-0.815572
1.300410,4.523003,1.573000,-0.815572
1.400722,4.523003,1.573000,-0.815572
1.500750,4.523003,1.573000,-0.815572
1.599895,4.523003,1.573000,-0.815572
1.700230,4.523003,1.573000,-0.815572
1.800280,4.523003,1.573000,-0.815572
1.900372,4.523003,1.573000,-0.815572
2.000573,4.523003,1.573000,-0.815572
2.100634,4.523003,1.573000,-0.815572
2.201002,4.523003,1.573000,-0.815572
2.301089,4.523003,1.573000,-0.815572
2.401232,4.523003,1.573000,-0.815572
2.501218,4.523003,1.573000,-0.815572
2.600596,4.523003,1.573000,-0.815572
2.700599,4.523003,1.573000,-0.815572
2.801012,4.523003,1.573000,-0.815572
2.901117,4.523003,1.573000,-0.815572
3.001561,4.523003,1.573000,-0.815572
3.101478,4.523003,1.573000,-0.815572
3.200544,4.523003,1.573000,-0.815572
3.301719,4.523003,1.573000,-0.815572
3.400826,4.523003,1.573000,-0.815572
3.500723,4.523003,1.573000,-0.815572
3.601784,4.523003,1.573000,-0.815572
3.700977,4.523003,1.573000,-0.815572
3.801284,4.523003,1.573000,-0.815572
3.901436,4.523003,1.573000,-0.815572
4.001664,4.523003,1.573000,-0.815572
4.101737,4.523003,1.573000,-0.815572
4.201993,4.523003,1.573000,-0.815572
4.301926,4.523003,1.573000,-0.815572
4.401289,4.523003,1.573000,-0.815572
4.501535,4.523003,1.573000,-0.815572
4.601743,4.523003,1.573000,-0.815572
4.701772,4.523003,1.573000,-0.815572
4.802044,4.523003,1.573000,-0.815572
4.901340,4.523003,1.573000,-0.815572
5.001539,4.523003,1.573000,-0.815572
5.101615,4.523003,1.573000,-0.815572
5.201739,4.523003,1.573000,-0.815572
5.301750,4.523003,1.573000,-0.815572
5.402137,4.523003,1.573000,-0.815572
5.502154,4.523003,1.573000,-0.815572
5.602367,4.523003,1.573000,-0.815572
5.702262,4.523003,1.573000,-0.815572
5.802391,4.523003,1.573000,-0.815572
5.902331,4.523003,1.573000,-0.815572
6.002776,4.523003,1.573000,-0.815572
6.102637,4.523003,1.573000,-0.815572
6.203011,4.523003,1.573000,-0.815572
6.303024,4.523003,1.573000,-0.815572
6.402293,4.523003,1.573000,-0.815572
6.502079,4.523003,1.573000,-0.815572
6.603218,4.523003,1.573000,-0.815572
6.702807,4.523003,1.573000,-0.815572
6.802109,4.523003,1.573000,-0.815572
6.902309,4.523003,1.573000,-0.815572
7.002571,4.523003,1.573000,-0.815572
7.102964,4.523003,1.573000,-0.815572
7.203040,4.523003,1.573000,-0.815572
7.303027,4.523003,1.573000,-0.815572
7.403171,4.523003,1.573000,-0.815572
7.502838,4.523003,1.573000,-0.815572
7.602711,4.523003,1.573000,-0.815572
7.702598,4.523003,1.573000,-0.815572
7.803005,4.523003,1.573000,-0.815572
7.902754,4.523003,1.573000,-0.815572
8.003171,4.523003,1.573000,-0.815572
8.102966,4.523003,1.573000,-0.815572
8.203219,4.523003,1.573000,-0.815572
8.303221,4.523003,1.573000,-0.815572
8.403706,4.523003,1.573000,-0.815572
8.503363,4.523003,1.573000,-0.815572
8.603796,4.523003,1.573000,-0.815572
8.703950,4.523003,1.573000,-0.815572
8.803741,4.523003,1.573000,-0.815572
8.904111,4.523003,1.573000,-0.815572
9.003490,4.523003,1.573000,-0.815572
9.103931,4.523003,1.573000,-0.815572
9.204027,4.523003,1.573000,-0.815572
9.304139,4.523003,1.573000,-0.815572
9.403920,4.523003,1.573000,-0.815572
9.503913,4.523003,1.573000,-0.815572
9.604394,4.523003,1.573000,-0.815572
9.703934,4.523003,1.573000,-0.815572
9.803702,4.523003,1.573000,-0.815572
9.903890,4.523003,1.573000,-0.815572
10.004188,4.523003,1.573000,-0.815572
10.104598,4.523003,1.573000,-0.815572
10.204487,4.523003,1.573000,-0.815572
10.304598,4.523003,1.573000,-0.815572
10.404819,4.523003,1.573000,-0.815572
10.503942,4.523003,1.573000,-0.815572
10.604353,4.523003,1.573000,-0.815572
10.704684,4.523003,1.573000,-0.815572
10.803962,4.523003,1.573000,-0.815572
10.905128,4.523003,1.573000,-0.815572
11.004321,4.523003,1.573000,-0.815572
11.104067,4.523003,1.573000,-0.815572
11.204906,4.523003,1.573000,-0.815572
11.304920,4.523003,1.573000,-0.815572
11.404485,4.523003,1.573000,-0.815572
11.504463,4.523003,1.573000,-0.815572
11.604620,4.523003,1.573000,-0.815572
11.704460,4.523003,1.573000,-0.815572
11.804756,4.523003,1.573000,-0.815572
11.904552,4.523003,1.573000,-0.815572
12.004668,4.523003,1.573000,-0.815572
12.104775,4.523003,1.573000,-0.815572
12.204718,4.523003,1.573000,-0.815572
12.304634,4.523003,1.573000,-0.815572
12.405399,4.523003,1.573000,-0.815572
12.505526,4.523003,1.573000,-0.815572
12.605397,4.523003,1.573000,-0.815572
12.705283,4.523003,1.573000,-0.815572
12.806324,4.523003,1.573000,-0.815572
12.905715,4.523003,1.573000,-0.815572
13.005128,4.523003,1.573000,-0.815572
13.105316,4.523003,1.573000,-0.815572
13.205458,4.523003,1.573000,-0.815572
13.305820,4.523003,1.573000,-0.815572
13.405486,4.523003,1.573000,-0.815572
13.505414,4.523003,1.573000,-0.815572
13.605524,4.523003,1.573000,-0.815572
13.705558,4.523003,1.573000,-0.815572
13.805462,4.523003,1.573000,-0.815572
13.905747,4.523003,1.573000,-0.815572
14.005877,4.523003,1.573000,-0.815572
14.105824,4.523003,1.573000,-0.815572
14.205475,4.523003,1.573000,-0.815572
14.306293,4.523003,1.573000,-0.815572
14.405756,4.523003,1.573000,-0.815572
14.505861,4.523003,1.573000,-0.815572
14.606167,4.523003,1.573000,-0.815572
14.706429,4.523003,1.573000,-0.815572
14.805942,4.523003,1.573000,-0.815572
14.906206,4.523003,1.573000,-0.815572
15.005666,4.523003,1.573000,-0.815572
15.105779,4.523003,1.573000,-0.815572
15.206213,4.523003,1.573000,-0.815572
15.306288,4.523003,1.573000,-0.815572
15.406657,4.523003,1.573000,-0.815572
15.505759,4.523003,1.573000,-0.815572
15.606449,4.523003,1.573000,-0.815572
15.706576,4.523003,1.573000,-0.815572
15.805934,4.523003,1.573000,-0.815572
15.906309,4.523003,1.573000,-0.815572
16.006694,4.523003,1.573000,-0.815572
16.106738,4.523003,1.573000,-0.815572
16.206247,4.523003,1.573000,-0.815572
16.306505,4.523003,1.573000,-0.815572
16.406301,4.523003,1.573000,-0.815572
16.506516,4.524432,1.571279,-0.815572
16.606889,4.527289,1.567839,-0.815572
16.707319,4.533003,1.560958,-0.815572
16.806924,4.541463,1.552869,-0.815572
16.907132,4.550950,1.542145,-0.815572
17.006669,4.563183,1.530214,-0.815572
17.107157,4.576442,1.515647,-0.815572
17.207208,4.592960,1.498555,-0.815572
17.307598,4.610505,1.478827,-0.815572
17.407012,4.630796,1.457892,-0.815572
17.507000,4.650684,1.436041,-0.815572
17.607323,4.671488,1.413788,-0.815572
17.707186,4.692292,1.391535,-0.815572
17.807587,4.712583,1.370600,-0.815572
17.907630,4.733387,1.348347,-0.815572
18.006900,4.753275,1.326497,-0.815572
18.107318,4.773566,1.305562,-0.815572
18.207801,4.794370,1.283309,-0.815572
18.307929,4.815174,1.261056,-0.815572
18.407142,4.835063,1.239205,-0.815572
18.507555,4.855867,1.216952,-0.815572
18.607877,4.876158,1.196017,-0.815572
18.707150,4.896962,1.173764,-0.815572
18.807852,4.916850,1.151913,-0.815572
18.908089,4.937654,1.129660,-0.815572
19.007433,4.957945,1.108725,-0.815572
19.107657,4.978749,1.086472,-0.815572
19.208306,4.998638,1.064622,-0.815572
19.307554,5.019442,1.042369,-0.815572
19.408000,5.039732,1.021434,-0.815572
19.508107,5.060536,0.999181,-0.815572
19.607481,5.080425,0.977330,-0.815572
19.707774,5.101229,0.955077,-0.815572
19.808211,5.121520,0.934142,-0.815572
19.908407,5.142324,0.911889,-0.815572
20.008222,5.163128,0.889636,-0.815572
20.108412,5.183016,0.867786,-0.815572
20.207987,5.204223,0.846448,-0.815572
20.308611,5.224111,0.824598,-0.815572
20.408249,5.244915,0.802345,-0.815572
20.508387,5.264804,0.780494,-0.815572
20.608986,5.286010,0.759157,-0.815572
20.708053,5.305899,0.737306,-0.815572
20.808657,5.326703,0.715053,-0.815572
20.908238,5.346591,0.693202,-0.815572
21.008596,5.367798,0.671865,-0.815572
21.108788,5.387686,0.650014,-0.815572
21.208219,5.408490,0.627761,-0.815572
21.308500,5.428379,0.605911,-0.815572
21.409224,5.449585,0.584573,-0.815572
21.508537,5.469473,0.562723,-0.815572
21.609006,5.490277,0.540470,-0.815572
21.709277,5.511081,0.518217,-0.815572
21.808919,5.531372,0.497282,-0.815572
21.909216,5.664945,0.655151,-0.920272
22.008814,5.682441,0.631341,-0.920272
22.109216,5.699937,0.607532,-0.920272
22.209625,5.718302,0.583227,-0.920272
22.308923,5.737162,0.559790,-0.920272
22.409255,5.754658,0.535980,-0.920272
22.509435,5.773023,0.511675,-0.920272
22.609569,5.790519,0.487866,-0.920272
22.708907,5.809379,0.464429,-0.920272
22.809711,5.826875,0.440619,-0.920272
22.909367,5.845239,0.416314,-0.920272
23.010175,5.863231,0.393373,-0.920272
23.110168,5.881596,0.369068,-0.920272
23.209351,5.899092,0.345258,-0.920272
23.309329,5.917456,0.320953,-0.920272
23.409763,5.935448,0.298012,-0.920272
23.509589,5.953812,0.273706,-0.920272
23.609806,5.972177,0.249401,-0.920272
23.709607,5.989673,0.225592,-0.920272
23.809981,6.008533,0.202155,-0.920272
23.909846,6.026029,0.178345,-0.920272
24.010622,6.044394,0.154040,-0.920272
24.110569,6.061890,0.130231,-0.920272
24.209842,6.080750,0.106794,-0.920272
24.309705,6.098246,0.082984,-0.920272
24.409965,6.116610,0.058679,-0.920272
24.510015,6.134106,0.034870,-0.920272
24.610155,6.150857,0.013789,-0.920272
24.710176,6.166740,-0.006796,-0.920272
24.810729,6.178777,-0.024034,-0.920272
24.910738,6.001704,0.158114,-0.745772
25.010066,6.013460,0.146461,-0.745772
25.110979,6.023068,0.137704,-0.745772
25.210142,6.029586,0.132179,-0.745772
25.310984,6.034221,0.127330,-0.745772
25.411015,6.036707,0.125376,-0.745772
25.510995,6.037648,0.125038,-0.745772
25.610976,6.037648,0.125038,-0.745772
25.710967,6.037648,0.125038,-0.745772
25.811057,6.037648,0.125038,-0.745772
25.911130,6.037648,0.125038,-0.745772
26.010736,6.037648,0.125038,-0.745772
26.111598,6.037648,0.125038,-0.745772
26.210594,6.037648,0.125038,-0.745772
26.310867,6.037648,0.125038,-0.745772
26.411113,6.037648,0.125038,-0.745772
26.511446,6.037648,0.125038,-0.745772
26.611638,6.037648,0.125038,-0.745772
26.711590,6.037648,0.125038,-0.745772
26.810958,6.037648,0.125038,-0.745772
26.910986,6.037648,0.125038,-0.745772
27.011194,6.037648,0.125038,-0.745772
27.111114,6.037648,0.125038,-0.745772
27.211404,6.037648,0.125038,-0.745772
27.311312,6.037648,0.125038,-0.745772
27.411606,6.037648,0.125038,-0.745772
27.511590,6.037648,0.125038,-0.745772
27.611934,6.037648,0.125038,-0.745772
27.712039,6.037648,0.125038,-0.745772
27.811781,6.037648,0.125038,-0.745772
27.911597,6.037648,0.125038,-0.745772
28.011695,6.037648,0.125038,-0.745772
28.111573,6.037648,0.125038,-0.745772
28.211633,6.037648,0.125038,-0.745772
28.311469,6.037648,0.125038,-0.745772
28.411788,6.037648,0.125038,-0.745772
28.511781,6.037648,0.125038,-0.745772
28.612061,6.037648,0.125038,-0.745772
28.712028,6.037648,0.125038,-0.745772
28.812058,6.037648,0.125038,-0.745772
28.912486,6.037648,0.125038,-0.745772
29.012478,6.037648,0.125038,-0.745772
29.112363,6.037648,0.125038,-0.745772
29.212420,6.037648,0.125038,-0.745772
29.312178,6.037648,0.125038,-0.745772
29.412499,6.037648,0.125038,-0.745772
29.512560,6.037648,0.125038,-0.745772
29.612802,6.037648,0.125038,-0.745772
29.712694,6.037648,0.125038,-0.745772
29.812838,6.037648,0.125038,-0.745772
29.912674,6.037648,0.125038,-0.745772
30.012883,6.037648,0.125038,-0.745772
30.113000,6.037648,0.125038,-0.745772
30.213126,6.037648,0.125038,-0.745772
30.313011,6.037648,0.125038,-0.745772
