t,x,y,theta
1.512581,-2.283000,1.388000,-2.478368
1.609704,-2.243146,1.446903,-2.478368
1.713159,-2.243146,1.446903,-2.478368
1.810030,-2.243146,1.446903,-2.478368
1.913691,-2.243146,1.446903,-2.478368
2.010428,-2.235109,1.454940,-2.478368
2.113640,-2.235109,1.454940,-2.478368
2.210444,-2.235109,1.454940,-2.478368
2.314054,-2.235109,1.454940,-2.478368
2.410729,-2.235109,1.454940,-2.478368
2.513209,-2.242081,1.461911,-2.468861
2.610453,-2.242081,1.461911,-2.468861
2.713996,-2.242081,1.461911,-2.468861
2.810913,-2.242081,1.461911,-2.468861
2.913103,-2.242081,1.461911,-2.468861
3.011059,-2.235913,1.468078,-2.468861
3.113795,-2.235913,1.468078,-2.468861
3.210572,-2.235913,1.468078,-2.468861
3.314446,-2.235913,1.468078,-2.468861
3.411253,-2.235913,1.468078,-2.468861
3.513620,-2.241454,1.462537,-2.468861
3.611460,-2.241454,1.462537,-2.468861
3.714577,-2.241454,1.462537,-2.468861
3.812884,-2.241454,1.462537,-2.468861
3.914448,-2.241454,1.462537,-2.468861
4.012338,-2.246494,1.457497,-2.468861
4.114163,-2.246494,1.457497,-2.468861
4.211801,-2.246494,1.457497,-2.468861
4.314012,-2.246494,1.457497,-2.468861
4.412270,-2.246494,1.457497,-2.468861
4.514297,-2.241863,1.462129,-2.468861
4.611877,-2.241863,1.462129,-2.468861
4.714784,-2.241863,1.462129,-2.468861
4.813733,-2.241863,1.462129,-2.468861
4.915614,-2.241863,1.462129,-2.468861
5.012113,-2.237571,1.466421,-2.468861
5.115263,-2.237571,1.466421,-2.468861
5.212248,-2.237571,1.466421,-2.468861
5.315414,-2.237571,1.466421,-2.468861
5.412291,-2.237571,1.466421,-2.468861
5.515642,-2.233564,1.470428,-2.468861
5.612563,-2.233564,1.470428,-2.468861
5.715541,-2.233564,1.470428,-2.468861
5.812398,-2.233564,1.470428,-2.468861
5.915919,-2.233564,1.470428,-2.468861
6.012616,-2.233564,1.470428,-2.468861
6.115907,-2.229788,1.474203,-2.468861
6.213094,-2.229788,1.474203,-2.468861
6.315781,-2.229788,1.474203,-2.468861
6.415609,-2.229788,1.474203,-2.468861
6.516304,-2.233343,1.470649,-2.468861
6.613543,-2.233343,1.470649,-2.468861
6.715957,-2.233343,1.470649,-2.468861
6.813935,-2.233343,1.470649,-2.468861
6.916639,-2.233343,1.470649,-2.468861
7.013915,-2.233343,1.470649,-2.468861
7.116632,-2.236728,1.467263,-2.468861
7.213226,-2.236728,1.467263,-2.468861
7.316298,-2.236728,1.467263,-2.468861
7.412825,-2.236728,1.467263,-2.468861
7.516305,-2.236728,1.467263,-2.468861
7.612669,-2.239955,1.470490,-2.465039
7.717166,-2.239955,1.470490,-2.465039
7.813071,-2.239955,1.470490,-2.465039
7.919030,-2.239955,1.470490,-2.465039
8.012680,-2.239955,1.470490,-2.465039
8.117910,-2.243043,1.473578,-2.465039
8.212948,-2.243043,1.473578,-2.465039
8.317455,-2.243043,1.473578,-2.465039
8.413205,-2.243043,1.473578,-2.465039
8.518145,-2.243043,1.473578,-2.465039
8.612079,-2.246008,1.476542,-2.461599
8.722027,-2.246008,1.476542,-2.461599
8.812586,-2.246008,1.476542,-2.461599
8.917374,-2.246008,1.476542,-2.461599
9.013524,-2.246008,1.476542,-2.461599
9.115890,-2.248864,1.479398,-2.458318
9.213618,-2.248864,1.479398,-2.458318
9.315990,-2.248864,1.479398,-2.458318
9.413819,-2.248864,1.479398,-2.458318
9.516328,-2.248864,1.479398,-2.458318
9.612907,-2.246105,1.476640,-2.461455
9.716151,-2.246105,1.476640,-2.461455
9.812875,-2.246105,1.476640,-2.461455
9.916682,-2.246105,1.476640,-2.461455
10.013821,-2.246105,1.476640,-2.461455
10.117129,-2.243433,1.473968,-2.464464
10.214832,-2.243433,1.473968,-2.464464
10.317305,-2.243433,1.473968,-2.464464
10.413023,-2.243433,1.473968,-2.464464
10.516562,-2.243433,1.473968,-2.464464
10.615833,-2.240839,1.471374,-2.467357
10.717124,-2.240839,1.471374,-2.467357
10.818430,-2.240839,1.471374,-2.467357
10.918445,-2.240839,1.471374,-2.467357
11.013952,-2.240839,1.471374,-2.467357
11.117640,-2.243363,1.473898,-2.467357
11.213791,-2.243363,1.473898,-2.467357
11.316886,-2.243363,1.473898,-2.467357
11.414301,-2.243363,1.473898,-2.467357
11.517504,-2.243363,1.473898,-2.467357
11.614384,-2.240902,1.471437,-2.470047
11.717820,-2.240902,1.471437,-2.470047
11.814654,-2.240902,1.471437,-2.470047
11.917788,-2.240902,1.471437,-2.470047
12.014569,-2.240902,1.471437,-2.470047
12.117337,-2.243305,1.473840,-2.467444
12.214331,-2.243305,1.473840,-2.467444
12.317587,-2.243305,1.473840,-2.467444
12.414472,-2.243305,1.473840,-2.467444
12.517967,-2.243305,1.473840,-2.467444
12.614272,-2.245657,1.476191,-2.464923
12.717359,-2.245657,1.476191,-2.464923
12.814962,-2.245657,1.476191,-2.464923
12.917564,-2.245657,1.476191,-2.464923
13.014691,-2.245657,1.476191,-2.464923
13.117237,-2.243353,1.473887,-2.467370
13.214453,-2.243353,1.473887,-2.467370
13.318140,-2.243353,1.473887,-2.467370
13.414231,-2.243353,1.473887,-2.467370
13.517827,-2.243353,1.473887,-2.467370
13.614869,-2.245613,1.471627,-2.467370
13.717719,-2.245613,1.471627,-2.467370
13.814862,-2.245613,1.471627,-2.467370
13.918370,-2.245613,1.471627,-2.467370
14.014528,-2.245613,1.471627,-2.467370
14.118595,-2.243392,1.469405,-2.469687
14.215224,-2.243392,1.469405,-2.469687
14.318530,-2.243392,1.469405,-2.469687
14.415383,-2.243392,1.469405,-2.469687
14.518614,-2.244383,1.468397,-2.469687
14.615457,-2.247172,1.467539,-2.469687
14.718193,-2.253119,1.461487,-2.469687
14.815305,-2.262067,1.455409,-2.469687
14.918834,-2.273988,1.446305,-2.469687
15.014841,-2.286892,1.435193,-2.469687
15.118644,-2.300635,1.425207,-2.469691
15.215725,-2.316530,1.413069,-2.469691
15.318505,-2.331426,1.400939,-2.469691
15.415405,-2.347312,1.387801,-2.469691
15.518657,-2.363207,1.375663,-2.469691
15.615776,-2.376981,1.365648,-2.469699
15.719404,-2.391876,1.353518,-2.469699
15.816052,-2.407763,1.340380,-2.469699
15.918641,-2.423658,1.328242,-2.469699
16.015981,-2.439554,1.316104,-2.469699
