t,x,y,theta
1.900901,-2.283000,1.388000,-2.478368
2.000962,-2.283000,1.388000,-2.478368
2.101264,-2.283000,1.388000,-2.478368
2.201199,-2.283000,1.388000,-2.478368
2.301433,-2.283000,1.388000,-2.478368
2.400788,-2.283000,1.388000,-2.478368
2.501498,-2.283000,1.388000,-2.478368
2.600563,-2.283000,1.388000,-2.478368
2.701008,-2.283000,1.388000,-2.478368
2.801453,-2.283000,1.388000,-2.478368
2.901180,-2.283000,1.388000,-2.478368
3.001334,-2.283000,1.388000,-2.478368
3.101333,-2.283000,1.388000,-2.478368
3.201184,-2.283000,1.388000,-2.478368
3.301853,-2.283000,1.388000,-2.478368
3.401632,-2.283000,1.388000,-2.478368
3.501839,-2.283000,1.388000,-2.478368
3.601844,-2.283000,1.388000,-2.478368
3.701413,-2.283000,1.388000,-2.478368
3.801392,-2.283000,1.388000,-2.478368
3.901796,-2.283000,1.388000,-2.478368
4.001948,-2.283000,1.388000,-2.478368
4.102341,-2.283000,1.388000,-2.478368
4.201358,-2.283000,1.388000,-2.478368
4.301718,-2.283000,1.388000,-2.478368
4.401821,-2.283000,1.388000,-2.478368
4.502047,-2.283000,1.388000,-2.478368
4.602068,-2.283000,1.388000,-2.478368
4.702205,-2.283000,1.388000,-2.478368
4.801807,-2.283000,1.388000,-2.478368
4.901870,-2.283000,1.388000,-2.478368
5.002115,-2.283000,1.388000,-2.478368
5.102008,-2.283000,1.388000,-2.478368
5.202648,-2.283000,1.388000,-2.478368
5.302345,-2.283000,1.388000,-2.478368
5.402875,-2.283000,1.388000,-2.478368
5.502393,-2.283000,1.388000,-2.478368
5.602255,-2.283000,1.388000,-2.478368
5.702820,-2.283000,1.388000,-2.478368
5.802390,-2.283000,1.388000,-2.478368
5.902596,-2.283000,1.388000,-2.478368
6.002789,-2.283000,1.388000,-2.478368
6.102573,-2.283000,1.388000,-2.478368
6.202114,-2.283000,1.388000,-2.478368
6.302160,-2.283000,1.388000,-2.478368
6.402965,-2.283000,1.388000,-2.478368
6.502723,-2.283000,1.388000,-2.478368
6.602678,-2.283000,1.388000,-2.478368
6.702724,-2.283000,1.388000,-2.478368
6.803047,-2.283000,1.388000,-2.478368
6.902457,-2.283000,1.388000,-2.478368
7.003125,-2.283000,1.388000,-2.478368
7.103404,-2.283000,1.388000,-2.478368
7.202868,-2.283000,1.388000,-2.478368
7.302712,-2.283000,1.388000,-2.478368
7.402843,-2.283000,1.388000,-2.478368
7.502594,-2.283000,1.388000,-2.478368
7.603401,-2.283000,1.388000,-2.478368
7.702831,-2.283000,1.388000,-2.478368
7.803640,-2.283000,1.388000,-2.478368
7.902889,-2.283000,1.388000,-2.478368
8.003618,-2.283000,1.388000,-2.478368
8.103075,-2.283000,1.388000,-2.478368
8.203227,-2.283000,1.388000,-2.478368
8.303813,-2.283000,1.388000,-2.478368
8.403242,-2.283000,1.388000,-2.478368
8.503623,-2.283000,1.388000,-2.478368
8.603824,-2.283000,1.388000,-2.478368
8.703914,-2.283000,1.388000,-2.478368
8.803507,-2.283000,1.388000,-2.478368
8.903993,-2.283000,1.388000,-2.478368
9.003948,-2.283000,1.388000,-2.478368
9.103293,-2.283000,1.388000,-2.478368
9.203792,-2.283000,1.388000,-2.478368
9.303745,-2.283000,1.388000,-2.478368
9.403849,-2.283000,1.388000,-2.478368
9.503706,-2.283000,1.388000,-2.478368
9.603977,-2.283000,1.388000,-2.478368
9.704537,-2.283000,1.388000,-2.478368
9.803615,-2.283000,1.388000,-2.478368
9.903658,-2.283000,1.388000,-2.478368
10.004268,-2.283000,1.388000,-2.478368
10.104241,-2.283000,1.388000,-2.478368
10.204360,-2.283000,1.388000,-2.478368
10.304633,-2.283000,1.388000,-2.478368
10.404544,-2.283000,1.388000,-2.478368
10.504739,-2.283000,1.388000,-2.478368
10.604669,-2.283000,1.388000,-2.478368
10.704417,-2.283000,1.388000,-2.478368
10.804388,-2.283000,1.388000,-2.478368
10.904219,-2.283000,1.388000,-2.478368
11.004328,-2.283000,1.388000,-2.478368
11.104689,-2.283000,1.388000,-2.478368
11.204820,-2.283000,1.388000,-2.478368
11.304120,-2.283000,1.388000,-2.478368
11.404585,-2.283000,1.388000,-2.478368
11.504175,-2.283000,1.388000,-2.478368
11.604439,-2.283000,1.388000,-2.478368
11.704884,-2.283000,1.388000,-2.478368
11.804341,-2.283000,1.388000,-2.478368
11.904857,-2.283000,1.388000,-2.478368
12.005060,-2.283000,1.388000,-2.478368
12.104574,-2.283000,1.388000,-2.478368
12.204663,-2.283000,1.388000,-2.478368
12.304380,-2.283000,1.388000,-2.478368
12.404585,-2.283000,1.388000,-2.478368
12.505054,-2.283000,1.388000,-2.478368
12.605392,-2.283000,1.388000,-2.478368
12.705086,-2.283000,1.388000,-2.478368
12.804957,-2.283000,1.388000,-2.478368
12.905218,-2.283000,1.388000,-2.478368
13.005060,-2.284000,1.387000,-2.478368
13.105360,-2.289000,1.384000,-2.478368
13.205292,-2.295000,1.378000,-2.478368
13.304894,-2.304000,1.372000,-2.478368
13.405076,-2.316000,1.363000,-2.478368
13.505567,-2.329000,1.352000,-2.478368
13.605950,-2.345000,1.340000,-2.478368
13.705306,-2.361000,1.328000,-2.478368
13.805507,-2.376000,1.316000,-2.478368
13.905106,-2.392000,1.303000,-2.478368
14.005037,-2.408000,1.291000,-2.478368
14.105343,-2.424000,1.279000,-2.478368
