t,x,y,theta
0.0,3.853,0.881,-0.40142572795869685
0.103032076,3.853,0.881,-0.40142572795869685
0.19969305,3.853,0.881,-0.40142572795869685
0.302925023,3.853,0.881,-0.40142572795869685
0.399518131,3.853,0.881,-0.40142572795869685
0.502846721,3.853,0.881,-0.40142572795869685
0.599833792,3.853,0.881,-0.40142572795869685
0.703166519,3.853,0.881,-0.40142572795869685
0.800218039,3.853,0.881,-0.40142572795869685
0.902760654,3.853,0.881,-0.40142572795869685
0.999528994,3.853,0.881,-0.40142572795869685
1.10287917,3.853,0.881,-0.40142572795869685
1.199779282,3.853,0.881,-0.40142572795869685
1.302976748,3.853,0.881,-0.40142572795869685
1.399866287,3.853,0.881,-0.40142572795869685
1.503327297,3.853,0.881,-0.40142572795869685
1.600107565,3.853,0.881,-0.40142572795869685
1.70368438,3.853,0.881,-0.40142572795869685
1.800463316,3.853,0.881,-0.40142572795869685
1.903684867,3.853,0.881,-0.40142572795869685
2.000531251,3.853,0.881,-0.40142572795869685
2.10382072,3.853,0.881,-0.40142572795869685
2.200484237,3.853,0.881,-0.40142572795869685
2.303700476,3.853,0.881,-0.40142572795869685
2.400397119,3.853,0.881,-0.40142572795869685
2.503811433,3.853,0.881,-0.40142572795869685
2.600707714,3.853,0.881,-0.40142572795869685
2.704188718,3.853,0.881,-0.40142572795869685
2.800815121,3.853,0.881,-0.40142572795869685
2.904137791,3.853,0.881,-0.40142572795869685
3.000977113,3.853,0.881,-0.40142572795869685
3.103322533,3.853,0.881,-0.40142572795869685
3.200351544,3.853,0.881,-0.40142572795869685
3.303686037,3.853,0.881,-0.40142572795869685
3.40052088,3.853,0.881,-0.40142572795869685
3.503988967,3.853,0.881,-0.40142572795869685
3.600888499,3.853,0.881,-0.40142572795869685
3.704313797,3.853,0.881,-0.40142572795869685
3.801329965,3.853,0.881,-0.40142572795869685
3.903741607,3.853,0.881,-0.40142572795869685
4.000543137,3.853,0.881,-0.40142572795869685
4.103829788,3.853,0.881,-0.40142572795869685
4.200818404,3.853,0.881,-0.40142572795869685
4.304385265,3.853,0.881,-0.40142572795869685
4.401212994,3.853,0.881,-0.40142572795869685
4.504631313,3.853,0.881,-0.40142572795869685
4.601870193,3.853,0.881,-0.40142572795869685
4.704240815,3.853,0.881,-0.40142572795869685
4.801114295,3.853,0.881,-0.40142572795869685
4.904372478,3.853,0.881,-0.40142572795869685
5.001599503,3.853,0.881,-0.40142572795869685
5.104587944,3.853,0.881,-0.40142572795869685
5.201500956,3.853,0.881,-0.40142572795869685
5.30462643,3.853,0.881,-0.40142572795869685
5.401594754,3.853,0.881,-0.40142572795869685
5.504829552,3.853,0.881,-0.40142572795869685
5.602111214,3.853,0.881,-0.40142572795869685
5.705556714,3.853,0.881,-0.40142572795869685
5.801359266,3.853,0.881,-0.40142572795869685
5.904874246,3.853,0.881,-0.40142572795869685
6.002499005,3.853,0.881,-0.40142572795869685
6.105022932,3.853,0.881,-0.40142572795869685
6.202129717,3.853,0.881,-0.40142572795869685
6.305880324,3.853,0.881,-0.40142572795869685
6.402454239,3.853,0.881,-0.40142572795869685
6.505876926,3.853,0.881,-0.40142572795869685
6.601969222,3.853,0.881,-0.40142572795869685
6.705303076,3.853,0.881,-0.40142572795869685
6.802137275,3.853,0.881,-0.40142572795869685
6.90583931,3.853,0.881,-0.40142572795869685
7.002341943,3.853,0.881,-0.40142572795869685
7.105797986,3.853,0.881,-0.40142572795869685
7.202798176,3.853,0.881,-0.40142572795869685
7.305424887,3.853,0.881,-0.40142572795869685
7.403082116,3.853,0.881,-0.40142572795869685
7.50629774,3.853,0.881,-0.40142572795869685
7.602881989,3.853,0.881,-0.40142572795869685
7.705626432,3.853,0.881,-0.40142572795869685
7.803112795,3.853,0.881,-0.40142572795869685
7.906748237,3.853,0.881,-0.40142572795869685
8.003783657,3.853,0.881,-0.40142572795869685
8.106657685,3.853,0.881,-0.40142572795869685
8.204588583,3.853,0.881,-0.40142572795869685
8.305881916,3.853,0.881,-0.40142572795869685
8.403773491,3.853,0.881,-0.40142572795869685
8.50669554,3.853,0.881,-0.40142572795869685
8.604133362,3.853,0.881,-0.40142572795869685
8.706305997,3.853,0.881,-0.40142572795869685
8.805162865,3.853,0.881,-0.40142572795869685
8.907054404,3.853,0.881,-0.40142572795869685
9.004070157,3.853,0.881,-0.40142572795869685
9.106453888,3.853,0.881,-0.40142572795869685
9.204055012,3.853,0.881,-0.40142572795869685
9.306688278,3.853,0.881,-0.40142572795869685
9.404022368,3.853,0.881,-0.40142572795869685
9.510602189,3.853,0.881,-0.40142572795869685
9.604121654,3.853,0.881,-0.40142572795869685
9.711021762,3.853,0.881,-0.40142572795869685
9.803412689,3.853,0.881,-0.40142572795869685
9.906525149,3.853,0.881,-0.40142572795869685
10.003225971,3.853,0.881,-0.40142572795869685
10.107080731,3.853,0.881,-0.40142572795869685
10.203857439,3.853,0.881,-0.40142572795869685
10.307220006,3.853,0.881,-0.40142572795869685
10.404253124,3.853,0.881,-0.40142572795869685
10.507344333,3.853,0.881,-0.40142572795869685
10.604346775,3.853,0.881,-0.40142572795869685
10.70663935,3.853,0.881,-0.40142572795869685
10.803950408,3.853,0.881,-0.40142572795869685
10.907396696,3.853,0.881,-0.40142572795869685
11.004427438,3.853,0.881,-0.40142572795869685
11.107329031,3.853,0.881,-0.40142572795869685
11.204333575,3.853,0.881,-0.40142572795869685
11.307863822,3.853,0.881,-0.40142572795869685
11.404098461,3.853,0.881,-0.40142572795869685
11.507833449,3.853,0.881,-0.40142572795869685
11.60418382,3.853,0.881,-0.40142572795869685
11.707668255,3.853,0.881,-0.40142572795869685
11.804813237,3.853,0.881,-0.40142572795869685
11.907794541,3.853,0.881,-0.40142572795869685
12.00511114,3.853,0.881,-0.40142572795869685
12.107947181,3.853,0.881,-0.40142572795869685
12.20522779,3.853,0.881,-0.40142572795869685
12.307959143,3.853,0.881,-0.40142572795869685
12.404884487,3.853,0.881,-0.40142572795869685
12.508309754,3.853,0.881,-0.40142572795869685
12.605607553,3.853,0.881,-0.40142572795869685
12.707655637,3.853,0.881,-0.40142572795869685
12.805517107,3.853,0.881,-0.40142572795869685
12.908234262,3.853,0.881,-0.40142572795869685
13.005384681,3.853,0.881,-0.40142572795869685
13.108792261,3.853,0.881,-0.40142572795869685
13.205796533,3.853,0.881,-0.40142572795869685
13.307854461,3.853,0.881,-0.40142572795869685
13.40474946,3.853,0.881,-0.40142572795869685
13.508265844,3.853,0.881,-0.40142572795869685
