t,x,y,theta
0.000000,3.853000,0.881000,-0.401426
0.103032,3.880782,0.908782,-0.434393
0.199693,3.880782,0.908782,-0.434393
0.302925,3.880782,0.908782,-0.434393
0.399518,3.880782,0.908782,-0.434393
0.502847,3.880782,0.908782,-0.434393
0.599834,3.862882,0.926682,-0.425352
0.703167,3.862882,0.926682,-0.425352
0.800218,3.862882,0.926682,-0.425352
0.902761,3.862882,0.926682,-0.425352
0.999529,3.862882,0.926682,-0.425352
1.102879,3.876117,0.913446,-0.437820
1.199779,3.876117,0.913446,-0.437820
1.302977,3.876117,0.913446,-0.437820
1.399866,3.876117,0.913446,-0.437820
1.503327,3.876117,0.913446,-0.437820
1.600108,3.865589,0.923974,-0.433058
1.703684,3.865589,0.923974,-0.433058
1.800463,3.865589,0.923974,-0.433058
1.903685,3.865589,0.923974,-0.433058
2.000531,3.865589,0.923974,-0.433058
2.103821,3.856825,0.932739,-0.429202
2.200484,3.856825,0.932739,-0.429202
2.303700,3.856825,0.932739,-0.429202
2.400397,3.856825,0.932739,-0.429202
2.503811,3.856825,0.932739,-0.429202
2.600708,3.864354,0.925209,-0.435689
2.704189,3.864354,0.925209,-0.435689
2.800815,3.864354,0.925209,-0.435689
2.904138,3.864354,0.925209,-0.435689
3.000977,3.864354,0.925209,-0.435689
3.103323,3.870974,0.918589,-0.441295
3.200352,3.870974,0.918589,-0.441295
3.303686,3.870974,0.918589,-0.441295
3.400521,3.870974,0.918589,-0.441295
3.503989,3.870974,0.918589,-0.441295
3.600888,3.865051,0.924513,-0.438825
3.704314,3.865051,0.924513,-0.438825
3.801330,3.865051,0.924513,-0.438825
3.903742,3.865051,0.924513,-0.438825
4.000543,3.865051,0.924513,-0.438825
4.103830,3.859675,0.929889,-0.436614
4.200818,3.859675,0.929889,-0.436614
4.304385,3.859675,0.929889,-0.436614
4.401213,3.859675,0.929889,-0.436614
4.504631,3.859675,0.929889,-0.436614
4.601870,3.864610,0.924953,-0.440621
4.704241,3.864610,0.924953,-0.440621
4.801114,3.864610,0.924953,-0.440621
4.904372,3.864610,0.924953,-0.440621
5.001600,3.864610,0.924953,-0.440621
5.104588,3.869185,0.920379,-0.444289
5.201501,3.869185,0.920379,-0.444289
5.304626,3.869185,0.920379,-0.444289
5.401595,3.869185,0.920379,-0.444289
5.504830,3.869185,0.920379,-0.444289
5.602111,3.864910,0.924654,-0.442596
5.705557,3.864910,0.924654,-0.442596
5.801359,3.864910,0.924654,-0.442596
5.904874,3.864910,0.924654,-0.442596
6.002499,3.864910,0.924654,-0.442596
6.105023,3.860887,0.928677,-0.441021
6.202130,3.860887,0.928677,-0.441021
6.305880,3.860887,0.928677,-0.441021
6.402454,3.860887,0.928677,-0.441021
6.505877,3.860887,0.928677,-0.441021
6.601969,3.857078,0.932486,-0.439549
6.705303,3.857078,0.932486,-0.439549
6.802137,3.857078,0.932486,-0.439549
6.905839,3.857078,0.932486,-0.439549
7.002342,3.857078,0.932486,-0.439549
7.105798,3.853452,0.936111,-0.438163
7.202798,3.853452,0.936111,-0.438163
7.305425,3.853452,0.936111,-0.438163
7.403082,3.853452,0.936111,-0.438163
7.506298,3.853452,0.936111,-0.438163
7.602882,3.863854,0.932644,-0.436854
7.705626,3.863854,0.932644,-0.436854
7.803113,3.863854,0.932644,-0.436854
7.906748,3.863854,0.932644,-0.436854
8.003784,3.863854,0.932644,-0.436854
8.106658,3.867183,0.929314,-0.439339
8.204589,3.867183,0.929314,-0.439339
8.305882,3.867183,0.929314,-0.439339
8.403773,3.867183,0.929314,-0.439339
8.506696,3.867183,0.929314,-0.439339
8.604133,3.863974,0.932524,-0.438156
8.706306,3.863974,0.932524,-0.438156
8.805163,3.863974,0.932524,-0.438156
8.907054,3.863974,0.932524,-0.438156
9.004070,3.863974,0.932524,-0.438156
9.106454,3.867078,0.929420,-0.440418
9.204055,3.867078,0.929420,-0.440418
9.306688,3.867078,0.929420,-0.440418
9.404022,3.867078,0.929420,-0.440418
9.510602,3.867078,0.929420,-0.440418
9.604122,3.867078,0.929420,-0.440418
9.711022,3.864049,0.932448,-0.439331
9.803413,3.864049,0.932448,-0.439331
9.906525,3.864049,0.932448,-0.439331
10.003226,3.864049,0.932448,-0.439331
10.107081,3.864049,0.932448,-0.439331
10.203857,3.866994,0.929504,-0.441422
10.307220,3.866994,0.929504,-0.441422
10.404253,3.866994,0.929504,-0.441422
10.507344,3.866994,0.929504,-0.441422
10.604347,3.866994,0.929504,-0.441422
10.706639,3.864124,0.932374,-0.440414
10.803950,3.864124,0.932374,-0.440414
10.907397,3.864124,0.932374,-0.440414
11.004427,3.864124,0.932374,-0.440414
11.107329,3.864124,0.932374,-0.440414
11.204334,3.866927,0.929571,-0.442361
11.307864,3.866927,0.929571,-0.442361
11.404098,3.866927,0.929571,-0.442361
11.507833,3.866927,0.929571,-0.442361
11.604184,3.866927,0.929571,-0.442361
11.707668,3.864183,0.932314,-0.441419
11.804813,3.864183,0.932314,-0.441419
11.907795,3.864183,0.932314,-0.441419
12.005111,3.864183,0.932314,-0.441419
12.107947,3.864183,0.932314,-0.441419
12.205228,3.861492,0.935005,-0.440504
12.307959,3.861492,0.935005,-0.440504
12.404884,3.861492,0.935005,-0.440504
